Episode	Accumulated Reward	Length	Steps
0	-9	11	11
1	-17	19	30
2	-5	7	37
3	-13	15	52
4	-22	24	76
5	-5	7	83
6	-2	4	87
7	-2	4	91
8	-2	4	95
9	-2	4	99
10	-2	4	103
11	-2	4	107
12	-2	4	111
13	-2	4	115
14	-2	4	119
15	-2	4	123
16	-8	10	133
17	-2	4	137
18	-2	4	141
19	-2	4	145
20	-2	4	149
21	-2	4	153
22	-2	4	157
23	-2	4	161
24	-2	4	165
25	-2	4	169
26	-2	4	173
27	-2	4	177
28	-2	4	181
29	-2	4	185
30	-2	4	189
31	-2	4	193
32	-2	4	197
33	-75	77	274
34	-2	4	278
35	-2	4	282
36	-2	4	286
37	-2	4	290
38	-2	4	294
39	-2	4	298
40	-2	4	302
41	-2	4	306
42	-2	4	310
43	-2	4	314
44	-2	4	318
45	-2	4	322
46	-2	4	326
47	-2	4	330
48	-2	4	334
49	-2	4	338
50	-2	4	342
51	-2	4	346
52	-2	4	350
53	-2	4	354
54	-2	4	358
55	-2	4	362
56	-2	4	366
57	-2	4	370
58	-2	4	374
59	-2	4	378
60	-2	4	382
61	-2	4	386
62	-2	4	390
63	-2	4	394
64	-2	4	398
65	-2	4	402
66	-2	4	406
67	-2	4	410
68	-2	4	414
69	-2	4	418
70	-2	4	422
71	-2	4	426
72	-2	4	430
73	-2	4	434
74	-2	4	438
75	-4	6	444
76	-4	6	450
77	-2	4	454
78	-2	4	458
79	-2	4	462
80	-2	4	466
81	-2	4	470
82	-2	4	474
83	-2	4	478
84	-3	5	483
85	-2	4	487
86	-3	5	492
87	-2	4	496
88	-2	4	500
89	-2	4	504
90	-2	4	508
91	-2	4	512
92	-2	4	516
93	-2	4	520
94	-2	4	524
95	-2	4	528
96	-8	10	538
97	-2	4	542
98	-2	4	546
99	-2	4	550
100	-2	4	554
101	-2	4	558
102	-2	4	562
103	-2	4	566
104	-2	4	570
105	-2	4	574
106	-2	4	578
107	-2	4	582
108	-2	4	586
109	-2	4	590
110	-2	4	594
111	-2	4	598
112	-2	4	602
113	-2	4	606
114	-2	4	610
115	-2	4	614
116	-2	4	618
117	-2	4	622
118	-3	5	627
119	-2	4	631
120	-2	4	635
121	-2	4	639
122	-2	4	643
123	-2	4	647
124	-2	4	651
125	-2	4	655
126	-2	4	659
127	-2	4	663
128	-2	4	667
129	-2	4	671
130	-2	4	675
131	-2	4	679
132	-2	4	683
133	-2	4	687
134	-2	4	691
135	-2	4	695
136	-3	5	700
137	-2	4	704
138	-2	4	708
139	-2	4	712
140	-2	4	716
141	-2	4	720
142	-2	4	724
143	-2	4	728
144	-2	4	732
145	-2	4	736
146	-2	4	740
147	-2	4	744
148	-2	4	748
149	-3	5	753
150	-2	4	757
151	-2	4	761
152	-12	14	775
153	-2	4	779
154	-2	4	783
155	-2	4	787
156	-2	4	791
157	-2	4	795
158	-2	4	799
159	-2	4	803
160	-2	4	807
161	-4	6	813
162	-2	4	817
163	-2	4	821
164	-2	4	825
165	-2	4	829
166	-2	4	833
167	-2	4	837
168	-2	4	841
169	-2	4	845
170	-2	4	849
171	-2	4	853
172	-2	4	857
173	-2	4	861
174	-2	4	865
175	-2	4	869
176	-2	4	873
177	-2	4	877
178	-2	4	881
179	-2	4	885
180	-2	4	889
181	-2	4	893
182	-2	4	897
183	-4	6	903
184	-2	4	907
185	-2	4	911
186	-2	4	915
187	-2	4	919
188	-2	4	923
189	-2	4	927
190	-2	4	931
191	-3	5	936
192	-4	6	942
193	-2	4	946
194	-2	4	950
195	-2	4	954
196	-2	4	958
197	-2	4	962
198	-2	4	966
199	-2	4	970
200	-2	4	974
201	-2	4	978
202	-2	4	982
203	-2	4	986
204	-3	5	991
205	-2	4	995
206	-2	4	999
207	-2	4	1003
208	-2	4	1007
209	-2	4	1011
210	-2	4	1015
211	-4	6	1021
212	-2	4	1025
213	-2	4	1029
214	-2	4	1033
215	-2	4	1037
216	-2	4	1041
217	-2	4	1045
218	-2	4	1049
219	-2	4	1053
220	-2	4	1057
221	-2	4	1061
222	-2	4	1065
223	-2	4	1069
224	-2	4	1073
225	-2	4	1077
226	-2	4	1081
227	-2	4	1085
228	-2	4	1089
229	-2	4	1093
230	-2	4	1097
231	-2	4	1101
232	-2	4	1105
233	-2	4	1109
234	-2	4	1113
235	-2	4	1117
236	-2	4	1121
237	-2	4	1125
238	-2	4	1129
239	-2	4	1133
240	-2	4	1137
241	-2	4	1141
242	-2	4	1145
243	-2	4	1149
244	-2	4	1153
245	-2	4	1157
