Episode	Accumulated Reward	Length	Steps
0	-2064	480	480
1	-307	109	589
2	-580	184	773
3	-182	83	856
4	-223	124	980
5	-311	113	1093
6	-96	96	1189
7	-62	62	1251
8	-93	93	1344
9	-56	56	1400
10	-34	34	1434
11	-56	56	1490
12	-44	44	1534
13	-26	26	1560
14	-44	44	1604
15	-175	76	1680
16	-33	33	1713
17	-29	29	1742
18	-19	19	1761
19	-148	49	1810
20	-30	30	1840
21	-43	43	1883
22	-43	43	1926
23	-151	52	1978
24	-31	31	2009
25	-22	22	2031
26	-36	36	2067
27	-36	36	2103
28	-151	52	2155
29	-21	21	2176
30	-26	26	2202
31	-16	16	2218
32	-30	30	2248
33	-21	21	2269
34	-24	24	2293
35	-16	16	2309
36	-150	51	2360
37	-23	23	2383
38	-148	49	2432
39	-23	23	2455
40	-24	24	2479
41	-16	16	2495
42	-36	36	2531
43	-18	18	2549
44	-17	17	2566
45	-17	17	2583
46	-121	22	2605
47	-14	14	2619
48	-17	17	2636
49	-28	28	2664
50	-118	19	2683
51	-21	21	2704
52	-15	15	2719
53	-238	40	2759
54	-13	13	2772
55	-13	13	2785
56	-15	15	2800
57	-15	15	2815
58	-21	21	2836
59	-114	15	2851
60	-13	13	2864
61	-120	21	2885
62	-116	17	2902
63	-14	14	2916
64	-15	15	2931
65	-13	13	2944
66	-13	13	2957
67	-118	19	2976
68	-15	15	2991
69	-440	44	3035
70	-115	16	3051
71	-17	17	3068
72	-235	37	3105
73	-121	22	3127
74	-122	23	3150
75	-126	27	3177
76	-15	15	3192
77	-15	15	3207
78	-13	13	3220
79	-15	15	3235
80	-13	13	3248
81	-15	15	3263
82	-13	13	3276
83	-15	15	3291
84	-15	15	3306
85	-131	32	3338
86	-17	17	3355
87	-119	20	3375
88	-225	27	3402
89	-17	17	3419
90	-230	32	3451
91	-15	15	3466
92	-13	13	3479
93	-15	15	3494
94	-15	15	3509
95	-15	15	3524
96	-17	17	3541
97	-13	13	3554
98	-13	13	3567
99	-13	13	3580
100	-120	21	3601
101	-17	17	3618
102	-13	13	3631
103	-19	19	3650
104	-13	13	3663
105	-13	13	3676
106	-19	19	3695
107	-120	21	3716
108	-15	15	3731
109	-20	20	3751
110	-16	16	3767
111	-13	13	3780
112	-127	28	3808
113	-13	13	3821
114	-13	13	3834
115	-115	16	3850
116	-13	13	3863
117	-15	15	3878
118	-14	14	3892
119	-126	27	3919
120	-124	25	3944
121	-230	32	3976
122	-15	15	3991
123	-13	13	4004
124	-13	13	4017
125	-13	13	4030
126	-13	13	4043
127	-118	19	4062
128	-13	13	4075
129	-113	14	4089
130	-13	13	4102
131	-124	25	4127
132	-14	14	4141
133	-13	13	4154
134	-15	15	4169
135	-15	15	4184
136	-117	18	4202
137	-22	22	4224
138	-120	21	4245
139	-114	15	4260
140	-17	17	4277
141	-15	15	4292
142	-116	17	4309
143	-15	15	4324
144	-15	15	4339
145	-13	13	4352
146	-13	13	4365
147	-15	15	4380
148	-22	22	4402
149	-113	14	4416
150	-121	22	4438
151	-19	19	4457
152	-13	13	4470
153	-15	15	4485
154	-15	15	4500
155	-15	15	4515
156	-13	13	4528
157	-13	13	4541
158	-17	17	4558
159	-15	15	4573
160	-25	25	4598
161	-119	20	4618
162	-13	13	4631
163	-131	32	4663
164	-117	18	4681
165	-118	19	4700
166	-120	21	4721
167	-15	15	4736
168	-117	18	4754
169	-15	15	4769
170	-13	13	4782
171	-15	15	4797
172	-17	17	4814
173	-17	17	4831
174	-126	27	4858
175	-15	15	4873
176	-18	18	4891
177	-13	13	4904
178	-15	15	4919
179	-15	15	4934
180	-13	13	4947
181	-441	45	4992
182	-15	15	5007
183	-123	24	5031
184	-13	13	5044
185	-15	15	5059
186	-233	35	5094
187	-13	13	5107
188	-15	15	5122
189	-13	13	5135
190	-15	15	5150
191	-118	19	5169
192	-13	13	5182
193	-126	27	5209
194	-13	13	5222
195	-15	15	5237
196	-13	13	5250
197	-118	19	5269
198	-124	25	5294
199	-13	13	5307
