Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1901	515	515	0	-1901	515	515	0	-1901	515	515	0	-1901	515	515
1	-121	121	636	1	-121	121	636	1	-121	121	636	1	-121	121	636
2	-118	118	754	2	-118	118	754	2	-118	118	754	2	-118	118	754
3	-51	51	805	3	-51	51	805	3	-51	51	805	3	-51	51	805
4	-59	59	864	4	-59	59	864	4	-59	59	864	4	-59	59	864
5	-47	47	911	5	-47	47	911	5	-47	47	911	5	-47	47	911
6	-65	65	976	6	-65	65	976	6	-65	65	976	6	-65	65	976
7	-306	108	1084	7	-306	108	1084	7	-306	108	1084	7	-306	108	1084
8	-156	57	1141	8	-156	57	1141	8	-156	57	1141	8	-156	57	1141
9	-153	54	1195	9	-153	54	1195	9	-153	54	1195	9	-153	54	1195
10	-189	90	1285	10	-189	90	1285	10	-189	90	1285	10	-189	90	1285
11	-49	49	1334	11	-49	49	1334	11	-49	49	1334	11	-49	49	1334
12	-73	73	1407	12	-73	73	1407	12	-73	73	1407	12	-73	73	1407
13	-68	68	1475	13	-68	68	1475	13	-68	68	1475	13	-68	68	1475
14	-18	18	1493	14	-18	18	1493	14	-18	18	1493	14	-18	18	1493
15	-152	53	1546	15	-152	53	1546	15	-152	53	1546	15	-152	53	1546
16	-33	33	1579	16	-33	33	1579	16	-33	33	1579	16	-33	33	1579
17	-136	37	1616	17	-136	37	1616	17	-136	37	1616	17	-136	37	1616
18	-143	44	1660	18	-143	44	1660	18	-143	44	1660	18	-143	44	1660
19	-403	106	1766	19	-403	106	1766	19	-403	106	1766	19	-403	106	1766
20	-26	26	1792	20	-26	26	1792	20	-26	26	1792	20	-26	26	1792
21	-154	55	1847	21	-154	55	1847	21	-154	55	1847	21	-154	55	1847
22	-27	27	1874	22	-27	27	1874	22	-27	27	1874	22	-27	27	1874
23	-38	38	1912	23	-38	38	1912	23	-38	38	1912	23	-38	38	1912
24	-40	40	1952	24	-40	40	1952	24	-40	40	1952	24	-40	40	1952
25	-29	29	1981	25	-29	29	1981	25	-29	29	1981	25	-29	29	1981
26	-148	49	2030	26	-148	49	2030	26	-148	49	2030	26	-148	49	2030
27	-23	23	2053	27	-23	23	2053	27	-23	23	2053	27	-23	23	2053
28	-143	44	2097	28	-143	44	2097	28	-143	44	2097	28	-143	44	2097
29	-42	42	2139	29	-42	42	2139	29	-42	42	2139	29	-42	42	2139
30	-23	23	2162	30	-23	23	2162	30	-23	23	2162	30	-23	23	2162
