Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1642	454	454	0	-1642	454	454	0	-1642	454	454	0	-1642	454	454	0	-1642	454	454	0	-1642	454	454	0	-1642	454	454
1	-241	142	596	1	-241	142	596	1	-241	142	596	1	-241	142	596	1	-241	142	596	1	-241	142	596	1	-241	142	596
2	-286	187	783	2	-286	187	783	2	-286	187	783	2	-286	187	783	2	-286	187	783	2	-286	187	783	2	-286	187	783
3	-160	61	844	3	-160	61	844	3	-160	61	844	3	-160	61	844	3	-160	61	844	3	-160	61	844	3	-160	61	844
4	-55	55	899	4	-55	55	899	4	-55	55	899	4	-55	55	899	4	-55	55	899	4	-55	55	899	4	-55	55	899
5	-67	67	966	5	-67	67	966	5	-67	67	966	5	-67	67	966	5	-67	67	966	5	-67	67	966	5	-67	67	966
6	-49	49	1015	6	-49	49	1015	6	-49	49	1015	6	-49	49	1015	6	-49	49	1015	6	-49	49	1015	6	-49	49	1015
7	-219	120	1135	7	-219	120	1135	7	-219	120	1135	7	-219	120	1135	7	-219	120	1135	7	-219	120	1135	7	-219	120	1135
8	-61	61	1196	8	-61	61	1196	8	-61	61	1196	8	-61	61	1196	8	-61	61	1196	8	-61	61	1196	8	-61	61	1196
9	-28	28	1224	9	-28	28	1224	9	-28	28	1224	9	-28	28	1224	9	-28	28	1224	9	-28	28	1224	9	-28	28	1224
10	-313	115	1339	10	-313	115	1339	10	-313	115	1339	10	-313	115	1339	10	-313	115	1339	10	-313	115	1339	10	-313	115	1339
11	-76	76	1415	11	-76	76	1415	11	-76	76	1415	11	-76	76	1415	11	-76	76	1415	11	-76	76	1415	11	-76	76	1415
12	-31	31	1446	12	-31	31	1446	12	-31	31	1446	12	-31	31	1446	12	-31	31	1446	12	-31	31	1446	12	-31	31	1446
13	-42	42	1488	13	-42	42	1488	13	-42	42	1488	13	-42	42	1488	13	-42	42	1488	13	-42	42	1488	13	-42	42	1488
14	-23	23	1511	14	-23	23	1511	14	-23	23	1511	14	-23	23	1511	14	-23	23	1511	14	-23	23	1511	14	-23	23	1511
15	-70	70	1581	15	-70	70	1581	15	-70	70	1581	15	-70	70	1581	15	-70	70	1581	15	-70	70	1581	15	-70	70	1581
16	-33	33	1614	16	-33	33	1614	16	-33	33	1614	16	-33	33	1614	16	-33	33	1614	16	-33	33	1614	16	-33	33	1614
17	-63	63	1677	17	-63	63	1677	17	-63	63	1677	17	-63	63	1677	17	-63	63	1677	17	-63	63	1677	17	-63	63	1677
18	-17	17	1694	18	-17	17	1694	18	-17	17	1694	18	-17	17	1694	18	-17	17	1694	18	-17	17	1694	18	-17	17	1694
19	-58	58	1752	19	-58	58	1752	19	-58	58	1752	19	-58	58	1752	19	-58	58	1752	19	-58	58	1752	19	-58	58	1752
20	-147	48	1800	20	-147	48	1800	20	-147	48	1800	20	-147	48	1800	20	-147	48	1800	20	-147	48	1800	20	-147	48	1800
21	-44	44	1844	21	-44	44	1844	21	-44	44	1844	21	-44	44	1844	21	-44	44	1844	21	-44	44	1844	21	-44	44	1844
22	-39	39	1883	22	-39	39	1883	22	-39	39	1883	22	-39	39	1883	22	-39	39	1883	22	-39	39	1883	22	-39	39	1883
23	-30	30	1913	23	-30	30	1913	23	-30	30	1913	23	-30	30	1913	23	-30	30	1913	23	-30	30	1913	23	-30	30	1913
24	-32	32	1945	24	-32	32	1945	24	-32	32	1945	24	-32	32	1945	24	-32	32	1945	24	-32	32	1945	24	-32	32	1945
25	-21	21	1966	25	-21	21	1966	25	-21	21	1966	25	-21	21	1966	25	-21	21	1966	25	-21	21	1966	25	-21	21	1966
26	-25	25	1991	26	-25	25	1991	26	-25	25	1991	26	-25	25	1991	26	-25	25	1991	26	-25	25	1991	26	-25	25	1991
27	-22	22	2013	27	-22	22	2013	27	-22	22	2013	27	-22	22	2013	27	-22	22	2013	27	-22	22	2013	27	-22	22	2013
28	-132	33	2046	28	-132	33	2046	28	-132	33	2046	28	-132	33	2046	28	-132	33	2046	28	-132	33	2046	28	-132	33	2046
29	-47	47	2093	29	-47	47	2093	29	-47	47	2093	29	-47	47	2093	29	-47	47	2093	29	-47	47	2093	29	-47	47	2093
30	-17	17	2110	30	-17	17	2110	30	-17	17	2110	30	-17	17	2110	30	-17	17	2110	30	-17	17	2110	30	-17	17	2110
31	-17	17	2127	31	-17	17	2127	31	-17	17	2127	31	-17	17	2127	31	-17	17	2127	31	-17	17	2127	31	-17	17	2127
32	-28	28	2155	32	-28	28	2155	32	-28	28	2155	32	-28	28	2155	32	-28	28	2155	32	-28	28	2155	32	-28	28	2155
33	-28	28	2183	33	-28	28	2183	33	-28	28	2183	33	-28	28	2183	33	-28	28	2183	33	-28	28	2183	33	-28	28	2183
34	-157	58	2241	34	-157	58	2241	34	-157	58	2241	34	-157	58	2241	34	-157	58	2241	34	-157	58	2241	34	-157	58	2241
35	-19	19	2260	35	-19	19	2260	35	-19	19	2260	35	-19	19	2260	35	-19	19	2260	35	-19	19	2260	35	-19	19	2260
36	-33	33	2293	36	-33	33	2293	36	-33	33	2293	36	-33	33	2293	36	-33	33	2293	36	-33	33	2293	36	-33	33	2293
37	-19	19	2312	37	-19	19	2312	37	-19	19	2312	37	-19	19	2312	37	-19	19	2312	37	-19	19	2312	37	-19	19	2312
38	-34	34	2346	38	-34	34	2346	38	-34	34	2346	38	-34	34	2346	38	-34	34	2346	38	-34	34	2346	38	-34	34	2346
39	-16	16	2362	39	-16	16	2362	39	-16	16	2362	39	-16	16	2362	39	-16	16	2362	39	-16	16	2362	39	-16	16	2362
40	-15	15	2377	40	-15	15	2377	40	-15	15	2377	40	-15	15	2377	40	-15	15	2377	40	-15	15	2377	40	-15	15	2377
41	-18	18	2395	41	-18	18	2395	41	-18	18	2395	41	-18	18	2395	41	-18	18	2395	41	-18	18	2395	41	-18	18	2395
42	-24	24	2419	42	-24	24	2419	42	-24	24	2419	42	-24	24	2419	42	-24	24	2419	42	-24	24	2419	42	-24	24	2419
43	-21	21	2440	43	-21	21	2440	43	-21	21	2440	43	-21	21	2440	43	-21	21	2440	43	-21	21	2440	43	-21	21	2440
44	-254	56	2496	44	-254	56	2496	44	-254	56	2496	44	-254	56	2496	44	-254	56	2496	44	-254	56	2496	44	-254	56	2496
45	-14	14	2510	45	-14	14	2510	45	-14	14	2510	45	-14	14	2510	45	-14	14	2510	45	-14	14	2510	45	-14	14	2510
46	-15	15	2525	46	-15	15	2525	46	-15	15	2525	46	-15	15	2525	46	-15	15	2525	46	-15	15	2525	46	-15	15	2525
47	-16	16	2541	47	-16	16	2541	47	-16	16	2541	47	-16	16	2541	47	-16	16	2541	47	-16	16	2541	47	-16	16	2541
48	-123	24	2565	48	-123	24	2565	48	-123	24	2565	48	-123	24	2565	48	-123	24	2565	48	-123	24	2565	48	-123	24	2565
49	-127	28	2593	49	-127	28	2593	49	-127	28	2593	49	-127	28	2593	49	-127	28	2593	49	-127	28	2593	49	-127	28	2593
50	-21	21	2614	50	-21	21	2614	50	-21	21	2614	50	-21	21	2614	50	-21	21	2614	50	-21	21	2614	50	-21	21	2614
51	-27	27	2641	51	-27	27	2641	51	-27	27	2641	51	-27	27	2641	51	-27	27	2641	51	-27	27	2641	51	-27	27	2641
52	-229	31	2672	52	-229	31	2672	52	-229	31	2672	52	-229	31	2672	52	-229	31	2672	52	-229	31	2672	52	-229	31	2672
53	-16	16	2688	53	-16	16	2688	53	-16	16	2688	53	-16	16	2688	53	-16	16	2688	53	-16	16	2688	53	-16	16	2688
54	-19	19	2707	54	-19	19	2707	54	-19	19	2707	54	-19	19	2707	54	-19	19	2707	54	-19	19	2707	54	-19	19	2707
55	-225	27	2734	55	-225	27	2734	55	-225	27	2734	55	-225	27	2734	55	-225	27	2734	55	-225	27	2734	55	-225	27	2734
56	-19	19	2753	56	-19	19	2753	56	-19	19	2753	56	-19	19	2753	56	-19	19	2753	56	-19	19	2753	56	-19	19	2753
57	-13	13	2766	57	-13	13	2766	57	-13	13	2766	57	-13	13	2766	57	-13	13	2766	57	-13	13	2766	57	-13	13	2766
58	-13	13	2779	58	-13	13	2779	58	-13	13	2779	58	-13	13	2779	58	-13	13	2779	58	-13	13	2779	58	-13	13	2779
59	-13	13	2792	59	-13	13	2792	59	-13	13	2792	59	-13	13	2792	59	-13	13	2792	59	-13	13	2792	59	-13	13	2792
60	-14	14	2806	60	-14	14	2806	60	-14	14	2806	60	-14	14	2806	60	-14	14	2806	60	-14	14	2806	60	-14	14	2806
61	-30	30	2836	61	-30	30	2836	61	-30	30	2836	61	-30	30	2836	61	-30	30	2836	61	-30	30	2836	61	-30	30	2836
62	-120	21	2857	62	-120	21	2857	62	-120	21	2857	62	-120	21	2857	62	-120	21	2857	62	-120	21	2857	62	-120	21	2857
63	-13	13	2870	63	-13	13	2870	63	-13	13	2870	63	-13	13	2870	63	-13	13	2870	63	-13	13	2870	63	-13	13	2870
64	-13	13	2883	64	-13	13	2883	64	-13	13	2883	64	-13	13	2883	64	-13	13	2883	64	-13	13	2883	64	-13	13	2883
65	-19	19	2902	65	-19	19	2902	65	-19	19	2902	65	-19	19	2902	65	-19	19	2902	65	-19	19	2902	65	-19	19	2902
66	-13	13	2915	66	-13	13	2915	66	-13	13	2915	66	-13	13	2915	66	-13	13	2915	66	-13	13	2915	66	-13	13	2915
67	-13	13	2928	67	-13	13	2928	67	-13	13	2928	67	-13	13	2928	67	-13	13	2928	67	-13	13	2928	67	-13	13	2928
68	-18	18	2946	68	-18	18	2946	68	-18	18	2946	68	-18	18	2946	68	-18	18	2946	68	-18	18	2946	68	-18	18	2946
69	-13	13	2959	69	-13	13	2959	69	-13	13	2959	69	-13	13	2959	69	-13	13	2959	69	-13	13	2959	69	-13	13	2959
70	-16	16	2975	70	-16	16	2975	70	-16	16	2975	70	-16	16	2975	70	-16	16	2975	70	-16	16	2975	70	-16	16	2975
71	-20	20	2995	71	-20	20	2995	71	-20	20	2995	71	-20	20	2995	71	-20	20	2995	71	-20	20	2995	71	-20	20	2995
72	-118	19	3014	72	-118	19	3014	72	-118	19	3014	72	-118	19	3014	72	-118	19	3014	72	-118	19	3014	72	-118	19	3014
73	-116	17	3031	73	-116	17	3031	73	-116	17	3031	73	-116	17	3031	73	-116	17	3031	73	-116	17	3031	73	-116	17	3031
74	-14	14	3045	74	-14	14	3045	74	-14	14	3045	74	-14	14	3045	74	-14	14	3045	74	-14	14	3045	74	-14	14	3045
75	-17	17	3062	75	-17	17	3062	75	-17	17	3062	75	-17	17	3062	75	-17	17	3062	75	-17	17	3062	75	-17	17	3062
