Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1658	470	470	0	-1658	470	470	0	-1658	470	470	0	-1658	470	470	0	-1658	470	470	0	-1658	470	470	0	-1658	470	470	0	-1658	470	470	0	-1658	470	470	0	-1658	470	470
1	-499	202	672	1	-499	202	672	1	-499	202	672	1	-499	202	672	1	-499	202	672	1	-499	202	672	1	-499	202	672	1	-499	202	672	1	-499	202	672	1	-499	202	672
2	-73	73	745	2	-73	73	745	2	-73	73	745	2	-73	73	745	2	-73	73	745	2	-73	73	745	2	-73	73	745	2	-73	73	745	2	-73	73	745	2	-73	73	745
3	-164	65	810	3	-164	65	810	3	-164	65	810	3	-164	65	810	3	-164	65	810	3	-164	65	810	3	-164	65	810	3	-164	65	810	3	-164	65	810	3	-164	65	810
4	-83	83	893	4	-83	83	893	4	-83	83	893	4	-83	83	893	4	-83	83	893	4	-83	83	893	4	-83	83	893	4	-83	83	893	4	-83	83	893	4	-83	83	893
5	-177	78	971	5	-177	78	971	5	-177	78	971	5	-177	78	971	5	-177	78	971	5	-177	78	971	5	-177	78	971	5	-177	78	971	5	-177	78	971	5	-177	78	971
6	-43	43	1014	6	-43	43	1014	6	-43	43	1014	6	-43	43	1014	6	-43	43	1014	6	-43	43	1014	6	-43	43	1014	6	-43	43	1014	6	-43	43	1014	6	-43	43	1014
7	-174	75	1089	7	-174	75	1089	7	-174	75	1089	7	-174	75	1089	7	-174	75	1089	7	-174	75	1089	7	-174	75	1089	7	-174	75	1089	7	-174	75	1089	7	-174	75	1089
8	-219	120	1209	8	-219	120	1209	8	-219	120	1209	8	-219	120	1209	8	-219	120	1209	8	-219	120	1209	8	-219	120	1209	8	-219	120	1209	8	-219	120	1209	8	-219	120	1209
9	-64	64	1273	9	-64	64	1273	9	-64	64	1273	9	-64	64	1273	9	-64	64	1273	9	-64	64	1273	9	-64	64	1273	9	-64	64	1273	9	-64	64	1273	9	-64	64	1273
10	-161	62	1335	10	-161	62	1335	10	-161	62	1335	10	-161	62	1335	10	-161	62	1335	10	-161	62	1335	10	-161	62	1335	10	-161	62	1335	10	-161	62	1335	10	-161	62	1335
11	-37	37	1372	11	-37	37	1372	11	-37	37	1372	11	-37	37	1372	11	-37	37	1372	11	-37	37	1372	11	-37	37	1372	11	-37	37	1372	11	-37	37	1372	11	-37	37	1372
12	-38	38	1410	12	-38	38	1410	12	-38	38	1410	12	-38	38	1410	12	-38	38	1410	12	-38	38	1410	12	-38	38	1410	12	-38	38	1410	12	-38	38	1410	12	-38	38	1410
13	-43	43	1453	13	-43	43	1453	13	-43	43	1453	13	-43	43	1453	13	-43	43	1453	13	-43	43	1453	13	-43	43	1453	13	-43	43	1453	13	-43	43	1453	13	-43	43	1453
14	-169	70	1523	14	-169	70	1523	14	-169	70	1523	14	-169	70	1523	14	-169	70	1523	14	-169	70	1523	14	-169	70	1523	14	-169	70	1523	14	-169	70	1523	14	-169	70	1523
15	-268	70	1593	15	-268	70	1593	15	-268	70	1593	15	-268	70	1593	15	-268	70	1593	15	-268	70	1593	15	-268	70	1593	15	-268	70	1593	15	-268	70	1593	15	-268	70	1593
16	-39	39	1632	16	-39	39	1632	16	-39	39	1632	16	-39	39	1632	16	-39	39	1632	16	-39	39	1632	16	-39	39	1632	16	-39	39	1632	16	-39	39	1632	16	-39	39	1632
17	-30	30	1662	17	-30	30	1662	17	-30	30	1662	17	-30	30	1662	17	-30	30	1662	17	-30	30	1662	17	-30	30	1662	17	-30	30	1662	17	-30	30	1662	17	-30	30	1662
18	-40	40	1702	18	-40	40	1702	18	-40	40	1702	18	-40	40	1702	18	-40	40	1702	18	-40	40	1702	18	-40	40	1702	18	-40	40	1702	18	-40	40	1702	18	-40	40	1702
19	-22	22	1724	19	-22	22	1724	19	-22	22	1724	19	-22	22	1724	19	-22	22	1724	19	-22	22	1724	19	-22	22	1724	19	-22	22	1724	19	-22	22	1724	19	-22	22	1724
20	-42	42	1766	20	-42	42	1766	20	-42	42	1766	20	-42	42	1766	20	-42	42	1766	20	-42	42	1766	20	-42	42	1766	20	-42	42	1766	20	-42	42	1766	20	-42	42	1766
21	-24	24	1790	21	-24	24	1790	21	-24	24	1790	21	-24	24	1790	21	-24	24	1790	21	-24	24	1790	21	-24	24	1790	21	-24	24	1790	21	-24	24	1790	21	-24	24	1790
22	-163	64	1854	22	-163	64	1854	22	-163	64	1854	22	-163	64	1854	22	-163	64	1854	22	-163	64	1854	22	-163	64	1854	22	-163	64	1854	22	-163	64	1854	22	-163	64	1854
23	-36	36	1890	23	-36	36	1890	23	-36	36	1890	23	-36	36	1890	23	-36	36	1890	23	-36	36	1890	23	-36	36	1890	23	-36	36	1890	23	-36	36	1890	23	-36	36	1890
24	-47	47	1937	24	-47	47	1937	24	-47	47	1937	24	-47	47	1937	24	-47	47	1937	24	-47	47	1937	24	-47	47	1937	24	-47	47	1937	24	-47	47	1937	24	-47	47	1937
25	-226	28	1965	25	-226	28	1965	25	-226	28	1965	25	-226	28	1965	25	-226	28	1965	25	-226	28	1965	25	-226	28	1965	25	-226	28	1965	25	-226	28	1965	25	-226	28	1965
26	-27	27	1992	26	-27	27	1992	26	-27	27	1992	26	-27	27	1992	26	-27	27	1992	26	-27	27	1992	26	-27	27	1992	26	-27	27	1992	26	-27	27	1992	26	-27	27	1992
27	-18	18	2010	27	-18	18	2010	27	-18	18	2010	27	-18	18	2010	27	-18	18	2010	27	-18	18	2010	27	-18	18	2010	27	-18	18	2010	27	-18	18	2010	27	-18	18	2010
28	-25	25	2035	28	-25	25	2035	28	-25	25	2035	28	-25	25	2035	28	-25	25	2035	28	-25	25	2035	28	-25	25	2035	28	-25	25	2035	28	-25	25	2035	28	-25	25	2035
29	-25	25	2060	29	-25	25	2060	29	-25	25	2060	29	-25	25	2060	29	-25	25	2060	29	-25	25	2060	29	-25	25	2060	29	-25	25	2060	29	-25	25	2060	29	-25	25	2060
30	-35	35	2095	30	-35	35	2095	30	-35	35	2095	30	-35	35	2095	30	-35	35	2095	30	-35	35	2095	30	-35	35	2095	30	-35	35	2095	30	-35	35	2095	30	-35	35	2095
31	-360	63	2158	31	-360	63	2158	31	-360	63	2158	31	-360	63	2158	31	-360	63	2158	31	-360	63	2158	31	-360	63	2158	31	-360	63	2158	31	-360	63	2158	31	-360	63	2158
32	-265	67	2225	32	-265	67	2225	32	-265	67	2225	32	-265	67	2225	32	-265	67	2225	32	-265	67	2225	32	-265	67	2225	32	-265	67	2225	32	-265	67	2225	32	-265	67	2225
33	-135	36	2261	33	-135	36	2261	33	-135	36	2261	33	-135	36	2261	33	-135	36	2261	33	-135	36	2261	33	-135	36	2261	33	-135	36	2261	33	-135	36	2261	33	-135	36	2261
34	-37	37	2298	34	-37	37	2298	34	-37	37	2298	34	-37	37	2298	34	-37	37	2298	34	-37	37	2298	34	-37	37	2298	34	-37	37	2298	34	-37	37	2298	34	-37	37	2298
35	-21	21	2319	35	-21	21	2319	35	-21	21	2319	35	-21	21	2319	35	-21	21	2319	35	-21	21	2319	35	-21	21	2319	35	-21	21	2319	35	-21	21	2319	35	-21	21	2319
36	-20	20	2339	36	-20	20	2339	36	-20	20	2339	36	-20	20	2339	36	-20	20	2339	36	-20	20	2339	36	-20	20	2339	36	-20	20	2339	36	-20	20	2339	36	-20	20	2339
37	-16	16	2355	37	-16	16	2355	37	-16	16	2355	37	-16	16	2355	37	-16	16	2355	37	-16	16	2355	37	-16	16	2355	37	-16	16	2355	37	-16	16	2355	37	-16	16	2355
38	-33	33	2388	38	-33	33	2388	38	-33	33	2388	38	-33	33	2388	38	-33	33	2388	38	-33	33	2388	38	-33	33	2388	38	-33	33	2388	38	-33	33	2388	38	-33	33	2388
39	-27	27	2415	39	-27	27	2415	39	-27	27	2415	39	-27	27	2415	39	-27	27	2415	39	-27	27	2415	39	-27	27	2415	39	-27	27	2415	39	-27	27	2415	39	-27	27	2415
40	-21	21	2436	40	-21	21	2436	40	-21	21	2436	40	-21	21	2436	40	-21	21	2436	40	-21	21	2436	40	-21	21	2436	40	-21	21	2436	40	-21	21	2436	40	-21	21	2436
41	-138	39	2475	41	-138	39	2475	41	-138	39	2475	41	-138	39	2475	41	-138	39	2475	41	-138	39	2475	41	-138	39	2475	41	-138	39	2475	41	-138	39	2475	41	-138	39	2475
42	-129	30	2505	42	-129	30	2505	42	-129	30	2505	42	-129	30	2505	42	-129	30	2505	42	-129	30	2505	42	-129	30	2505	42	-129	30	2505	42	-129	30	2505	42	-129	30	2505
43	-23	23	2528	43	-23	23	2528	43	-23	23	2528	43	-23	23	2528	43	-23	23	2528	43	-23	23	2528	43	-23	23	2528	43	-23	23	2528	43	-23	23	2528	43	-23	23	2528
44	-18	18	2546	44	-18	18	2546	44	-18	18	2546	44	-18	18	2546	44	-18	18	2546	44	-18	18	2546	44	-18	18	2546	44	-18	18	2546	44	-18	18	2546	44	-18	18	2546
45	-17	17	2563	45	-17	17	2563	45	-17	17	2563	45	-17	17	2563	45	-17	17	2563	45	-17	17	2563	45	-17	17	2563	45	-17	17	2563	45	-17	17	2563	45	-17	17	2563
46	-21	21	2584	46	-21	21	2584	46	-21	21	2584	46	-21	21	2584	46	-21	21	2584	46	-21	21	2584	46	-21	21	2584	46	-21	21	2584	46	-21	21	2584	46	-21	21	2584
47	-241	43	2627	47	-241	43	2627	47	-241	43	2627	47	-241	43	2627	47	-241	43	2627	47	-241	43	2627	47	-241	43	2627	47	-241	43	2627	47	-241	43	2627	47	-241	43	2627
48	-29	29	2656	48	-29	29	2656	48	-29	29	2656	48	-29	29	2656	48	-29	29	2656	48	-29	29	2656	48	-29	29	2656	48	-29	29	2656	48	-29	29	2656	48	-29	29	2656
49	-115	16	2672	49	-115	16	2672	49	-115	16	2672	49	-115	16	2672	49	-115	16	2672	49	-115	16	2672	49	-115	16	2672	49	-115	16	2672	49	-115	16	2672	49	-115	16	2672
50	-18	18	2690	50	-18	18	2690	50	-18	18	2690	50	-18	18	2690	50	-18	18	2690	50	-18	18	2690	50	-18	18	2690	50	-18	18	2690	50	-18	18	2690	50	-18	18	2690
51	-122	23	2713	51	-122	23	2713	51	-122	23	2713	51	-122	23	2713	51	-122	23	2713	51	-122	23	2713	51	-122	23	2713	51	-122	23	2713	51	-122	23	2713	51	-122	23	2713
52	-15	15	2728	52	-15	15	2728	52	-15	15	2728	52	-15	15	2728	52	-15	15	2728	52	-15	15	2728	52	-15	15	2728	52	-15	15	2728	52	-15	15	2728	52	-15	15	2728
53	-13	13	2741	53	-13	13	2741	53	-13	13	2741	53	-13	13	2741	53	-13	13	2741	53	-13	13	2741	53	-13	13	2741	53	-13	13	2741	53	-13	13	2741	53	-13	13	2741
54	-126	27	2768	54	-126	27	2768	54	-126	27	2768	54	-126	27	2768	54	-126	27	2768	54	-126	27	2768	54	-126	27	2768	54	-126	27	2768	54	-126	27	2768	54	-126	27	2768
55	-121	22	2790	55	-121	22	2790	55	-121	22	2790	55	-121	22	2790	55	-121	22	2790	55	-121	22	2790	55	-121	22	2790	55	-121	22	2790	55	-121	22	2790	55	-121	22	2790
56	-13	13	2803	56	-13	13	2803	56	-13	13	2803	56	-13	13	2803	56	-13	13	2803	56	-13	13	2803	56	-13	13	2803	56	-13	13	2803	56	-13	13	2803	56	-13	13	2803
57	-13	13	2816	57	-13	13	2816	57	-13	13	2816	57	-13	13	2816	57	-13	13	2816	57	-13	13	2816	57	-13	13	2816	57	-13	13	2816	57	-13	13	2816	57	-13	13	2816
58	-119	20	2836	58	-119	20	2836	58	-119	20	2836	58	-119	20	2836	58	-119	20	2836	58	-119	20	2836	58	-119	20	2836	58	-119	20	2836	58	-119	20	2836	58	-119	20	2836
59	-15	15	2851	59	-15	15	2851	59	-15	15	2851	59	-15	15	2851	59	-15	15	2851	59	-15	15	2851	59	-15	15	2851	59	-15	15	2851	59	-15	15	2851	59	-15	15	2851
60	-222	24	2875	60	-222	24	2875	60	-222	24	2875	60	-222	24	2875	60	-222	24	2875	60	-222	24	2875	60	-222	24	2875	60	-222	24	2875	60	-222	24	2875	60	-222	24	2875
61	-123	24	2899	61	-123	24	2899	61	-123	24	2899	61	-123	24	2899	61	-123	24	2899	61	-123	24	2899	61	-123	24	2899	61	-123	24	2899	61	-123	24	2899	61	-123	24	2899
62	-126	27	2926	62	-126	27	2926	62	-126	27	2926	62	-126	27	2926	62	-126	27	2926	62	-126	27	2926	62	-126	27	2926	62	-126	27	2926	62	-126	27	2926	62	-126	27	2926
63	-13	13	2939	63	-13	13	2939	63	-13	13	2939	63	-13	13	2939	63	-13	13	2939	63	-13	13	2939	63	-13	13	2939	63	-13	13	2939	63	-13	13	2939	63	-13	13	2939
64	-15	15	2954	64	-15	15	2954	64	-15	15	2954	64	-15	15	2954	64	-15	15	2954	64	-15	15	2954	64	-15	15	2954	64	-15	15	2954	64	-15	15	2954	64	-15	15	2954
65	-13	13	2967	65	-13	13	2967	65	-13	13	2967	65	-13	13	2967	65	-13	13	2967	65	-13	13	2967	65	-13	13	2967	65	-13	13	2967	65	-13	13	2967	65	-13	13	2967
66	-240	42	3009	66	-240	42	3009	66	-240	42	3009	66	-240	42	3009	66	-240	42	3009	66	-240	42	3009	66	-240	42	3009	66	-240	42	3009	66	-240	42	3009	66	-240	42	3009
67	-124	25	3034	67	-124	25	3034	67	-124	25	3034	67	-124	25	3034	67	-124	25	3034	67	-124	25	3034	67	-124	25	3034	67	-124	25	3034	67	-124	25	3034	67	-124	25	3034
68	-13	13	3047	68	-13	13	3047	68	-13	13	3047	68	-13	13	3047	68	-13	13	3047	68	-13	13	3047	68	-13	13	3047	68	-13	13	3047	68	-13	13	3047	68	-13	13	3047
69	-14	14	3061	69	-14	14	3061	69	-14	14	3061	69	-14	14	3061	69	-14	14	3061	69	-14	14	3061	69	-14	14	3061	69	-14	14	3061	69	-14	14	3061	69	-14	14	3061
70	-13	13	3074	70	-13	13	3074	70	-13	13	3074	70	-13	13	3074	70	-13	13	3074	70	-13	13	3074	70	-13	13	3074	70	-13	13	3074	70	-13	13	3074	70	-13	13	3074
71	-13	13	3087	71	-13	13	3087	71	-13	13	3087	71	-13	13	3087	71	-13	13	3087	71	-13	13	3087	71	-13	13	3087	71	-13	13	3087	71	-13	13	3087	71	-13	13	3087
72	-13	13	3100	72	-13	13	3100	72	-13	13	3100	72	-13	13	3100	72	-13	13	3100	72	-13	13	3100	72	-13	13	3100	72	-13	13	3100	72	-13	13	3100	72	-13	13	3100
73	-221	23	3123	73	-221	23	3123	73	-221	23	3123	73	-221	23	3123	73	-221	23	3123	73	-221	23	3123	73	-221	23	3123	73	-221	23	3123	73	-221	23	3123	73	-221	23	3123
74	-123	24	3147	74	-123	24	3147	74	-123	24	3147	74	-123	24	3147	74	-123	24	3147	74	-123	24	3147	74	-123	24	3147	74	-123	24	3147	74	-123	24	3147	74	-123	24	3147
75	-13	13	3160	75	-13	13	3160	75	-13	13	3160	75	-13	13	3160	75	-13	13	3160	75	-13	13	3160	75	-13	13	3160	75	-13	13	3160	75	-13	13	3160	75	-13	13	3160
76	-15	15	3175	76	-15	15	3175	76	-15	15	3175	76	-15	15	3175	76	-15	15	3175	76	-15	15	3175	76	-15	15	3175	76	-15	15	3175	76	-15	15	3175	76	-15	15	3175
