Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1613	425	425	0	-1613	425	425	0	-1613	425	425	0	-1613	425	425	0	-1613	425	425	0	-1613	425	425	0	-1613	425	425	0	-1613	425	425	0	-1613	425	425	0	-1613	425	425	0	-1613	425	425	0	-1613	425	425	0	-1613	425	425
1	-715	220	645	1	-715	220	645	1	-715	220	645	1	-715	220	645	1	-715	220	645	1	-715	220	645	1	-715	220	645	1	-715	220	645	1	-715	220	645	1	-715	220	645	1	-715	220	645	1	-715	220	645	1	-715	220	645
2	-50	50	695	2	-50	50	695	2	-50	50	695	2	-50	50	695	2	-50	50	695	2	-50	50	695	2	-50	50	695	2	-50	50	695	2	-50	50	695	2	-50	50	695	2	-50	50	695	2	-50	50	695	2	-50	50	695
3	-67	67	762	3	-67	67	762	3	-67	67	762	3	-67	67	762	3	-67	67	762	3	-67	67	762	3	-67	67	762	3	-67	67	762	3	-67	67	762	3	-67	67	762	3	-67	67	762	3	-67	67	762	3	-67	67	762
4	-204	105	867	4	-204	105	867	4	-204	105	867	4	-204	105	867	4	-204	105	867	4	-204	105	867	4	-204	105	867	4	-204	105	867	4	-204	105	867	4	-204	105	867	4	-204	105	867	4	-204	105	867	4	-204	105	867
5	-499	202	1069	5	-499	202	1069	5	-499	202	1069	5	-499	202	1069	5	-499	202	1069	5	-499	202	1069	5	-499	202	1069	5	-499	202	1069	5	-499	202	1069	5	-499	202	1069	5	-499	202	1069	5	-499	202	1069	5	-499	202	1069
6	-65	65	1134	6	-65	65	1134	6	-65	65	1134	6	-65	65	1134	6	-65	65	1134	6	-65	65	1134	6	-65	65	1134	6	-65	65	1134	6	-65	65	1134	6	-65	65	1134	6	-65	65	1134	6	-65	65	1134	6	-65	65	1134
7	-64	64	1198	7	-64	64	1198	7	-64	64	1198	7	-64	64	1198	7	-64	64	1198	7	-64	64	1198	7	-64	64	1198	7	-64	64	1198	7	-64	64	1198	7	-64	64	1198	7	-64	64	1198	7	-64	64	1198	7	-64	64	1198
8	-36	36	1234	8	-36	36	1234	8	-36	36	1234	8	-36	36	1234	8	-36	36	1234	8	-36	36	1234	8	-36	36	1234	8	-36	36	1234	8	-36	36	1234	8	-36	36	1234	8	-36	36	1234	8	-36	36	1234	8	-36	36	1234
9	-45	45	1279	9	-45	45	1279	9	-45	45	1279	9	-45	45	1279	9	-45	45	1279	9	-45	45	1279	9	-45	45	1279	9	-45	45	1279	9	-45	45	1279	9	-45	45	1279	9	-45	45	1279	9	-45	45	1279	9	-45	45	1279
