Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2044	559	559	0	-2044	559	559	0	-2044	559	559	0	-2044	559	559	0	-2044	559	559	0	-2044	559	559	0	-2044	559	559	0	-2044	559	559	0	-2044	559	559	0	-2044	559	559	0	-2044	559	559	0	-2044	559	559	0	-2044	559	559	0	-2044	559	559	0	-2044	559	559	0	-2044	559	559
1	-257	158	717	1	-257	158	717	1	-257	158	717	1	-257	158	717	1	-257	158	717	1	-257	158	717	1	-257	158	717	1	-257	158	717	1	-257	158	717	1	-257	158	717	1	-257	158	717	1	-257	158	717	1	-257	158	717	1	-257	158	717	1	-257	158	717	1	-257	158	717
2	-42	42	759	2	-42	42	759	2	-42	42	759	2	-42	42	759	2	-42	42	759	2	-42	42	759	2	-42	42	759	2	-42	42	759	2	-42	42	759	2	-42	42	759	2	-42	42	759	2	-42	42	759	2	-42	42	759	2	-42	42	759	2	-42	42	759	2	-42	42	759
3	-72	72	831	3	-72	72	831	3	-72	72	831	3	-72	72	831	3	-72	72	831	3	-72	72	831	3	-72	72	831	3	-72	72	831	3	-72	72	831	3	-72	72	831	3	-72	72	831	3	-72	72	831	3	-72	72	831	3	-72	72	831	3	-72	72	831	3	-72	72	831
4	-28	28	859	4	-28	28	859	4	-28	28	859	4	-28	28	859	4	-28	28	859	4	-28	28	859	4	-28	28	859	4	-28	28	859	4	-28	28	859	4	-28	28	859	4	-28	28	859	4	-28	28	859	4	-28	28	859	4	-28	28	859	4	-28	28	859	4	-28	28	859
5	-137	137	996	5	-137	137	996	5	-137	137	996	5	-137	137	996	5	-137	137	996	5	-137	137	996	5	-137	137	996	5	-137	137	996	5	-137	137	996	5	-137	137	996	5	-137	137	996	5	-137	137	996	5	-137	137	996	5	-137	137	996	5	-137	137	996	5	-137	137	996
6	-63	63	1059	6	-63	63	1059	6	-63	63	1059	6	-63	63	1059	6	-63	63	1059	6	-63	63	1059	6	-63	63	1059	6	-63	63	1059	6	-63	63	1059	6	-63	63	1059	6	-63	63	1059	6	-63	63	1059	6	-63	63	1059	6	-63	63	1059	6	-63	63	1059	6	-63	63	1059
7	-32	32	1091	7	-32	32	1091	7	-32	32	1091	7	-32	32	1091	7	-32	32	1091	7	-32	32	1091	7	-32	32	1091	7	-32	32	1091	7	-32	32	1091	7	-32	32	1091	7	-32	32	1091	7	-32	32	1091	7	-32	32	1091	7	-32	32	1091	7	-32	32	1091	7	-32	32	1091
8	-296	98	1189	8	-296	98	1189	8	-296	98	1189	8	-296	98	1189	8	-296	98	1189	8	-296	98	1189	8	-296	98	1189	8	-296	98	1189	8	-296	98	1189	8	-296	98	1189	8	-296	98	1189	8	-296	98	1189	8	-296	98	1189	8	-296	98	1189	8	-296	98	1189	8	-296	98	1189
9	-56	56	1245	9	-56	56	1245	9	-56	56	1245	9	-56	56	1245	9	-56	56	1245	9	-56	56	1245	9	-56	56	1245	9	-56	56	1245	9	-56	56	1245	9	-56	56	1245	9	-56	56	1245	9	-56	56	1245	9	-56	56	1245	9	-56	56	1245	9	-56	56	1245	9	-56	56	1245
