Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-2065	580	580	0	-2065	580	580	0	-2065	580	580	0	-2065	580	580	0	-2065	580	580	0	-2065	580	580	0	-2065	580	580	0	-2065	580	580	0	-2065	580	580	0	-2065	580	580	0	-2065	580	580	0	-2065	580	580	0	-2065	580	580	0	-2065	580	580	0	-2065	580	580	0	-2065	580	580	0	-2065	580	580	0	-2065	580	580	0	-2065	580	580
1	-89	89	669	1	-89	89	669	1	-89	89	669	1	-89	89	669	1	-89	89	669	1	-89	89	669	1	-89	89	669	1	-89	89	669	1	-89	89	669	1	-89	89	669	1	-89	89	669	1	-89	89	669	1	-89	89	669	1	-89	89	669	1	-89	89	669	1	-89	89	669	1	-89	89	669	1	-89	89	669	1	-89	89	669
2	-472	175	844	2	-472	175	844	2	-472	175	844	2	-472	175	844	2	-472	175	844	2	-472	175	844	2	-472	175	844	2	-472	175	844	2	-472	175	844	2	-472	175	844	2	-472	175	844	2	-472	175	844	2	-472	175	844	2	-472	175	844	2	-472	175	844	2	-472	175	844	2	-472	175	844	2	-472	175	844	2	-472	175	844
3	-450	153	997	3	-450	153	997	3	-450	153	997	3	-450	153	997	3	-450	153	997	3	-450	153	997	3	-450	153	997	3	-450	153	997	3	-450	153	997	3	-450	153	997	3	-450	153	997	3	-450	153	997	3	-450	153	997	3	-450	153	997	3	-450	153	997	3	-450	153	997	3	-450	153	997	3	-450	153	997	3	-450	153	997
4	-139	40	1037	4	-139	40	1037	4	-139	40	1037	4	-139	40	1037	4	-139	40	1037	4	-139	40	1037	4	-139	40	1037	4	-139	40	1037	4	-139	40	1037	4	-139	40	1037	4	-139	40	1037	4	-139	40	1037	4	-139	40	1037	4	-139	40	1037	4	-139	40	1037	4	-139	40	1037	4	-139	40	1037	4	-139	40	1037	4	-139	40	1037
5	-218	119	1156	5	-218	119	1156	5	-218	119	1156	5	-218	119	1156	5	-218	119	1156	5	-218	119	1156	5	-218	119	1156	5	-218	119	1156	5	-218	119	1156	5	-218	119	1156	5	-218	119	1156	5	-218	119	1156	5	-218	119	1156	5	-218	119	1156	5	-218	119	1156	5	-218	119	1156	5	-218	119	1156	5	-218	119	1156	5	-218	119	1156
6	-480	84	1240	6	-480	84	1240	6	-480	84	1240	6	-480	84	1240	6	-480	84	1240	6	-480	84	1240	6	-480	84	1240	6	-480	84	1240	6	-480	84	1240	6	-480	84	1240	6	-480	84	1240	6	-480	84	1240	6	-480	84	1240	6	-480	84	1240	6	-480	84	1240	6	-480	84	1240	6	-480	84	1240	6	-480	84	1240	6	-480	84	1240
7	-54	54	1294	7	-54	54	1294	7	-54	54	1294	7	-54	54	1294	7	-54	54	1294	7	-54	54	1294	7	-54	54	1294	7	-54	54	1294	7	-54	54	1294	7	-54	54	1294	7	-54	54	1294	7	-54	54	1294	7	-54	54	1294	7	-54	54	1294	7	-54	54	1294	7	-54	54	1294	7	-54	54	1294	7	-54	54	1294	7	-54	54	1294
8	-152	53	1347	8	-152	53	1347	8	-152	53	1347	8	-152	53	1347	8	-152	53	1347	8	-152	53	1347	8	-152	53	1347	8	-152	53	1347	8	-152	53	1347	8	-152	53	1347	8	-152	53	1347	8	-152	53	1347	8	-152	53	1347	8	-152	53	1347	8	-152	53	1347	8	-152	53	1347	8	-152	53	1347	8	-152	53	1347	8	-152	53	1347
9	-199	100	1447	9	-199	100	1447	9	-199	100	1447	9	-199	100	1447	9	-199	100	1447	9	-199	100	1447	9	-199	100	1447	9	-199	100	1447	9	-199	100	1447	9	-199	100	1447	9	-199	100	1447	9	-199	100	1447	9	-199	100	1447	9	-199	100	1447	9	-199	100	1447	9	-199	100	1447	9	-199	100	1447	9	-199	100	1447	9	-199	100	1447
10	-21	21	1468	10	-21	21	1468	10	-21	21	1468	10	-21	21	1468	10	-21	21	1468	10	-21	21	1468	10	-21	21	1468	10	-21	21	1468	10	-21	21	1468	10	-21	21	1468	10	-21	21	1468	10	-21	21	1468	10	-21	21	1468	10	-21	21	1468	10	-21	21	1468	10	-21	21	1468	10	-21	21	1468	10	-21	21	1468	10	-21	21	1468
11	-56	56	1524	11	-56	56	1524	11	-56	56	1524	11	-56	56	1524	11	-56	56	1524	11	-56	56	1524	11	-56	56	1524	11	-56	56	1524	11	-56	56	1524	11	-56	56	1524	11	-56	56	1524	11	-56	56	1524	11	-56	56	1524	11	-56	56	1524	11	-56	56	1524	11	-56	56	1524	11	-56	56	1524	11	-56	56	1524	11	-56	56	1524
12	-29	29	1553	12	-29	29	1553	12	-29	29	1553	12	-29	29	1553	12	-29	29	1553	12	-29	29	1553	12	-29	29	1553	12	-29	29	1553	12	-29	29	1553	12	-29	29	1553	12	-29	29	1553	12	-29	29	1553	12	-29	29	1553	12	-29	29	1553	12	-29	29	1553	12	-29	29	1553	12	-29	29	1553	12	-29	29	1553	12	-29	29	1553
13	-30	30	1583	13	-30	30	1583	13	-30	30	1583	13	-30	30	1583	13	-30	30	1583	13	-30	30	1583	13	-30	30	1583	13	-30	30	1583	13	-30	30	1583	13	-30	30	1583	13	-30	30	1583	13	-30	30	1583	13	-30	30	1583	13	-30	30	1583	13	-30	30	1583	13	-30	30	1583	13	-30	30	1583	13	-30	30	1583	13	-30	30	1583
14	-44	44	1627	14	-44	44	1627	14	-44	44	1627	14	-44	44	1627	14	-44	44	1627	14	-44	44	1627	14	-44	44	1627	14	-44	44	1627	14	-44	44	1627	14	-44	44	1627	14	-44	44	1627	14	-44	44	1627	14	-44	44	1627	14	-44	44	1627	14	-44	44	1627	14	-44	44	1627	14	-44	44	1627	14	-44	44	1627	14	-44	44	1627
15	-57	57	1684	15	-57	57	1684	15	-57	57	1684	15	-57	57	1684	15	-57	57	1684	15	-57	57	1684	15	-57	57	1684	15	-57	57	1684	15	-57	57	1684	15	-57	57	1684	15	-57	57	1684	15	-57	57	1684	15	-57	57	1684	15	-57	57	1684	15	-57	57	1684	15	-57	57	1684	15	-57	57	1684	15	-57	57	1684	15	-57	57	1684
16	-135	36	1720	16	-135	36	1720	16	-135	36	1720	16	-135	36	1720	16	-135	36	1720	16	-135	36	1720	16	-135	36	1720	16	-135	36	1720	16	-135	36	1720	16	-135	36	1720	16	-135	36	1720	16	-135	36	1720	16	-135	36	1720	16	-135	36	1720	16	-135	36	1720	16	-135	36	1720	16	-135	36	1720	16	-135	36	1720	16	-135	36	1720
17	-27	27	1747	17	-27	27	1747	17	-27	27	1747	17	-27	27	1747	17	-27	27	1747	17	-27	27	1747	17	-27	27	1747	17	-27	27	1747	17	-27	27	1747	17	-27	27	1747	17	-27	27	1747	17	-27	27	1747	17	-27	27	1747	17	-27	27	1747	17	-27	27	1747	17	-27	27	1747	17	-27	27	1747	17	-27	27	1747	17	-27	27	1747
18	-162	63	1810	18	-162	63	1810	18	-162	63	1810	18	-162	63	1810	18	-162	63	1810	18	-162	63	1810	18	-162	63	1810	18	-162	63	1810	18	-162	63	1810	18	-162	63	1810	18	-162	63	1810	18	-162	63	1810	18	-162	63	1810	18	-162	63	1810	18	-162	63	1810	18	-162	63	1810	18	-162	63	1810	18	-162	63	1810	18	-162	63	1810
19	-150	51	1861	19	-150	51	1861	19	-150	51	1861	19	-150	51	1861	19	-150	51	1861	19	-150	51	1861	19	-150	51	1861	19	-150	51	1861	19	-150	51	1861	19	-150	51	1861	19	-150	51	1861	19	-150	51	1861	19	-150	51	1861	19	-150	51	1861	19	-150	51	1861	19	-150	51	1861	19	-150	51	1861	19	-150	51	1861	19	-150	51	1861
20	-278	80	1941	20	-278	80	1941	20	-278	80	1941	20	-278	80	1941	20	-278	80	1941	20	-278	80	1941	20	-278	80	1941	20	-278	80	1941	20	-278	80	1941	20	-278	80	1941	20	-278	80	1941	20	-278	80	1941	20	-278	80	1941	20	-278	80	1941	20	-278	80	1941	20	-278	80	1941	20	-278	80	1941	20	-278	80	1941	20	-278	80	1941
21	-19	19	1960	21	-19	19	1960	21	-19	19	1960	21	-19	19	1960	21	-19	19	1960	21	-19	19	1960	21	-19	19	1960	21	-19	19	1960	21	-19	19	1960	21	-19	19	1960	21	-19	19	1960	21	-19	19	1960	21	-19	19	1960	21	-19	19	1960	21	-19	19	1960	21	-19	19	1960	21	-19	19	1960	21	-19	19	1960	21	-19	19	1960
22	-37	37	1997	22	-37	37	1997	22	-37	37	1997	22	-37	37	1997	22	-37	37	1997	22	-37	37	1997	22	-37	37	1997	22	-37	37	1997	22	-37	37	1997	22	-37	37	1997	22	-37	37	1997	22	-37	37	1997	22	-37	37	1997	22	-37	37	1997	22	-37	37	1997	22	-37	37	1997	22	-37	37	1997	22	-37	37	1997	22	-37	37	1997
23	-34	34	2031	23	-34	34	2031	23	-34	34	2031	23	-34	34	2031	23	-34	34	2031	23	-34	34	2031	23	-34	34	2031	23	-34	34	2031	23	-34	34	2031	23	-34	34	2031	23	-34	34	2031	23	-34	34	2031	23	-34	34	2031	23	-34	34	2031	23	-34	34	2031	23	-34	34	2031	23	-34	34	2031	23	-34	34	2031	23	-34	34	2031
24	-44	44	2075	24	-44	44	2075	24	-44	44	2075	24	-44	44	2075	24	-44	44	2075	24	-44	44	2075	24	-44	44	2075	24	-44	44	2075	24	-44	44	2075	24	-44	44	2075	24	-44	44	2075	24	-44	44	2075	24	-44	44	2075	24	-44	44	2075	24	-44	44	2075	24	-44	44	2075	24	-44	44	2075	24	-44	44	2075	24	-44	44	2075
25	-34	34	2109	25	-34	34	2109	25	-34	34	2109	25	-34	34	2109	25	-34	34	2109	25	-34	34	2109	25	-34	34	2109	25	-34	34	2109	25	-34	34	2109	25	-34	34	2109	25	-34	34	2109	25	-34	34	2109	25	-34	34	2109	25	-34	34	2109	25	-34	34	2109	25	-34	34	2109	25	-34	34	2109	25	-34	34	2109	25	-34	34	2109
26	-26	26	2135	26	-26	26	2135	26	-26	26	2135	26	-26	26	2135	26	-26	26	2135	26	-26	26	2135	26	-26	26	2135	26	-26	26	2135	26	-26	26	2135	26	-26	26	2135	26	-26	26	2135	26	-26	26	2135	26	-26	26	2135	26	-26	26	2135	26	-26	26	2135	26	-26	26	2135	26	-26	26	2135	26	-26	26	2135	26	-26	26	2135
27	-21	21	2156	27	-21	21	2156	27	-21	21	2156	27	-21	21	2156	27	-21	21	2156	27	-21	21	2156	27	-21	21	2156	27	-21	21	2156	27	-21	21	2156	27	-21	21	2156	27	-21	21	2156	27	-21	21	2156	27	-21	21	2156	27	-21	21	2156	27	-21	21	2156	27	-21	21	2156	27	-21	21	2156	27	-21	21	2156	27	-21	21	2156
