Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440	0	-1529	440	440
1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581	1	-339	141	581
2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719	2	-138	138	719
3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798	3	-79	79	798
4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882	4	-183	84	882
5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907	5	-25	25	907
6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011	6	-104	104	1011
7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093	7	-181	82	1093
8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128	8	-35	35	1128
9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206	9	-78	78	1206
10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266	10	-159	60	1266
11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321	11	-55	55	1321
12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391	12	-268	70	1391
13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479	13	-187	88	1479
14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541	14	-260	62	1541
15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586	15	-45	45	1586
16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611	16	-25	25	1611
17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659	17	-48	48	1659
