Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491	0	-1778	491	491
1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634	1	-341	143	634
2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698	2	-64	64	698
3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783	3	-85	85	783
4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842	4	-59	59	842
5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945	5	-202	103	945
6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006	6	-61	61	1006
7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054	7	-48	48	1054
8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129	8	-75	75	1129
9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203	9	-74	74	1203
