Episode	Accumulated Reward	Length	Steps
0	-2171	488	488
1	-319	121	609
2	-92	92	701
3	-100	100	801
4	-51	51	852
5	-225	126	978
6	-43	43	1021
7	-60	60	1081
8	-61	61	1142
9	-73	73	1215
10	-69	69	1284
11	-47	47	1331
12	-207	108	1439
13	-147	48	1487
14	-41	41	1528
15	-346	148	1676
16	-29	29	1705
17	-23	23	1728
18	-34	34	1762
19	-23	23	1785
20	-26	26	1811
21	-31	31	1842
22	-31	31	1873
23	-48	48	1921
24	-25	25	1946
25	-17	17	1963
26	-27	27	1990
27	-44	44	2034
28	-36	36	2070
29	-19	19	2089
30	-37	37	2126
31	-29	29	2155
32	-23	23	2178
33	-38	38	2216
34	-27	27	2243
35	-22	22	2265
36	-52	52	2317
37	-33	33	2350
38	-29	29	2379
39	-147	48	2427
40	-29	29	2456
41	-40	40	2496
42	-27	27	2523
43	-31	31	2554
44	-27	27	2581
45	-23	23	2604
46	-52	52	2656
47	-23	23	2679
48	-23	23	2702
49	-143	44	2746
50	-25	25	2771
51	-29	29	2800
52	-150	51	2851
53	-134	35	2886
54	-19	19	2905
55	-25	25	2930
56	-32	32	2962
57	-24	24	2986
58	-27	27	3013
59	-25	25	3038
60	-19	19	3057
61	-33	33	3090
62	-23	23	3113
63	-22	22	3135
64	-17	17	3152
65	-25	25	3177
66	-28	28	3205
67	-19	19	3224
68	-28	28	3252
69	-26	26	3278
70	-23	23	3301
71	-26	26	3327
72	-24	24	3351
73	-21	21	3372
74	-33	33	3405
75	-27	27	3432
76	-17	17	3449
77	-122	23	3472
78	-20	20	3492
79	-20	20	3512
80	-17	17	3529
81	-27	27	3556
82	-20	20	3576
83	-20	20	3596
84	-117	18	3614
85	-17	17	3631
86	-27	27	3658
87	-21	21	3679
88	-20	20	3699
89	-17	17	3716
90	-31	31	3747
91	-19	19	3766
92	-17	17	3783
93	-19	19	3802
94	-19	19	3821
95	-17	17	3838
96	-18	18	3856
97	-25	25	3881
98	-17	17	3898
99	-21	21	3919
100	-17	17	3936
101	-20	20	3956
102	-19	19	3975
103	-21	21	3996
104	-20	20	4016
105	-17	17	4033
106	-26	26	4059
107	-19	19	4078
108	-23	23	4101
109	-17	17	4118
110	-17	17	4135
111	-17	17	4152
112	-17	17	4169
113	-19	19	4188
114	-17	17	4205
115	-18	18	4223
116	-18	18	4241
117	-24	24	4265
118	-17	17	4282
119	-24	24	4306
120	-19	19	4325
121	-19	19	4344
122	-22	22	4366
123	-19	19	4385
124	-17	17	4402
125	-17	17	4419
126	-25	25	4444
127	-17	17	4461
128	-120	21	4482
129	-21	21	4503
130	-146	47	4550
131	-23	23	4573
132	-20	20	4593
133	-18	18	4611
134	-18	18	4629
135	-18	18	4647
136	-32	32	4679
137	-24	24	4703
138	-25	25	4728
139	-20	20	4748
140	-29	29	4777
141	-17	17	4794
142	-19	19	4813
143	-17	17	4830
144	-20	20	4850
145	-24	24	4874
146	-19	19	4893
147	-22	22	4915
148	-20	20	4935
149	-17	17	4952
150	-20	20	4972
151	-21	21	4993
152	-24	24	5017
153	-20	20	5037
154	-27	27	5064
155	-25	25	5089
156	-27	27	5116
157	-27	27	5143
158	-20	20	5163
159	-21	21	5184
160	-19	19	5203
161	-19	19	5222
162	-18	18	5240
163	-19	19	5259
164	-25	25	5284
165	-26	26	5310
166	-19	19	5329
167	-26	26	5355
168	-26	26	5381
169	-24	24	5405
170	-19	19	5424
171	-20	20	5444
172	-21	21	5465
173	-22	22	5487
174	-17	17	5504
175	-17	17	5521
176	-19	19	5540
177	-19	19	5559
178	-23	23	5582
179	-26	26	5608
180	-21	21	5629
181	-17	17	5646
182	-20	20	5666
183	-19	19	5685
184	-20	20	5705
185	-20	20	5725
186	-17	17	5742
187	-20	20	5762
188	-21	21	5783
189	-19	19	5802
190	-18	18	5820
191	-25	25	5845
192	-31	31	5876
193	-33	33	5909
194	-32	32	5941
195	-29	29	5970
196	-27	27	5997
197	-26	26	6023
198	-247	49	6072
199	-22	22	6094
