Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-31	31	31	0	-31	31	31
1	-21	21	52	1	-21	21	52
2	-132	33	85	2	-132	33	85
3	-23	23	108	3	-23	23	108
4	-124	25	133	4	-124	25	133
5	-17	17	150	5	-17	17	150
6	-20	20	170	6	-20	20	170
7	-22	22	192	7	-22	22	192
8	-23	23	215	8	-23	23	215
9	-18	18	233	9	-18	18	233
10	-21	21	254	10	-21	21	254
11	-119	20	274	11	-119	20	274
12	-18	18	292	12	-18	18	292
13	-26	26	318	13	-26	26	318
14	-17	17	335	14	-17	17	335
15	-17	17	352	15	-17	17	352
16	-22	22	374	16	-22	22	374
17	-21	21	395	17	-21	21	395
18	-22	22	417	18	-22	22	417
19	-23	23	440	19	-23	23	440
20	-21	21	461	20	-21	21	461
21	-18	18	479	21	-18	18	479
22	-19	19	498	22	-19	19	498
23	-17	17	515	23	-17	17	515
24	-19	19	534	24	-19	19	534
25	-17	17	551	25	-17	17	551
26	-18	18	569	26	-18	18	569
27	-17	17	586	27	-17	17	586
28	-17	17	603	28	-17	17	603
29	-21	21	624	29	-21	21	624
30	-17	17	641	30	-17	17	641
31	-21	21	662	31	-21	21	662
32	-20	20	682	32	-20	20	682
33	-23	23	705	33	-23	23	705
34	-17	17	722	34	-17	17	722
35	-18	18	740	35	-18	18	740
36	-22	22	762	36	-22	22	762
37	-17	17	779	37	-17	17	779
38	-18	18	797	38	-18	18	797
39	-17	17	814	39	-17	17	814
40	-18	18	832	40	-18	18	832
41	-20	20	852	41	-20	20	852
42	-18	18	870	42	-18	18	870
43	-39	39	909	43	-39	39	909
44	-19	19	928	44	-19	19	928
45	-18	18	946	45	-18	18	946
46	-17	17	963	46	-17	17	963
47	-19	19	982	47	-19	19	982
48	-19	19	1001	48	-19	19	1001
49	-19	19	1020	49	-19	19	1020
50	-17	17	1037	50	-17	17	1037
51	-17	17	1054	51	-17	17	1054
52	-17	17	1071	52	-17	17	1071
53	-21	21	1092	53	-21	21	1092
54	-19	19	1111	54	-19	19	1111
55	-20	20	1131	55	-20	20	1131
56	-18	18	1149	56	-18	18	1149
57	-20	20	1169	57	-20	20	1169
58	-19	19	1188	58	-19	19	1188
59	-22	22	1210	59	-22	22	1210
60	-17	17	1227	60	-17	17	1227
61	-18	18	1245	61	-18	18	1245
62	-218	20	1265	62	-218	20	1265
63	-123	24	1289	63	-123	24	1289
64	-21	21	1310	64	-21	21	1310
65	-17	17	1327	65	-17	17	1327
66	-19	19	1346	66	-19	19	1346
67	-20	20	1366	67	-20	20	1366
68	-31	31	1397	68	-31	31	1397
69	-21	21	1418	69	-21	21	1418
70	-19	19	1437	70	-19	19	1437
71	-114	114	1551	71	-114	114	1551
72	-51	51	1602	72	-51	51	1602
73	-52	52	1654	73	-52	52	1654
74	-33	33	1687	74	-33	33	1687
75	-21	21	1708	75	-21	21	1708
76	-17	17	1725	76	-17	17	1725
77	-24	24	1749	77	-24	24	1749
78	-29	29	1778	78	-29	29	1778
79	-23	23	1801	79	-23	23	1801
80	-18	18	1819	80	-18	18	1819
81	-17	17	1836	81	-17	17	1836
82	-18	18	1854	82	-18	18	1854
83	-17	17	1871	83	-17	17	1871
84	-20	20	1891	84	-20	20	1891
85	-19	19	1910	85	-19	19	1910
86	-22	22	1932	86	-22	22	1932
87	-18	18	1950	87	-18	18	1950
88	-29	29	1979	88	-29	29	1979
89	-27	27	2006	89	-27	27	2006
90	-19	19	2025	90	-19	19	2025
91	-19	19	2044	91	-19	19	2044
92	-21	21	2065	92	-21	21	2065
93	-19	19	2084	93	-19	19	2084
94	-17	17	2101	94	-17	17	2101
95	-19	19	2120	95	-19	19	2120
96	-18	18	2138	96	-18	18	2138
97	-26	26	2164	97	-26	26	2164
98	-18	18	2182	98	-18	18	2182
99	-17	17	2199	99	-17	17	2199
100	-19	19	2218	100	-19	19	2218
101	-17	17	2235	101	-17	17	2235
102	-21	21	2256	102	-21	21	2256
103	-19	19	2275	103	-19	19	2275
104	-17	17	2292	104	-17	17	2292
105	-19	19	2311	105	-19	19	2311
106	-19	19	2330	106	-19	19	2330
107	-18	18	2348	107	-18	18	2348
108	-17	17	2365	108	-17	17	2365
109	-19	19	2384	109	-19	19	2384
110	-21	21	2405	110	-21	21	2405
111	-17	17	2422	111	-17	17	2422
112	-21	21	2443	112	-21	21	2443
113	-17	17	2460	113	-17	17	2460
114	-21	21	2481	114	-21	21	2481
115	-19	19	2500	115	-19	19	2500
116	-23	23	2523	116	-23	23	2523
117	-19	19	2542	117	-19	19	2542
118	-23	23	2565	118	-23	23	2565
119	-127	28	2593	119	-127	28	2593
120	-22	22	2615	120	-22	22	2615
121	-26	26	2641	121	-26	26	2641
122	-22	22	2663	122	-22	22	2663
123	-121	22	2685	123	-121	22	2685
124	-19	19	2704	124	-19	19	2704
