Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-19	19	19	0	-19	19	19	0	-19	19	19
1	-129	30	49	1	-129	30	49	1	-129	30	49
2	-17	17	66	2	-17	17	66	2	-17	17	66
3	-18	18	84	3	-18	18	84	3	-18	18	84
4	-18	18	102	4	-18	18	102	4	-18	18	102
5	-41	41	143	5	-41	41	143	5	-41	41	143
6	-24	24	167	6	-24	24	167	6	-24	24	167
7	-21	21	188	7	-21	21	188	7	-21	21	188
8	-20	20	208	8	-20	20	208	8	-20	20	208
9	-17	17	225	9	-17	17	225	9	-17	17	225
10	-20	20	245	10	-20	20	245	10	-20	20	245
11	-23	23	268	11	-23	23	268	11	-23	23	268
12	-20	20	288	12	-20	20	288	12	-20	20	288
13	-22	22	310	13	-22	22	310	13	-22	22	310
14	-21	21	331	14	-21	21	331	14	-21	21	331
15	-17	17	348	15	-17	17	348	15	-17	17	348
16	-19	19	367	16	-19	19	367	16	-19	19	367
17	-17	17	384	17	-17	17	384	17	-17	17	384
18	-20	20	404	18	-20	20	404	18	-20	20	404
19	-17	17	421	19	-17	17	421	19	-17	17	421
20	-21	21	442	20	-21	21	442	20	-21	21	442
21	-17	17	459	21	-17	17	459	21	-17	17	459
22	-19	19	478	22	-19	19	478	22	-19	19	478
23	-19	19	497	23	-19	19	497	23	-19	19	497
24	-18	18	515	24	-18	18	515	24	-18	18	515
25	-20	20	535	25	-20	20	535	25	-20	20	535
26	-25	25	560	26	-25	25	560	26	-25	25	560
27	-18	18	578	27	-18	18	578	27	-18	18	578
28	-17	17	595	28	-17	17	595	28	-17	17	595
29	-19	19	614	29	-19	19	614	29	-19	19	614
30	-17	17	631	30	-17	17	631	30	-17	17	631
31	-23	23	654	31	-23	23	654	31	-23	23	654
32	-17	17	671	32	-17	17	671	32	-17	17	671
33	-17	17	688	33	-17	17	688	33	-17	17	688
34	-19	19	707	34	-19	19	707	34	-19	19	707
35	-140	41	748	35	-140	41	748	35	-140	41	748
36	-19	19	767	36	-19	19	767	36	-19	19	767
37	-19	19	786	37	-19	19	786	37	-19	19	786
38	-19	19	805	38	-19	19	805	38	-19	19	805
39	-17	17	822	39	-17	17	822	39	-17	17	822
40	-21	21	843	40	-21	21	843	40	-21	21	843
41	-17	17	860	41	-17	17	860	41	-17	17	860
42	-20	20	880	42	-20	20	880	42	-20	20	880
43	-17	17	897	43	-17	17	897	43	-17	17	897
44	-25	25	922	44	-25	25	922	44	-25	25	922
45	-17	17	939	45	-17	17	939	45	-17	17	939
46	-19	19	958	46	-19	19	958	46	-19	19	958
47	-21	21	979	47	-21	21	979	47	-21	21	979
48	-19	19	998	48	-19	19	998	48	-19	19	998
49	-119	20	1018	49	-119	20	1018	49	-119	20	1018
50	-23	23	1041	50	-23	23	1041	50	-23	23	1041
51	-19	19	1060	51	-19	19	1060	51	-19	19	1060
52	-21	21	1081	52	-21	21	1081	52	-21	21	1081
53	-889	790	1871	53	-889	790	1871	53	-889	790	1871
54	-150	150	2021	54	-150	150	2021	54	-150	150	2021
55	-84	84	2105	55	-84	84	2105	55	-84	84	2105
56	-35	35	2140	56	-35	35	2140	56	-35	35	2140
57	-252	153	2293	57	-252	153	2293	57	-252	153	2293
58	-1440	1044	3337	58	-1440	1044	3337	58	-1440	1044	3337
59	-456	258	3595	59	-456	258	3595	59	-456	258	3595
60	-59	59	3654	60	-59	59	3654	60	-59	59	3654
61	-43	43	3697	61	-43	43	3697	61	-43	43	3697
62	-65	65	3762	62	-65	65	3762	62	-65	65	3762
63	-74	74	3836	63	-74	74	3836	63	-74	74	3836
64	-24	24	3860	64	-24	24	3860	64	-24	24	3860
65	-34	34	3894	65	-34	34	3894	65	-34	34	3894
66	-36	36	3930	66	-36	36	3930	66	-36	36	3930
67	-33	33	3963	67	-33	33	3963	67	-33	33	3963
68	-19	19	3982	68	-19	19	3982	68	-19	19	3982
69	-38	38	4020	69	-38	38	4020	69	-38	38	4020
70	-41	41	4061	70	-41	41	4061	70	-41	41	4061
71	-39	39	4100	71	-39	39	4100	71	-39	39	4100
72	-28	28	4128	72	-28	28	4128	72	-28	28	4128
73	-25	25	4153	73	-25	25	4153	73	-25	25	4153
74	-120	21	4174	74	-120	21	4174	74	-120	21	4174
75	-17	17	4191	75	-17	17	4191	75	-17	17	4191
76	-17	17	4208	76	-17	17	4208	76	-17	17	4208
77	-15	15	4223	77	-15	15	4223	77	-15	15	4223
78	-15	15	4238	78	-15	15	4238	78	-15	15	4238
79	-16	16	4254	79	-16	16	4254	79	-16	16	4254
80	-19	19	4273	80	-19	19	4273	80	-19	19	4273
81	-25	25	4298	81	-25	25	4298	81	-25	25	4298
82	-15	15	4313	82	-15	15	4313	82	-15	15	4313
83	-18	18	4331	83	-18	18	4331	83	-18	18	4331
84	-15	15	4346	84	-15	15	4346	84	-15	15	4346
85	-15	15	4361	85	-15	15	4361	85	-15	15	4361
86	-18	18	4379	86	-18	18	4379	86	-18	18	4379
87	-23	23	4402	87	-23	23	4402	87	-23	23	4402
88	-17	17	4419	88	-17	17	4419	88	-17	17	4419
89	-159	60	4479	89	-159	60	4479	89	-159	60	4479
90	-17	17	4496	90	-17	17	4496	90	-17	17	4496
91	-131	32	4528	91	-131	32	4528	91	-131	32	4528
92	-17	17	4545	92	-17	17	4545	92	-17	17	4545
93	-21	21	4566	93	-21	21	4566	93	-21	21	4566
94	-19	19	4585	94	-19	19	4585	94	-19	19	4585
95	-22	22	4607	95	-22	22	4607	95	-22	22	4607
96	-19	19	4626	96	-19	19	4626	96	-19	19	4626
97	-17	17	4643	97	-17	17	4643	97	-17	17	4643
98	-23	23	4666	98	-23	23	4666	98	-23	23	4666
99	-20	20	4686	99	-20	20	4686	99	-20	20	4686
100	-21	21	4707	100	-21	21	4707	100	-21	21	4707
101	-22	22	4729	101	-22	22	4729	101	-22	22	4729
102	-21	21	4750	102	-21	21	4750	102	-21	21	4750
103	-117	18	4768	103	-117	18	4768	103	-117	18	4768
104	-17	17	4785	104	-17	17	4785	104	-17	17	4785
