Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17
1	-19	19	36	1	-19	19	36	1	-19	19	36	1	-19	19	36
2	-24	24	60	2	-24	24	60	2	-24	24	60	2	-24	24	60
3	-17	17	77	3	-17	17	77	3	-17	17	77	3	-17	17	77
4	-19	19	96	4	-19	19	96	4	-19	19	96	4	-19	19	96
5	-17	17	113	5	-17	17	113	5	-17	17	113	5	-17	17	113
6	-17	17	130	6	-17	17	130	6	-17	17	130	6	-17	17	130
7	-17	17	147	7	-17	17	147	7	-17	17	147	7	-17	17	147
8	-20	20	167	8	-20	20	167	8	-20	20	167	8	-20	20	167
9	-17	17	184	9	-17	17	184	9	-17	17	184	9	-17	17	184
10	-23	23	207	10	-23	23	207	10	-23	23	207	10	-23	23	207
11	-17	17	224	11	-17	17	224	11	-17	17	224	11	-17	17	224
12	-23	23	247	12	-23	23	247	12	-23	23	247	12	-23	23	247
13	-21	21	268	13	-21	21	268	13	-21	21	268	13	-21	21	268
14	-17	17	285	14	-17	17	285	14	-17	17	285	14	-17	17	285
15	-19	19	304	15	-19	19	304	15	-19	19	304	15	-19	19	304
16	-17	17	321	16	-17	17	321	16	-17	17	321	16	-17	17	321
17	-19	19	340	17	-19	19	340	17	-19	19	340	17	-19	19	340
18	-19	19	359	18	-19	19	359	18	-19	19	359	18	-19	19	359
19	-21	21	380	19	-21	21	380	19	-21	21	380	19	-21	21	380
20	-31	31	411	20	-31	31	411	20	-31	31	411	20	-31	31	411
21	-19	19	430	21	-19	19	430	21	-19	19	430	21	-19	19	430
22	-21	21	451	22	-21	21	451	22	-21	21	451	22	-21	21	451
23	-18	18	469	23	-18	18	469	23	-18	18	469	23	-18	18	469
24	-17	17	486	24	-17	17	486	24	-17	17	486	24	-17	17	486
25	-19	19	505	25	-19	19	505	25	-19	19	505	25	-19	19	505
26	-17	17	522	26	-17	17	522	26	-17	17	522	26	-17	17	522
