Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19	0	-19	19	19
1	-17	17	36	1	-17	17	36	1	-17	17	36	1	-17	17	36	1	-17	17	36
2	-18	18	54	2	-18	18	54	2	-18	18	54	2	-18	18	54	2	-18	18	54
3	-17	17	71	3	-17	17	71	3	-17	17	71	3	-17	17	71	3	-17	17	71
4	-17	17	88	4	-17	17	88	4	-17	17	88	4	-17	17	88	4	-17	17	88
5	-17	17	105	5	-17	17	105	5	-17	17	105	5	-17	17	105	5	-17	17	105
6	-20	20	125	6	-20	20	125	6	-20	20	125	6	-20	20	125	6	-20	20	125
7	-19	19	144	7	-19	19	144	7	-19	19	144	7	-19	19	144	7	-19	19	144
8	-21	21	165	8	-21	21	165	8	-21	21	165	8	-21	21	165	8	-21	21	165
9	-17	17	182	9	-17	17	182	9	-17	17	182	9	-17	17	182	9	-17	17	182
10	-20	20	202	10	-20	20	202	10	-20	20	202	10	-20	20	202	10	-20	20	202
11	-21	21	223	11	-21	21	223	11	-21	21	223	11	-21	21	223	11	-21	21	223
12	-24	24	247	12	-24	24	247	12	-24	24	247	12	-24	24	247	12	-24	24	247
13	-25	25	272	13	-25	25	272	13	-25	25	272	13	-25	25	272	13	-25	25	272
14	-17	17	289	14	-17	17	289	14	-17	17	289	14	-17	17	289	14	-17	17	289
15	-21	21	310	15	-21	21	310	15	-21	21	310	15	-21	21	310	15	-21	21	310
16	-23	23	333	16	-23	23	333	16	-23	23	333	16	-23	23	333	16	-23	23	333
17	-24	24	357	17	-24	24	357	17	-24	24	357	17	-24	24	357	17	-24	24	357
18	-21	21	378	18	-21	21	378	18	-21	21	378	18	-21	21	378	18	-21	21	378
19	-23	23	401	19	-23	23	401	19	-23	23	401	19	-23	23	401	19	-23	23	401
20	-17	17	418	20	-17	17	418	20	-17	17	418	20	-17	17	418	20	-17	17	418
21	-21	21	439	21	-21	21	439	21	-21	21	439	21	-21	21	439	21	-21	21	439
22	-21	21	460	22	-21	21	460	22	-21	21	460	22	-21	21	460	22	-21	21	460
23	-18	18	478	23	-18	18	478	23	-18	18	478	23	-18	18	478	23	-18	18	478
