Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17
1	-19	19	36	1	-19	19	36	1	-19	19	36	1	-19	19	36	1	-19	19	36	1	-19	19	36
2	-17	17	53	2	-17	17	53	2	-17	17	53	2	-17	17	53	2	-17	17	53	2	-17	17	53
3	-17	17	70	3	-17	17	70	3	-17	17	70	3	-17	17	70	3	-17	17	70	3	-17	17	70
4	-19	19	89	4	-19	19	89	4	-19	19	89	4	-19	19	89	4	-19	19	89	4	-19	19	89
5	-21	21	110	5	-21	21	110	5	-21	21	110	5	-21	21	110	5	-21	21	110	5	-21	21	110
6	-26	26	136	6	-26	26	136	6	-26	26	136	6	-26	26	136	6	-26	26	136	6	-26	26	136
7	-17	17	153	7	-17	17	153	7	-17	17	153	7	-17	17	153	7	-17	17	153	7	-17	17	153
8	-17	17	170	8	-17	17	170	8	-17	17	170	8	-17	17	170	8	-17	17	170	8	-17	17	170
9	-17	17	187	9	-17	17	187	9	-17	17	187	9	-17	17	187	9	-17	17	187	9	-17	17	187
10	-18	18	205	10	-18	18	205	10	-18	18	205	10	-18	18	205	10	-18	18	205	10	-18	18	205
11	-18	18	223	11	-18	18	223	11	-18	18	223	11	-18	18	223	11	-18	18	223	11	-18	18	223
12	-19	19	242	12	-19	19	242	12	-19	19	242	12	-19	19	242	12	-19	19	242	12	-19	19	242
13	-25	25	267	13	-25	25	267	13	-25	25	267	13	-25	25	267	13	-25	25	267	13	-25	25	267
14	-18	18	285	14	-18	18	285	14	-18	18	285	14	-18	18	285	14	-18	18	285	14	-18	18	285
15	-19	19	304	15	-19	19	304	15	-19	19	304	15	-19	19	304	15	-19	19	304	15	-19	19	304
16	-20	20	324	16	-20	20	324	16	-20	20	324	16	-20	20	324	16	-20	20	324	16	-20	20	324
17	-17	17	341	17	-17	17	341	17	-17	17	341	17	-17	17	341	17	-17	17	341	17	-17	17	341
18	-19	19	360	18	-19	19	360	18	-19	19	360	18	-19	19	360	18	-19	19	360	18	-19	19	360
19	-27	27	387	19	-27	27	387	19	-27	27	387	19	-27	27	387	19	-27	27	387	19	-27	27	387
20	-32	32	419	20	-32	32	419	20	-32	32	419	20	-32	32	419	20	-32	32	419	20	-32	32	419
21	-24	24	443	21	-24	24	443	21	-24	24	443	21	-24	24	443	21	-24	24	443	21	-24	24	443
22	-21	21	464	22	-21	21	464	22	-21	21	464	22	-21	21	464	22	-21	21	464	22	-21	21	464
23	-19	19	483	23	-19	19	483	23	-19	19	483	23	-19	19	483	23	-19	19	483	23	-19	19	483
24	-18	18	501	24	-18	18	501	24	-18	18	501	24	-18	18	501	24	-18	18	501	24	-18	18	501
25	-21	21	522	25	-21	21	522	25	-21	21	522	25	-21	21	522	25	-21	21	522	25	-21	21	522
26	-22	22	544	26	-22	22	544	26	-22	22	544	26	-22	22	544	26	-22	22	544	26	-22	22	544
27	-28	28	572	27	-28	28	572	27	-28	28	572	27	-28	28	572	27	-28	28	572	27	-28	28	572
28	-17	17	589	28	-17	17	589	28	-17	17	589	28	-17	17	589	28	-17	17	589	28	-17	17	589
29	-17	17	606	29	-17	17	606	29	-17	17	606	29	-17	17	606	29	-17	17	606	29	-17	17	606
30	-19	19	625	30	-19	19	625	30	-19	19	625	30	-19	19	625	30	-19	19	625	30	-19	19	625
31	-19	19	644	31	-19	19	644	31	-19	19	644	31	-19	19	644	31	-19	19	644	31	-19	19	644
32	-19	19	663	32	-19	19	663	32	-19	19	663	32	-19	19	663	32	-19	19	663	32	-19	19	663
33	-18	18	681	33	-18	18	681	33	-18	18	681	33	-18	18	681	33	-18	18	681	33	-18	18	681
34	-17	17	698	34	-17	17	698	34	-17	17	698	34	-17	17	698	34	-17	17	698	34	-17	17	698
35	-20	20	718	35	-20	20	718	35	-20	20	718	35	-20	20	718	35	-20	20	718	35	-20	20	718
36	-133	34	752	36	-133	34	752	36	-133	34	752	36	-133	34	752	36	-133	34	752	36	-133	34	752
37	-17	17	769	37	-17	17	769	37	-17	17	769	37	-17	17	769	37	-17	17	769	37	-17	17	769
38	-19	19	788	38	-19	19	788	38	-19	19	788	38	-19	19	788	38	-19	19	788	38	-19	19	788
39	-19	19	807	39	-19	19	807	39	-19	19	807	39	-19	19	807	39	-19	19	807	39	-19	19	807
40	-29	29	836	40	-29	29	836	40	-29	29	836	40	-29	29	836	40	-29	29	836	40	-29	29	836
41	-17	17	853	41	-17	17	853	41	-17	17	853	41	-17	17	853	41	-17	17	853	41	-17	17	853
42	-23	23	876	42	-23	23	876	42	-23	23	876	42	-23	23	876	42	-23	23	876	42	-23	23	876
43	-126	27	903	43	-126	27	903	43	-126	27	903	43	-126	27	903	43	-126	27	903	43	-126	27	903
44	-17	17	920	44	-17	17	920	44	-17	17	920	44	-17	17	920	44	-17	17	920	44	-17	17	920
45	-25	25	945	45	-25	25	945	45	-25	25	945	45	-25	25	945	45	-25	25	945	45	-25	25	945
46	-22	22	967	46	-22	22	967	46	-22	22	967	46	-22	22	967	46	-22	22	967	46	-22	22	967
47	-22	22	989	47	-22	22	989	47	-22	22	989	47	-22	22	989	47	-22	22	989	47	-22	22	989
48	-21	21	1010	48	-21	21	1010	48	-21	21	1010	48	-21	21	1010	48	-21	21	1010	48	-21	21	1010
49	-20	20	1030	49	-20	20	1030	49	-20	20	1030	49	-20	20	1030	49	-20	20	1030	49	-20	20	1030
50	-33	33	1063	50	-33	33	1063	50	-33	33	1063	50	-33	33	1063	50	-33	33	1063	50	-33	33	1063
51	-19	19	1082	51	-19	19	1082	51	-19	19	1082	51	-19	19	1082	51	-19	19	1082	51	-19	19	1082
52	-17	17	1099	52	-17	17	1099	52	-17	17	1099	52	-17	17	1099	52	-17	17	1099	52	-17	17	1099
53	-19	19	1118	53	-19	19	1118	53	-19	19	1118	53	-19	19	1118	53	-19	19	1118	53	-19	19	1118
54	-18	18	1136	54	-18	18	1136	54	-18	18	1136	54	-18	18	1136	54	-18	18	1136	54	-18	18	1136
55	-17	17	1153	55	-17	17	1153	55	-17	17	1153	55	-17	17	1153	55	-17	17	1153	55	-17	17	1153
56	-21	21	1174	56	-21	21	1174	56	-21	21	1174	56	-21	21	1174	56	-21	21	1174	56	-21	21	1174
57	-20	20	1194	57	-20	20	1194	57	-20	20	1194	57	-20	20	1194	57	-20	20	1194	57	-20	20	1194
58	-23	23	1217	58	-23	23	1217	58	-23	23	1217	58	-23	23	1217	58	-23	23	1217	58	-23	23	1217
59	-24	24	1241	59	-24	24	1241	59	-24	24	1241	59	-24	24	1241	59	-24	24	1241	59	-24	24	1241
60	-23	23	1264	60	-23	23	1264	60	-23	23	1264	60	-23	23	1264	60	-23	23	1264	60	-23	23	1264
61	-49	49	1313	61	-49	49	1313	61	-49	49	1313	61	-49	49	1313	61	-49	49	1313	61	-49	49	1313
62	-17	17	1330	62	-17	17	1330	62	-17	17	1330	62	-17	17	1330	62	-17	17	1330	62	-17	17	1330
63	-18	18	1348	63	-18	18	1348	63	-18	18	1348	63	-18	18	1348	63	-18	18	1348	63	-18	18	1348
64	-17	17	1365	64	-17	17	1365	64	-17	17	1365	64	-17	17	1365	64	-17	17	1365	64	-17	17	1365
65	-17	17	1382	65	-17	17	1382	65	-17	17	1382	65	-17	17	1382	65	-17	17	1382	65	-17	17	1382
66	-22	22	1404	66	-22	22	1404	66	-22	22	1404	66	-22	22	1404	66	-22	22	1404	66	-22	22	1404
67	-19	19	1423	67	-19	19	1423	67	-19	19	1423	67	-19	19	1423	67	-19	19	1423	67	-19	19	1423
68	-18	18	1441	68	-18	18	1441	68	-18	18	1441	68	-18	18	1441	68	-18	18	1441	68	-18	18	1441
69	-19	19	1460	69	-19	19	1460	69	-19	19	1460	69	-19	19	1460	69	-19	19	1460	69	-19	19	1460
70	-30	30	1490	70	-30	30	1490	70	-30	30	1490	70	-30	30	1490	70	-30	30	1490	70	-30	30	1490
71	-22	22	1512	71	-22	22	1512	71	-22	22	1512	71	-22	22	1512	71	-22	22	1512	71	-22	22	1512
