Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-18	18	18	0	-18	18	18	0	-18	18	18	0	-18	18	18	0	-18	18	18	0	-18	18	18	0	-18	18	18
1	-18	18	36	1	-18	18	36	1	-18	18	36	1	-18	18	36	1	-18	18	36	1	-18	18	36	1	-18	18	36
2	-19	19	55	2	-19	19	55	2	-19	19	55	2	-19	19	55	2	-19	19	55	2	-19	19	55	2	-19	19	55
3	-20	20	75	3	-20	20	75	3	-20	20	75	3	-20	20	75	3	-20	20	75	3	-20	20	75	3	-20	20	75
4	-20	20	95	4	-20	20	95	4	-20	20	95	4	-20	20	95	4	-20	20	95	4	-20	20	95	4	-20	20	95
5	-17	17	112	5	-17	17	112	5	-17	17	112	5	-17	17	112	5	-17	17	112	5	-17	17	112	5	-17	17	112
6	-21	21	133	6	-21	21	133	6	-21	21	133	6	-21	21	133	6	-21	21	133	6	-21	21	133	6	-21	21	133
7	-21	21	154	7	-21	21	154	7	-21	21	154	7	-21	21	154	7	-21	21	154	7	-21	21	154	7	-21	21	154
8	-21	21	175	8	-21	21	175	8	-21	21	175	8	-21	21	175	8	-21	21	175	8	-21	21	175	8	-21	21	175
9	-17	17	192	9	-17	17	192	9	-17	17	192	9	-17	17	192	9	-17	17	192	9	-17	17	192	9	-17	17	192
10	-17	17	209	10	-17	17	209	10	-17	17	209	10	-17	17	209	10	-17	17	209	10	-17	17	209	10	-17	17	209
11	-17	17	226	11	-17	17	226	11	-17	17	226	11	-17	17	226	11	-17	17	226	11	-17	17	226	11	-17	17	226
12	-19	19	245	12	-19	19	245	12	-19	19	245	12	-19	19	245	12	-19	19	245	12	-19	19	245	12	-19	19	245
13	-17	17	262	13	-17	17	262	13	-17	17	262	13	-17	17	262	13	-17	17	262	13	-17	17	262	13	-17	17	262
14	-17	17	279	14	-17	17	279	14	-17	17	279	14	-17	17	279	14	-17	17	279	14	-17	17	279	14	-17	17	279
15	-20	20	299	15	-20	20	299	15	-20	20	299	15	-20	20	299	15	-20	20	299	15	-20	20	299	15	-20	20	299
16	-17	17	316	16	-17	17	316	16	-17	17	316	16	-17	17	316	16	-17	17	316	16	-17	17	316	16	-17	17	316
17	-17	17	333	17	-17	17	333	17	-17	17	333	17	-17	17	333	17	-17	17	333	17	-17	17	333	17	-17	17	333
18	-28	28	361	18	-28	28	361	18	-28	28	361	18	-28	28	361	18	-28	28	361	18	-28	28	361	18	-28	28	361
19	-18	18	379	19	-18	18	379	19	-18	18	379	19	-18	18	379	19	-18	18	379	19	-18	18	379	19	-18	18	379
20	-17	17	396	20	-17	17	396	20	-17	17	396	20	-17	17	396	20	-17	17	396	20	-17	17	396	20	-17	17	396
21	-19	19	415	21	-19	19	415	21	-19	19	415	21	-19	19	415	21	-19	19	415	21	-19	19	415	21	-19	19	415
22	-19	19	434	22	-19	19	434	22	-19	19	434	22	-19	19	434	22	-19	19	434	22	-19	19	434	22	-19	19	434
23	-24	24	458	23	-24	24	458	23	-24	24	458	23	-24	24	458	23	-24	24	458	23	-24	24	458	23	-24	24	458
24	-23	23	481	24	-23	23	481	24	-23	23	481	24	-23	23	481	24	-23	23	481	24	-23	23	481	24	-23	23	481
25	-26	26	507	25	-26	26	507	25	-26	26	507	25	-26	26	507	25	-26	26	507	25	-26	26	507	25	-26	26	507
26	-20	20	527	26	-20	20	527	26	-20	20	527	26	-20	20	527	26	-20	20	527	26	-20	20	527	26	-20	20	527
27	-17	17	544	27	-17	17	544	27	-17	17	544	27	-17	17	544	27	-17	17	544	27	-17	17	544	27	-17	17	544
28	-31	31	575	28	-31	31	575	28	-31	31	575	28	-31	31	575	28	-31	31	575	28	-31	31	575	28	-31	31	575
29	-17	17	592	29	-17	17	592	29	-17	17	592	29	-17	17	592	29	-17	17	592	29	-17	17	592	29	-17	17	592
30	-17	17	609	30	-17	17	609	30	-17	17	609	30	-17	17	609	30	-17	17	609	30	-17	17	609	30	-17	17	609
31	-17	17	626	31	-17	17	626	31	-17	17	626	31	-17	17	626	31	-17	17	626	31	-17	17	626	31	-17	17	626
32	-19	19	645	32	-19	19	645	32	-19	19	645	32	-19	19	645	32	-19	19	645	32	-19	19	645	32	-19	19	645
33	-19	19	664	33	-19	19	664	33	-19	19	664	33	-19	19	664	33	-19	19	664	33	-19	19	664	33	-19	19	664
34	-21	21	685	34	-21	21	685	34	-21	21	685	34	-21	21	685	34	-21	21	685	34	-21	21	685	34	-21	21	685
35	-18	18	703	35	-18	18	703	35	-18	18	703	35	-18	18	703	35	-18	18	703	35	-18	18	703	35	-18	18	703
36	-21	21	724	36	-21	21	724	36	-21	21	724	36	-21	21	724	36	-21	21	724	36	-21	21	724	36	-21	21	724
37	-17	17	741	37	-17	17	741	37	-17	17	741	37	-17	17	741	37	-17	17	741	37	-17	17	741	37	-17	17	741
38	-20	20	761	38	-20	20	761	38	-20	20	761	38	-20	20	761	38	-20	20	761	38	-20	20	761	38	-20	20	761
39	-25	25	786	39	-25	25	786	39	-25	25	786	39	-25	25	786	39	-25	25	786	39	-25	25	786	39	-25	25	786
40	-23	23	809	40	-23	23	809	40	-23	23	809	40	-23	23	809	40	-23	23	809	40	-23	23	809	40	-23	23	809
41	-17	17	826	41	-17	17	826	41	-17	17	826	41	-17	17	826	41	-17	17	826	41	-17	17	826	41	-17	17	826
42	-18	18	844	42	-18	18	844	42	-18	18	844	42	-18	18	844	42	-18	18	844	42	-18	18	844	42	-18	18	844
43	-17	17	861	43	-17	17	861	43	-17	17	861	43	-17	17	861	43	-17	17	861	43	-17	17	861	43	-17	17	861
44	-17	17	878	44	-17	17	878	44	-17	17	878	44	-17	17	878	44	-17	17	878	44	-17	17	878	44	-17	17	878
45	-19	19	897	45	-19	19	897	45	-19	19	897	45	-19	19	897	45	-19	19	897	45	-19	19	897	45	-19	19	897
46	-17	17	914	46	-17	17	914	46	-17	17	914	46	-17	17	914	46	-17	17	914	46	-17	17	914	46	-17	17	914
47	-21	21	935	47	-21	21	935	47	-21	21	935	47	-21	21	935	47	-21	21	935	47	-21	21	935	47	-21	21	935
48	-19	19	954	48	-19	19	954	48	-19	19	954	48	-19	19	954	48	-19	19	954	48	-19	19	954	48	-19	19	954
49	-17	17	971	49	-17	17	971	49	-17	17	971	49	-17	17	971	49	-17	17	971	49	-17	17	971	49	-17	17	971
50	-21	21	992	50	-21	21	992	50	-21	21	992	50	-21	21	992	50	-21	21	992	50	-21	21	992	50	-21	21	992
51	-17	17	1009	51	-17	17	1009	51	-17	17	1009	51	-17	17	1009	51	-17	17	1009	51	-17	17	1009	51	-17	17	1009
52	-17	17	1026	52	-17	17	1026	52	-17	17	1026	52	-17	17	1026	52	-17	17	1026	52	-17	17	1026	52	-17	17	1026
53	-17	17	1043	53	-17	17	1043	53	-17	17	1043	53	-17	17	1043	53	-17	17	1043	53	-17	17	1043	53	-17	17	1043
54	-21	21	1064	54	-21	21	1064	54	-21	21	1064	54	-21	21	1064	54	-21	21	1064	54	-21	21	1064	54	-21	21	1064
55	-19	19	1083	55	-19	19	1083	55	-19	19	1083	55	-19	19	1083	55	-19	19	1083	55	-19	19	1083	55	-19	19	1083
56	-53	53	1136	56	-53	53	1136	56	-53	53	1136	56	-53	53	1136	56	-53	53	1136	56	-53	53	1136	56	-53	53	1136
57	-19	19	1155	57	-19	19	1155	57	-19	19	1155	57	-19	19	1155	57	-19	19	1155	57	-19	19	1155	57	-19	19	1155
58	-17	17	1172	58	-17	17	1172	58	-17	17	1172	58	-17	17	1172	58	-17	17	1172	58	-17	17	1172	58	-17	17	1172
59	-19	19	1191	59	-19	19	1191	59	-19	19	1191	59	-19	19	1191	59	-19	19	1191	59	-19	19	1191	59	-19	19	1191
60	-20	20	1211	60	-20	20	1211	60	-20	20	1211	60	-20	20	1211	60	-20	20	1211	60	-20	20	1211	60	-20	20	1211
61	-19	19	1230	61	-19	19	1230	61	-19	19	1230	61	-19	19	1230	61	-19	19	1230	61	-19	19	1230	61	-19	19	1230
62	-17	17	1247	62	-17	17	1247	62	-17	17	1247	62	-17	17	1247	62	-17	17	1247	62	-17	17	1247	62	-17	17	1247
63	-22	22	1269	63	-22	22	1269	63	-22	22	1269	63	-22	22	1269	63	-22	22	1269	63	-22	22	1269	63	-22	22	1269
64	-20	20	1289	64	-20	20	1289	64	-20	20	1289	64	-20	20	1289	64	-20	20	1289	64	-20	20	1289	64	-20	20	1289
65	-19	19	1308	65	-19	19	1308	65	-19	19	1308	65	-19	19	1308	65	-19	19	1308	65	-19	19	1308	65	-19	19	1308
66	-28	28	1336	66	-28	28	1336	66	-28	28	1336	66	-28	28	1336	66	-28	28	1336	66	-28	28	1336	66	-28	28	1336
67	-18	18	1354	67	-18	18	1354	67	-18	18	1354	67	-18	18	1354	67	-18	18	1354	67	-18	18	1354	67	-18	18	1354
68	-17	17	1371	68	-17	17	1371	68	-17	17	1371	68	-17	17	1371	68	-17	17	1371	68	-17	17	1371	68	-17	17	1371
69	-19	19	1390	69	-19	19	1390	69	-19	19	1390	69	-19	19	1390	69	-19	19	1390	69	-19	19	1390	69	-19	19	1390
70	-22	22	1412	70	-22	22	1412	70	-22	22	1412	70	-22	22	1412	70	-22	22	1412	70	-22	22	1412	70	-22	22	1412
71	-17	17	1429	71	-17	17	1429	71	-17	17	1429	71	-17	17	1429	71	-17	17	1429	71	-17	17	1429	71	-17	17	1429
72	-37	37	1466	72	-37	37	1466	72	-37	37	1466	72	-37	37	1466	72	-37	37	1466	72	-37	37	1466	72	-37	37	1466
73	-130	31	1497	73	-130	31	1497	73	-130	31	1497	73	-130	31	1497	73	-130	31	1497	73	-130	31	1497	73	-130	31	1497
74	-142	43	1540	74	-142	43	1540	74	-142	43	1540	74	-142	43	1540	74	-142	43	1540	74	-142	43	1540	74	-142	43	1540
75	-19	19	1559	75	-19	19	1559	75	-19	19	1559	75	-19	19	1559	75	-19	19	1559	75	-19	19	1559	75	-19	19	1559
76	-29	29	1588	76	-29	29	1588	76	-29	29	1588	76	-29	29	1588	76	-29	29	1588	76	-29	29	1588	76	-29	29	1588
77	-20	20	1608	77	-20	20	1608	77	-20	20	1608	77	-20	20	1608	77	-20	20	1608	77	-20	20	1608	77	-20	20	1608
78	-19	19	1627	78	-19	19	1627	78	-19	19	1627	78	-19	19	1627	78	-19	19	1627	78	-19	19	1627	78	-19	19	1627
79	-19	19	1646	79	-19	19	1646	79	-19	19	1646	79	-19	19	1646	79	-19	19	1646	79	-19	19	1646	79	-19	19	1646
80	-17	17	1663	80	-17	17	1663	80	-17	17	1663	80	-17	17	1663	80	-17	17	1663	80	-17	17	1663	80	-17	17	1663
81	-24	24	1687	81	-24	24	1687	81	-24	24	1687	81	-24	24	1687	81	-24	24	1687	81	-24	24	1687	81	-24	24	1687
82	-20	20	1707	82	-20	20	1707	82	-20	20	1707	82	-20	20	1707	82	-20	20	1707	82	-20	20	1707	82	-20	20	1707
83	-22	22	1729	83	-22	22	1729	83	-22	22	1729	83	-22	22	1729	83	-22	22	1729	83	-22	22	1729	83	-22	22	1729
84	-18	18	1747	84	-18	18	1747	84	-18	18	1747	84	-18	18	1747	84	-18	18	1747	84	-18	18	1747	84	-18	18	1747
85	-19	19	1766	85	-19	19	1766	85	-19	19	1766	85	-19	19	1766	85	-19	19	1766	85	-19	19	1766	85	-19	19	1766
86	-19	19	1785	86	-19	19	1785	86	-19	19	1785	86	-19	19	1785	86	-19	19	1785	86	-19	19	1785	86	-19	19	1785
87	-17	17	1802	87	-17	17	1802	87	-17	17	1802	87	-17	17	1802	87	-17	17	1802	87	-17	17	1802	87	-17	17	1802
88	-19	19	1821	88	-19	19	1821	88	-19	19	1821	88	-19	19	1821	88	-19	19	1821	88	-19	19	1821	88	-19	19	1821
89	-19	19	1840	89	-19	19	1840	89	-19	19	1840	89	-19	19	1840	89	-19	19	1840	89	-19	19	1840	89	-19	19	1840
90	-26	26	1866	90	-26	26	1866	90	-26	26	1866	90	-26	26	1866	90	-26	26	1866	90	-26	26	1866	90	-26	26	1866
91	-22	22	1888	91	-22	22	1888	91	-22	22	1888	91	-22	22	1888	91	-22	22	1888	91	-22	22	1888	91	-22	22	1888
92	-21	21	1909	92	-21	21	1909	92	-21	21	1909	92	-21	21	1909	92	-21	21	1909	92	-21	21	1909	92	-21	21	1909
93	-20	20	1929	93	-20	20	1929	93	-20	20	1929	93	-20	20	1929	93	-20	20	1929	93	-20	20	1929	93	-20	20	1929
94	-19	19	1948	94	-19	19	1948	94	-19	19	1948	94	-19	19	1948	94	-19	19	1948	94	-19	19	1948	94	-19	19	1948
95	-17	17	1965	95	-17	17	1965	95	-17	17	1965	95	-17	17	1965	95	-17	17	1965	95	-17	17	1965	95	-17	17	1965
96	-24	24	1989	96	-24	24	1989	96	-24	24	1989	96	-24	24	1989	96	-24	24	1989	96	-24	24	1989	96	-24	24	1989
97	-17	17	2006	97	-17	17	2006	97	-17	17	2006	97	-17	17	2006	97	-17	17	2006	97	-17	17	2006	97	-17	17	2006
98	-17	17	2023	98	-17	17	2023	98	-17	17	2023	98	-17	17	2023	98	-17	17	2023	98	-17	17	2023	98	-17	17	2023
99	-23	23	2046	99	-23	23	2046	99	-23	23	2046	99	-23	23	2046	99	-23	23	2046	99	-23	23	2046	99	-23	23	2046
100	-22	22	2068	100	-22	22	2068	100	-22	22	2068	100	-22	22	2068	100	-22	22	2068	100	-22	22	2068	100	-22	22	2068
101	-18	18	2086	101	-18	18	2086	101	-18	18	2086	101	-18	18	2086	101	-18	18	2086	101	-18	18	2086	101	-18	18	2086
102	-18	18	2104	102	-18	18	2104	102	-18	18	2104	102	-18	18	2104	102	-18	18	2104	102	-18	18	2104	102	-18	18	2104
103	-24	24	2128	103	-24	24	2128	103	-24	24	2128	103	-24	24	2128	103	-24	24	2128	103	-24	24	2128	103	-24	24	2128
104	-22	22	2150	104	-22	22	2150	104	-22	22	2150	104	-22	22	2150	104	-22	22	2150	104	-22	22	2150	104	-22	22	2150
105	-26	26	2176	105	-26	26	2176	105	-26	26	2176	105	-26	26	2176	105	-26	26	2176	105	-26	26	2176	105	-26	26	2176
106	-24	24	2200	106	-24	24	2200	106	-24	24	2200	106	-24	24	2200	106	-24	24	2200	106	-24	24	2200	106	-24	24	2200
107	-17	17	2217	107	-17	17	2217	107	-17	17	2217	107	-17	17	2217	107	-17	17	2217	107	-17	17	2217	107	-17	17	2217
108	-17	17	2234	108	-17	17	2234	108	-17	17	2234	108	-17	17	2234	108	-17	17	2234	108	-17	17	2234	108	-17	17	2234
109	-18	18	2252	109	-18	18	2252	109	-18	18	2252	109	-18	18	2252	109	-18	18	2252	109	-18	18	2252	109	-18	18	2252
110	-118	19	2271	110	-118	19	2271	110	-118	19	2271	110	-118	19	2271	110	-118	19	2271	110	-118	19	2271	110	-118	19	2271
111	-19	19	2290	111	-19	19	2290	111	-19	19	2290	111	-19	19	2290	111	-19	19	2290	111	-19	19	2290	111	-19	19	2290
112	-17	17	2307	112	-17	17	2307	112	-17	17	2307	112	-17	17	2307	112	-17	17	2307	112	-17	17	2307	112	-17	17	2307
113	-17	17	2324	113	-17	17	2324	113	-17	17	2324	113	-17	17	2324	113	-17	17	2324	113	-17	17	2324	113	-17	17	2324
114	-18	18	2342	114	-18	18	2342	114	-18	18	2342	114	-18	18	2342	114	-18	18	2342	114	-18	18	2342	114	-18	18	2342
115	-21	21	2363	115	-21	21	2363	115	-21	21	2363	115	-21	21	2363	115	-21	21	2363	115	-21	21	2363	115	-21	21	2363
116	-20	20	2383	116	-20	20	2383	116	-20	20	2383	116	-20	20	2383	116	-20	20	2383	116	-20	20	2383	116	-20	20	2383
117	-19	19	2402	117	-19	19	2402	117	-19	19	2402	117	-19	19	2402	117	-19	19	2402	117	-19	19	2402	117	-19	19	2402
118	-21	21	2423	118	-21	21	2423	118	-21	21	2423	118	-21	21	2423	118	-21	21	2423	118	-21	21	2423	118	-21	21	2423
119	-19	19	2442	119	-19	19	2442	119	-19	19	2442	119	-19	19	2442	119	-19	19	2442	119	-19	19	2442	119	-19	19	2442
120	-20	20	2462	120	-20	20	2462	120	-20	20	2462	120	-20	20	2462	120	-20	20	2462	120	-20	20	2462	120	-20	20	2462
121	-19	19	2481	121	-19	19	2481	121	-19	19	2481	121	-19	19	2481	121	-19	19	2481	121	-19	19	2481	121	-19	19	2481
122	-18	18	2499	122	-18	18	2499	122	-18	18	2499	122	-18	18	2499	122	-18	18	2499	122	-18	18	2499	122	-18	18	2499
123	-28	28	2527	123	-28	28	2527	123	-28	28	2527	123	-28	28	2527	123	-28	28	2527	123	-28	28	2527	123	-28	28	2527
124	-37	37	2564	124	-37	37	2564	124	-37	37	2564	124	-37	37	2564	124	-37	37	2564	124	-37	37	2564	124	-37	37	2564
125	-17	17	2581	125	-17	17	2581	125	-17	17	2581	125	-17	17	2581	125	-17	17	2581	125	-17	17	2581	125	-17	17	2581
126	-17	17	2598	126	-17	17	2598	126	-17	17	2598	126	-17	17	2598	126	-17	17	2598	126	-17	17	2598	126	-17	17	2598
127	-18	18	2616	127	-18	18	2616	127	-18	18	2616	127	-18	18	2616	127	-18	18	2616	127	-18	18	2616	127	-18	18	2616
128	-22	22	2638	128	-22	22	2638	128	-22	22	2638	128	-22	22	2638	128	-22	22	2638	128	-22	22	2638	128	-22	22	2638
129	-17	17	2655	129	-17	17	2655	129	-17	17	2655	129	-17	17	2655	129	-17	17	2655	129	-17	17	2655	129	-17	17	2655
130	-17	17	2672	130	-17	17	2672	130	-17	17	2672	130	-17	17	2672	130	-17	17	2672	130	-17	17	2672	130	-17	17	2672
131	-17	17	2689	131	-17	17	2689	131	-17	17	2689	131	-17	17	2689	131	-17	17	2689	131	-17	17	2689	131	-17	17	2689
132	-124	25	2714	132	-124	25	2714	132	-124	25	2714	132	-124	25	2714	132	-124	25	2714	132	-124	25	2714	132	-124	25	2714
