Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-27	27	27	0	-27	27	27	0	-27	27	27	0	-27	27	27	0	-27	27	27	0	-27	27	27	0	-27	27	27	0	-27	27	27
1	-119	20	47	1	-119	20	47	1	-119	20	47	1	-119	20	47	1	-119	20	47	1	-119	20	47	1	-119	20	47	1	-119	20	47
2	-17	17	64	2	-17	17	64	2	-17	17	64	2	-17	17	64	2	-17	17	64	2	-17	17	64	2	-17	17	64	2	-17	17	64
3	-17	17	81	3	-17	17	81	3	-17	17	81	3	-17	17	81	3	-17	17	81	3	-17	17	81	3	-17	17	81	3	-17	17	81
4	-17	17	98	4	-17	17	98	4	-17	17	98	4	-17	17	98	4	-17	17	98	4	-17	17	98	4	-17	17	98	4	-17	17	98
5	-18	18	116	5	-18	18	116	5	-18	18	116	5	-18	18	116	5	-18	18	116	5	-18	18	116	5	-18	18	116	5	-18	18	116
6	-17	17	133	6	-17	17	133	6	-17	17	133	6	-17	17	133	6	-17	17	133	6	-17	17	133	6	-17	17	133	6	-17	17	133
7	-18	18	151	7	-18	18	151	7	-18	18	151	7	-18	18	151	7	-18	18	151	7	-18	18	151	7	-18	18	151	7	-18	18	151
8	-17	17	168	8	-17	17	168	8	-17	17	168	8	-17	17	168	8	-17	17	168	8	-17	17	168	8	-17	17	168	8	-17	17	168
9	-20	20	188	9	-20	20	188	9	-20	20	188	9	-20	20	188	9	-20	20	188	9	-20	20	188	9	-20	20	188	9	-20	20	188
10	-160	160	348	10	-160	160	348	10	-160	160	348	10	-160	160	348	10	-160	160	348	10	-160	160	348	10	-160	160	348	10	-160	160	348
11	-21	21	369	11	-21	21	369	11	-21	21	369	11	-21	21	369	11	-21	21	369	11	-21	21	369	11	-21	21	369	11	-21	21	369
12	-23	23	392	12	-23	23	392	12	-23	23	392	12	-23	23	392	12	-23	23	392	12	-23	23	392	12	-23	23	392	12	-23	23	392
13	-19	19	411	13	-19	19	411	13	-19	19	411	13	-19	19	411	13	-19	19	411	13	-19	19	411	13	-19	19	411	13	-19	19	411
14	-24	24	435	14	-24	24	435	14	-24	24	435	14	-24	24	435	14	-24	24	435	14	-24	24	435	14	-24	24	435	14	-24	24	435
15	-30	30	465	15	-30	30	465	15	-30	30	465	15	-30	30	465	15	-30	30	465	15	-30	30	465	15	-30	30	465	15	-30	30	465
16	-25	25	490	16	-25	25	490	16	-25	25	490	16	-25	25	490	16	-25	25	490	16	-25	25	490	16	-25	25	490	16	-25	25	490
17	-24	24	514	17	-24	24	514	17	-24	24	514	17	-24	24	514	17	-24	24	514	17	-24	24	514	17	-24	24	514	17	-24	24	514
18	-27	27	541	18	-27	27	541	18	-27	27	541	18	-27	27	541	18	-27	27	541	18	-27	27	541	18	-27	27	541	18	-27	27	541
19	-17	17	558	19	-17	17	558	19	-17	17	558	19	-17	17	558	19	-17	17	558	19	-17	17	558	19	-17	17	558	19	-17	17	558
20	-61	61	619	20	-61	61	619	20	-61	61	619	20	-61	61	619	20	-61	61	619	20	-61	61	619	20	-61	61	619	20	-61	61	619
21	-39	39	658	21	-39	39	658	21	-39	39	658	21	-39	39	658	21	-39	39	658	21	-39	39	658	21	-39	39	658	21	-39	39	658
22	-21	21	679	22	-21	21	679	22	-21	21	679	22	-21	21	679	22	-21	21	679	22	-21	21	679	22	-21	21	679	22	-21	21	679
23	-21	21	700	23	-21	21	700	23	-21	21	700	23	-21	21	700	23	-21	21	700	23	-21	21	700	23	-21	21	700	23	-21	21	700
24	-17	17	717	24	-17	17	717	24	-17	17	717	24	-17	17	717	24	-17	17	717	24	-17	17	717	24	-17	17	717	24	-17	17	717
25	-20	20	737	25	-20	20	737	25	-20	20	737	25	-20	20	737	25	-20	20	737	25	-20	20	737	25	-20	20	737	25	-20	20	737
26	-17	17	754	26	-17	17	754	26	-17	17	754	26	-17	17	754	26	-17	17	754	26	-17	17	754	26	-17	17	754	26	-17	17	754
27	-29	29	783	27	-29	29	783	27	-29	29	783	27	-29	29	783	27	-29	29	783	27	-29	29	783	27	-29	29	783	27	-29	29	783
28	-17	17	800	28	-17	17	800	28	-17	17	800	28	-17	17	800	28	-17	17	800	28	-17	17	800	28	-17	17	800	28	-17	17	800
29	-18	18	818	29	-18	18	818	29	-18	18	818	29	-18	18	818	29	-18	18	818	29	-18	18	818	29	-18	18	818	29	-18	18	818
30	-19	19	837	30	-19	19	837	30	-19	19	837	30	-19	19	837	30	-19	19	837	30	-19	19	837	30	-19	19	837	30	-19	19	837
