Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17	0	-17	17	17
1	-19	19	36	1	-19	19	36	1	-19	19	36	1	-19	19	36	1	-19	19	36	1	-19	19	36	1	-19	19	36	1	-19	19	36	1	-19	19	36	1	-19	19	36
2	-17	17	53	2	-17	17	53	2	-17	17	53	2	-17	17	53	2	-17	17	53	2	-17	17	53	2	-17	17	53	2	-17	17	53	2	-17	17	53	2	-17	17	53
3	-19	19	72	3	-19	19	72	3	-19	19	72	3	-19	19	72	3	-19	19	72	3	-19	19	72	3	-19	19	72	3	-19	19	72	3	-19	19	72	3	-19	19	72
4	-19	19	91	4	-19	19	91	4	-19	19	91	4	-19	19	91	4	-19	19	91	4	-19	19	91	4	-19	19	91	4	-19	19	91	4	-19	19	91	4	-19	19	91
5	-22	22	113	5	-22	22	113	5	-22	22	113	5	-22	22	113	5	-22	22	113	5	-22	22	113	5	-22	22	113	5	-22	22	113	5	-22	22	113	5	-22	22	113
6	-17	17	130	6	-17	17	130	6	-17	17	130	6	-17	17	130	6	-17	17	130	6	-17	17	130	6	-17	17	130	6	-17	17	130	6	-17	17	130	6	-17	17	130
7	-17	17	147	7	-17	17	147	7	-17	17	147	7	-17	17	147	7	-17	17	147	7	-17	17	147	7	-17	17	147	7	-17	17	147	7	-17	17	147	7	-17	17	147
8	-23	23	170	8	-23	23	170	8	-23	23	170	8	-23	23	170	8	-23	23	170	8	-23	23	170	8	-23	23	170	8	-23	23	170	8	-23	23	170	8	-23	23	170
9	-20	20	190	9	-20	20	190	9	-20	20	190	9	-20	20	190	9	-20	20	190	9	-20	20	190	9	-20	20	190	9	-20	20	190	9	-20	20	190	9	-20	20	190
10	-26	26	216	10	-26	26	216	10	-26	26	216	10	-26	26	216	10	-26	26	216	10	-26	26	216	10	-26	26	216	10	-26	26	216	10	-26	26	216	10	-26	26	216
11	-19	19	235	11	-19	19	235	11	-19	19	235	11	-19	19	235	11	-19	19	235	11	-19	19	235	11	-19	19	235	11	-19	19	235	11	-19	19	235	11	-19	19	235
12	-17	17	252	12	-17	17	252	12	-17	17	252	12	-17	17	252	12	-17	17	252	12	-17	17	252	12	-17	17	252	12	-17	17	252	12	-17	17	252	12	-17	17	252
13	-21	21	273	13	-21	21	273	13	-21	21	273	13	-21	21	273	13	-21	21	273	13	-21	21	273	13	-21	21	273	13	-21	21	273	13	-21	21	273	13	-21	21	273
14	-17	17	290	14	-17	17	290	14	-17	17	290	14	-17	17	290	14	-17	17	290	14	-17	17	290	14	-17	17	290	14	-17	17	290	14	-17	17	290	14	-17	17	290
15	-21	21	311	15	-21	21	311	15	-21	21	311	15	-21	21	311	15	-21	21	311	15	-21	21	311	15	-21	21	311	15	-21	21	311	15	-21	21	311	15	-21	21	311
16	-21	21	332	16	-21	21	332	16	-21	21	332	16	-21	21	332	16	-21	21	332	16	-21	21	332	16	-21	21	332	16	-21	21	332	16	-21	21	332	16	-21	21	332
17	-23	23	355	17	-23	23	355	17	-23	23	355	17	-23	23	355	17	-23	23	355	17	-23	23	355	17	-23	23	355	17	-23	23	355	17	-23	23	355	17	-23	23	355
18	-17	17	372	18	-17	17	372	18	-17	17	372	18	-17	17	372	18	-17	17	372	18	-17	17	372	18	-17	17	372	18	-17	17	372	18	-17	17	372	18	-17	17	372
19	-19	19	391	19	-19	19	391	19	-19	19	391	19	-19	19	391	19	-19	19	391	19	-19	19	391	19	-19	19	391	19	-19	19	391	19	-19	19	391	19	-19	19	391
20	-18	18	409	20	-18	18	409	20	-18	18	409	20	-18	18	409	20	-18	18	409	20	-18	18	409	20	-18	18	409	20	-18	18	409	20	-18	18	409	20	-18	18	409
21	-20	20	429	21	-20	20	429	21	-20	20	429	21	-20	20	429	21	-20	20	429	21	-20	20	429	21	-20	20	429	21	-20	20	429	21	-20	20	429	21	-20	20	429
22	-23	23	452	22	-23	23	452	22	-23	23	452	22	-23	23	452	22	-23	23	452	22	-23	23	452	22	-23	23	452	22	-23	23	452	22	-23	23	452	22	-23	23	452
23	-19	19	471	23	-19	19	471	23	-19	19	471	23	-19	19	471	23	-19	19	471	23	-19	19	471	23	-19	19	471	23	-19	19	471	23	-19	19	471	23	-19	19	471
24	-22	22	493	24	-22	22	493	24	-22	22	493	24	-22	22	493	24	-22	22	493	24	-22	22	493	24	-22	22	493	24	-22	22	493	24	-22	22	493	24	-22	22	493
25	-17	17	510	25	-17	17	510	25	-17	17	510	25	-17	17	510	25	-17	17	510	25	-17	17	510	25	-17	17	510	25	-17	17	510	25	-17	17	510	25	-17	17	510
26	-19	19	529	26	-19	19	529	26	-19	19	529	26	-19	19	529	26	-19	19	529	26	-19	19	529	26	-19	19	529	26	-19	19	529	26	-19	19	529	26	-19	19	529
27	-20	20	549	27	-20	20	549	27	-20	20	549	27	-20	20	549	27	-20	20	549	27	-20	20	549	27	-20	20	549	27	-20	20	549	27	-20	20	549	27	-20	20	549
28	-43	43	592	28	-43	43	592	28	-43	43	592	28	-43	43	592	28	-43	43	592	28	-43	43	592	28	-43	43	592	28	-43	43	592	28	-43	43	592	28	-43	43	592
29	-19	19	611	29	-19	19	611	29	-19	19	611	29	-19	19	611	29	-19	19	611	29	-19	19	611	29	-19	19	611	29	-19	19	611	29	-19	19	611	29	-19	19	611
30	-32	32	643	30	-32	32	643	30	-32	32	643	30	-32	32	643	30	-32	32	643	30	-32	32	643	30	-32	32	643	30	-32	32	643	30	-32	32	643	30	-32	32	643
31	-19	19	662	31	-19	19	662	31	-19	19	662	31	-19	19	662	31	-19	19	662	31	-19	19	662	31	-19	19	662	31	-19	19	662	31	-19	19	662	31	-19	19	662
32	-18	18	680	32	-18	18	680	32	-18	18	680	32	-18	18	680	32	-18	18	680	32	-18	18	680	32	-18	18	680	32	-18	18	680	32	-18	18	680	32	-18	18	680
33	-17	17	697	33	-17	17	697	33	-17	17	697	33	-17	17	697	33	-17	17	697	33	-17	17	697	33	-17	17	697	33	-17	17	697	33	-17	17	697	33	-17	17	697
34	-26	26	723	34	-26	26	723	34	-26	26	723	34	-26	26	723	34	-26	26	723	34	-26	26	723	34	-26	26	723	34	-26	26	723	34	-26	26	723	34	-26	26	723
35	-19	19	742	35	-19	19	742	35	-19	19	742	35	-19	19	742	35	-19	19	742	35	-19	19	742	35	-19	19	742	35	-19	19	742	35	-19	19	742	35	-19	19	742
36	-118	19	761	36	-118	19	761	36	-118	19	761	36	-118	19	761	36	-118	19	761	36	-118	19	761	36	-118	19	761	36	-118	19	761	36	-118	19	761	36	-118	19	761
37	-20	20	781	37	-20	20	781	37	-20	20	781	37	-20	20	781	37	-20	20	781	37	-20	20	781	37	-20	20	781	37	-20	20	781	37	-20	20	781	37	-20	20	781
38	-25	25	806	38	-25	25	806	38	-25	25	806	38	-25	25	806	38	-25	25	806	38	-25	25	806	38	-25	25	806	38	-25	25	806	38	-25	25	806	38	-25	25	806
39	-30	30	836	39	-30	30	836	39	-30	30	836	39	-30	30	836	39	-30	30	836	39	-30	30	836	39	-30	30	836	39	-30	30	836	39	-30	30	836	39	-30	30	836
40	-37	37	873	40	-37	37	873	40	-37	37	873	40	-37	37	873	40	-37	37	873	40	-37	37	873	40	-37	37	873	40	-37	37	873	40	-37	37	873	40	-37	37	873
41	-17	17	890	41	-17	17	890	41	-17	17	890	41	-17	17	890	41	-17	17	890	41	-17	17	890	41	-17	17	890	41	-17	17	890	41	-17	17	890	41	-17	17	890
42	-24	24	914	42	-24	24	914	42	-24	24	914	42	-24	24	914	42	-24	24	914	42	-24	24	914	42	-24	24	914	42	-24	24	914	42	-24	24	914	42	-24	24	914
43	-19	19	933	43	-19	19	933	43	-19	19	933	43	-19	19	933	43	-19	19	933	43	-19	19	933	43	-19	19	933	43	-19	19	933	43	-19	19	933	43	-19	19	933
44	-20	20	953	44	-20	20	953	44	-20	20	953	44	-20	20	953	44	-20	20	953	44	-20	20	953	44	-20	20	953	44	-20	20	953	44	-20	20	953	44	-20	20	953
45	-23	23	976	45	-23	23	976	45	-23	23	976	45	-23	23	976	45	-23	23	976	45	-23	23	976	45	-23	23	976	45	-23	23	976	45	-23	23	976	45	-23	23	976
46	-37	37	1013	46	-37	37	1013	46	-37	37	1013	46	-37	37	1013	46	-37	37	1013	46	-37	37	1013	46	-37	37	1013	46	-37	37	1013	46	-37	37	1013	46	-37	37	1013
47	-29	29	1042	47	-29	29	1042	47	-29	29	1042	47	-29	29	1042	47	-29	29	1042	47	-29	29	1042	47	-29	29	1042	47	-29	29	1042	47	-29	29	1042	47	-29	29	1042
48	-25	25	1067	48	-25	25	1067	48	-25	25	1067	48	-25	25	1067	48	-25	25	1067	48	-25	25	1067	48	-25	25	1067	48	-25	25	1067	48	-25	25	1067	48	-25	25	1067
49	-29	29	1096	49	-29	29	1096	49	-29	29	1096	49	-29	29	1096	49	-29	29	1096	49	-29	29	1096	49	-29	29	1096	49	-29	29	1096	49	-29	29	1096	49	-29	29	1096
50	-19	19	1115	50	-19	19	1115	50	-19	19	1115	50	-19	19	1115	50	-19	19	1115	50	-19	19	1115	50	-19	19	1115	50	-19	19	1115	50	-19	19	1115	50	-19	19	1115
51	-19	19	1134	51	-19	19	1134	51	-19	19	1134	51	-19	19	1134	51	-19	19	1134	51	-19	19	1134	51	-19	19	1134	51	-19	19	1134	51	-19	19	1134	51	-19	19	1134
52	-19	19	1153	52	-19	19	1153	52	-19	19	1153	52	-19	19	1153	52	-19	19	1153	52	-19	19	1153	52	-19	19	1153	52	-19	19	1153	52	-19	19	1153	52	-19	19	1153
53	-18	18	1171	53	-18	18	1171	53	-18	18	1171	53	-18	18	1171	53	-18	18	1171	53	-18	18	1171	53	-18	18	1171	53	-18	18	1171	53	-18	18	1171	53	-18	18	1171
54	-21	21	1192	54	-21	21	1192	54	-21	21	1192	54	-21	21	1192	54	-21	21	1192	54	-21	21	1192	54	-21	21	1192	54	-21	21	1192	54	-21	21	1192	54	-21	21	1192
55	-17	17	1209	55	-17	17	1209	55	-17	17	1209	55	-17	17	1209	55	-17	17	1209	55	-17	17	1209	55	-17	17	1209	55	-17	17	1209	55	-17	17	1209	55	-17	17	1209
56	-25	25	1234	56	-25	25	1234	56	-25	25	1234	56	-25	25	1234	56	-25	25	1234	56	-25	25	1234	56	-25	25	1234	56	-25	25	1234	56	-25	25	1234	56	-25	25	1234
57	-30	30	1264	57	-30	30	1264	57	-30	30	1264	57	-30	30	1264	57	-30	30	1264	57	-30	30	1264	57	-30	30	1264	57	-30	30	1264	57	-30	30	1264	57	-30	30	1264
58	-19	19	1283	58	-19	19	1283	58	-19	19	1283	58	-19	19	1283	58	-19	19	1283	58	-19	19	1283	58	-19	19	1283	58	-19	19	1283	58	-19	19	1283	58	-19	19	1283
59	-17	17	1300	59	-17	17	1300	59	-17	17	1300	59	-17	17	1300	59	-17	17	1300	59	-17	17	1300	59	-17	17	1300	59	-17	17	1300	59	-17	17	1300	59	-17	17	1300
60	-18	18	1318	60	-18	18	1318	60	-18	18	1318	60	-18	18	1318	60	-18	18	1318	60	-18	18	1318	60	-18	18	1318	60	-18	18	1318	60	-18	18	1318	60	-18	18	1318
61	-17	17	1335	61	-17	17	1335	61	-17	17	1335	61	-17	17	1335	61	-17	17	1335	61	-17	17	1335	61	-17	17	1335	61	-17	17	1335	61	-17	17	1335	61	-17	17	1335
62	-18	18	1353	62	-18	18	1353	62	-18	18	1353	62	-18	18	1353	62	-18	18	1353	62	-18	18	1353	62	-18	18	1353	62	-18	18	1353	62	-18	18	1353	62	-18	18	1353
