Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-13	13	13	0	-13	13	13
1	-124	25	38	1	-124	25	38
2	-13	13	51	2	-13	13	51
3	-15	15	66	3	-15	15	66
4	-15	15	81	4	-15	15	81
5	-13	13	94	5	-13	13	94
6	-15	15	109	6	-15	15	109
7	-13	13	122	7	-13	13	122
8	-13	13	135	8	-13	13	135
9	-17	17	152	9	-17	17	152
10	-13	13	165	10	-13	13	165
11	-17	17	182	11	-17	17	182
12	-13	13	195	12	-13	13	195
13	-13	13	208	13	-13	13	208
14	-115	16	224	14	-115	16	224
15	-15	15	239	15	-15	15	239
16	-13	13	252	16	-13	13	252
17	-13	13	265	17	-13	13	265
18	-121	22	287	18	-121	22	287
19	-15	15	302	19	-15	15	302
20	-19	19	321	20	-19	19	321
21	-17	17	338	21	-17	17	338
22	-13	13	351	22	-13	13	351
23	-15	15	366	23	-15	15	366
24	-232	34	400	24	-232	34	400
25	-116	17	417	25	-116	17	417
26	-120	21	438	26	-120	21	438
27	-13	13	451	27	-13	13	451
28	-13	13	464	28	-13	13	464
29	-13	13	477	29	-13	13	477
30	-17	17	494	30	-17	17	494
31	-18	18	512	31	-18	18	512
32	-229	31	543	32	-229	31	543
33	-13	13	556	33	-13	13	556
34	-15	15	571	34	-15	15	571
35	-15	15	586	35	-15	15	586
36	-116	17	603	36	-116	17	603
37	-15	15	618	37	-15	15	618
38	-13	13	631	38	-13	13	631
39	-19	19	650	39	-19	19	650
40	-117	18	668	40	-117	18	668
41	-15	15	683	41	-15	15	683
42	-17	17	700	42	-17	17	700
43	-13	13	713	43	-13	13	713
44	-13	13	726	44	-13	13	726
45	-13	13	739	45	-13	13	739
46	-17	17	756	46	-17	17	756
47	-13	13	769	47	-13	13	769
48	-15	15	784	48	-15	15	784
49	-123	24	808	49	-123	24	808
50	-13	13	821	50	-13	13	821
51	-15	15	836	51	-15	15	836
52	-121	22	858	52	-121	22	858
53	-17	17	875	53	-17	17	875
54	-15	15	890	54	-15	15	890
55	-13	13	903	55	-13	13	903
56	-19	19	922	56	-19	19	922
57	-124	25	947	57	-124	25	947
58	-13	13	960	58	-13	13	960
59	-17	17	977	59	-17	17	977
60	-15	15	992	60	-15	15	992
61	-14	14	1006	61	-14	14	1006
62	-17	17	1023	62	-17	17	1023
63	-13	13	1036	63	-13	13	1036
64	-13	13	1049	64	-13	13	1049
65	-13	13	1062	65	-13	13	1062
66	-121	22	1084	66	-121	22	1084
67	-13	13	1097	67	-13	13	1097
68	-119	20	1117	68	-119	20	1117
69	-17	17	1134	69	-17	17	1134
70	-14	14	1148	70	-14	14	1148
71	-13	13	1161	71	-13	13	1161
72	-121	22	1183	72	-121	22	1183
73	-120	21	1204	73	-120	21	1204
74	-13	13	1217	74	-13	13	1217
75	-116	17	1234	75	-116	17	1234
76	-120	21	1255	76	-120	21	1255
77	-113	14	1269	77	-113	14	1269
78	-13	13	1282	78	-13	13	1282
79	-15	15	1297	79	-15	15	1297
80	-17	17	1314	80	-17	17	1314
81	-14	14	1328	81	-14	14	1328
82	-13	13	1341	82	-13	13	1341
83	-15	15	1356	83	-15	15	1356
84	-127	28	1384	84	-127	28	1384
85	-15	15	1399	85	-15	15	1399
86	-233	35	1434	86	-233	35	1434
87	-14	14	1448	87	-14	14	1448
88	-13	13	1461	88	-13	13	1461
89	-13	13	1474	89	-13	13	1474
90	-17	17	1491	90	-17	17	1491
