Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15
1	-123	24	39	1	-123	24	39	1	-123	24	39	1	-123	24	39	1	-123	24	39
2	-13	13	52	2	-13	13	52	2	-13	13	52	2	-13	13	52	2	-13	13	52
3	-226	28	80	3	-226	28	80	3	-226	28	80	3	-226	28	80	3	-226	28	80
4	-227	29	109	4	-227	29	109	4	-227	29	109	4	-227	29	109	4	-227	29	109
5	-115	16	125	5	-115	16	125	5	-115	16	125	5	-115	16	125	5	-115	16	125
6	-17	17	142	6	-17	17	142	6	-17	17	142	6	-17	17	142	6	-17	17	142
7	-18	18	160	7	-18	18	160	7	-18	18	160	7	-18	18	160	7	-18	18	160
8	-13	13	173	8	-13	13	173	8	-13	13	173	8	-13	13	173	8	-13	13	173
9	-13	13	186	9	-13	13	186	9	-13	13	186	9	-13	13	186	9	-13	13	186
10	-13	13	199	10	-13	13	199	10	-13	13	199	10	-13	13	199	10	-13	13	199
11	-13	13	212	11	-13	13	212	11	-13	13	212	11	-13	13	212	11	-13	13	212
12	-17	17	229	12	-17	17	229	12	-17	17	229	12	-17	17	229	12	-17	17	229
13	-15	15	244	13	-15	15	244	13	-15	15	244	13	-15	15	244	13	-15	15	244
14	-117	18	262	14	-117	18	262	14	-117	18	262	14	-117	18	262	14	-117	18	262
15	-13	13	275	15	-13	13	275	15	-13	13	275	15	-13	13	275	15	-13	13	275
16	-13	13	288	16	-13	13	288	16	-13	13	288	16	-13	13	288	16	-13	13	288
17	-13	13	301	17	-13	13	301	17	-13	13	301	17	-13	13	301	17	-13	13	301
18	-337	40	341	18	-337	40	341	18	-337	40	341	18	-337	40	341	18	-337	40	341
19	-13	13	354	19	-13	13	354	19	-13	13	354	19	-13	13	354	19	-13	13	354
20	-13	13	367	20	-13	13	367	20	-13	13	367	20	-13	13	367	20	-13	13	367
21	-114	15	382	21	-114	15	382	21	-114	15	382	21	-114	15	382	21	-114	15	382
22	-123	24	406	22	-123	24	406	22	-123	24	406	22	-123	24	406	22	-123	24	406
23	-121	22	428	23	-121	22	428	23	-121	22	428	23	-121	22	428	23	-121	22	428
24	-18	18	446	24	-18	18	446	24	-18	18	446	24	-18	18	446	24	-18	18	446
25	-13	13	459	25	-13	13	459	25	-13	13	459	25	-13	13	459	25	-13	13	459
26	-17	17	476	26	-17	17	476	26	-17	17	476	26	-17	17	476	26	-17	17	476
27	-13	13	489	27	-13	13	489	27	-13	13	489	27	-13	13	489	27	-13	13	489
28	-13	13	502	28	-13	13	502	28	-13	13	502	28	-13	13	502	28	-13	13	502
29	-15	15	517	29	-15	15	517	29	-15	15	517	29	-15	15	517	29	-15	15	517
30	-330	33	550	30	-330	33	550	30	-330	33	550	30	-330	33	550	30	-330	33	550
31	-13	13	563	31	-13	13	563	31	-13	13	563	31	-13	13	563	31	-13	13	563
32	-13	13	576	32	-13	13	576	32	-13	13	576	32	-13	13	576	32	-13	13	576
33	-13	13	589	33	-13	13	589	33	-13	13	589	33	-13	13	589	33	-13	13	589
34	-13	13	602	34	-13	13	602	34	-13	13	602	34	-13	13	602	34	-13	13	602
35	-14	14	616	35	-14	14	616	35	-14	14	616	35	-14	14	616	35	-14	14	616
36	-17	17	633	36	-17	17	633	36	-17	17	633	36	-17	17	633	36	-17	17	633
