Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13
1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34	1	-120	21	34
2	-17	17	51	2	-17	17	51	2	-17	17	51	2	-17	17	51	2	-17	17	51	2	-17	17	51	2	-17	17	51	2	-17	17	51
3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66	3	-15	15	66
4	-15	15	81	4	-15	15	81	4	-15	15	81	4	-15	15	81	4	-15	15	81	4	-15	15	81	4	-15	15	81	4	-15	15	81
5	-15	15	96	5	-15	15	96	5	-15	15	96	5	-15	15	96	5	-15	15	96	5	-15	15	96	5	-15	15	96	5	-15	15	96
6	-15	15	111	6	-15	15	111	6	-15	15	111	6	-15	15	111	6	-15	15	111	6	-15	15	111	6	-15	15	111	6	-15	15	111
7	-17	17	128	7	-17	17	128	7	-17	17	128	7	-17	17	128	7	-17	17	128	7	-17	17	128	7	-17	17	128	7	-17	17	128
8	-15	15	143	8	-15	15	143	8	-15	15	143	8	-15	15	143	8	-15	15	143	8	-15	15	143	8	-15	15	143	8	-15	15	143
9	-115	16	159	9	-115	16	159	9	-115	16	159	9	-115	16	159	9	-115	16	159	9	-115	16	159	9	-115	16	159	9	-115	16	159
10	-15	15	174	10	-15	15	174	10	-15	15	174	10	-15	15	174	10	-15	15	174	10	-15	15	174	10	-15	15	174	10	-15	15	174
11	-13	13	187	11	-13	13	187	11	-13	13	187	11	-13	13	187	11	-13	13	187	11	-13	13	187	11	-13	13	187	11	-13	13	187
12	-15	15	202	12	-15	15	202	12	-15	15	202	12	-15	15	202	12	-15	15	202	12	-15	15	202	12	-15	15	202	12	-15	15	202
13	-13	13	215	13	-13	13	215	13	-13	13	215	13	-13	13	215	13	-13	13	215	13	-13	13	215	13	-13	13	215	13	-13	13	215
14	-14	14	229	14	-14	14	229	14	-14	14	229	14	-14	14	229	14	-14	14	229	14	-14	14	229	14	-14	14	229	14	-14	14	229
15	-13	13	242	15	-13	13	242	15	-13	13	242	15	-13	13	242	15	-13	13	242	15	-13	13	242	15	-13	13	242	15	-13	13	242
16	-15	15	257	16	-15	15	257	16	-15	15	257	16	-15	15	257	16	-15	15	257	16	-15	15	257	16	-15	15	257	16	-15	15	257
17	-13	13	270	17	-13	13	270	17	-13	13	270	17	-13	13	270	17	-13	13	270	17	-13	13	270	17	-13	13	270	17	-13	13	270
18	-13	13	283	18	-13	13	283	18	-13	13	283	18	-13	13	283	18	-13	13	283	18	-13	13	283	18	-13	13	283	18	-13	13	283
19	-15	15	298	19	-15	15	298	19	-15	15	298	19	-15	15	298	19	-15	15	298	19	-15	15	298	19	-15	15	298	19	-15	15	298
20	-114	15	313	20	-114	15	313	20	-114	15	313	20	-114	15	313	20	-114	15	313	20	-114	15	313	20	-114	15	313	20	-114	15	313
21	-14	14	327	21	-14	14	327	21	-14	14	327	21	-14	14	327	21	-14	14	327	21	-14	14	327	21	-14	14	327	21	-14	14	327
22	-14	14	341	22	-14	14	341	22	-14	14	341	22	-14	14	341	22	-14	14	341	22	-14	14	341	22	-14	14	341	22	-14	14	341
23	-18	18	359	23	-18	18	359	23	-18	18	359	23	-18	18	359	23	-18	18	359	23	-18	18	359	23	-18	18	359	23	-18	18	359
24	-117	18	377	24	-117	18	377	24	-117	18	377	24	-117	18	377	24	-117	18	377	24	-117	18	377	24	-117	18	377	24	-117	18	377
25	-13	13	390	25	-13	13	390	25	-13	13	390	25	-13	13	390	25	-13	13	390	25	-13	13	390	25	-13	13	390	25	-13	13	390
26	-13	13	403	26	-13	13	403	26	-13	13	403	26	-13	13	403	26	-13	13	403	26	-13	13	403	26	-13	13	403	26	-13	13	403
27	-13	13	416	27	-13	13	416	27	-13	13	416	27	-13	13	416	27	-13	13	416	27	-13	13	416	27	-13	13	416	27	-13	13	416
