Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-122	23	23	0	-122	23	23	0	-122	23	23	0	-122	23	23	0	-122	23	23	0	-122	23	23	0	-122	23	23	0	-122	23	23	0	-122	23	23	0	-122	23	23	0	-122	23	23
1	-116	17	40	1	-116	17	40	1	-116	17	40	1	-116	17	40	1	-116	17	40	1	-116	17	40	1	-116	17	40	1	-116	17	40	1	-116	17	40	1	-116	17	40	1	-116	17	40
2	-13	13	53	2	-13	13	53	2	-13	13	53	2	-13	13	53	2	-13	13	53	2	-13	13	53	2	-13	13	53	2	-13	13	53	2	-13	13	53	2	-13	13	53	2	-13	13	53
3	-113	14	67	3	-113	14	67	3	-113	14	67	3	-113	14	67	3	-113	14	67	3	-113	14	67	3	-113	14	67	3	-113	14	67	3	-113	14	67	3	-113	14	67	3	-113	14	67
4	-15	15	82	4	-15	15	82	4	-15	15	82	4	-15	15	82	4	-15	15	82	4	-15	15	82	4	-15	15	82	4	-15	15	82	4	-15	15	82	4	-15	15	82	4	-15	15	82
5	-13	13	95	5	-13	13	95	5	-13	13	95	5	-13	13	95	5	-13	13	95	5	-13	13	95	5	-13	13	95	5	-13	13	95	5	-13	13	95	5	-13	13	95	5	-13	13	95
6	-231	33	128	6	-231	33	128	6	-231	33	128	6	-231	33	128	6	-231	33	128	6	-231	33	128	6	-231	33	128	6	-231	33	128	6	-231	33	128	6	-231	33	128	6	-231	33	128
7	-13	13	141	7	-13	13	141	7	-13	13	141	7	-13	13	141	7	-13	13	141	7	-13	13	141	7	-13	13	141	7	-13	13	141	7	-13	13	141	7	-13	13	141	7	-13	13	141
8	-122	23	164	8	-122	23	164	8	-122	23	164	8	-122	23	164	8	-122	23	164	8	-122	23	164	8	-122	23	164	8	-122	23	164	8	-122	23	164	8	-122	23	164	8	-122	23	164
9	-15	15	179	9	-15	15	179	9	-15	15	179	9	-15	15	179	9	-15	15	179	9	-15	15	179	9	-15	15	179	9	-15	15	179	9	-15	15	179	9	-15	15	179	9	-15	15	179
10	-17	17	196	10	-17	17	196	10	-17	17	196	10	-17	17	196	10	-17	17	196	10	-17	17	196	10	-17	17	196	10	-17	17	196	10	-17	17	196	10	-17	17	196	10	-17	17	196
11	-19	19	215	11	-19	19	215	11	-19	19	215	11	-19	19	215	11	-19	19	215	11	-19	19	215	11	-19	19	215	11	-19	19	215	11	-19	19	215	11	-19	19	215	11	-19	19	215
12	-117	18	233	12	-117	18	233	12	-117	18	233	12	-117	18	233	12	-117	18	233	12	-117	18	233	12	-117	18	233	12	-117	18	233	12	-117	18	233	12	-117	18	233	12	-117	18	233
13	-13	13	246	13	-13	13	246	13	-13	13	246	13	-13	13	246	13	-13	13	246	13	-13	13	246	13	-13	13	246	13	-13	13	246	13	-13	13	246	13	-13	13	246	13	-13	13	246
14	-13	13	259	14	-13	13	259	14	-13	13	259	14	-13	13	259	14	-13	13	259	14	-13	13	259	14	-13	13	259	14	-13	13	259	14	-13	13	259	14	-13	13	259	14	-13	13	259
15	-228	30	289	15	-228	30	289	15	-228	30	289	15	-228	30	289	15	-228	30	289	15	-228	30	289	15	-228	30	289	15	-228	30	289	15	-228	30	289	15	-228	30	289	15	-228	30	289
16	-13	13	302	16	-13	13	302	16	-13	13	302	16	-13	13	302	16	-13	13	302	16	-13	13	302	16	-13	13	302	16	-13	13	302	16	-13	13	302	16	-13	13	302	16	-13	13	302
17	-15	15	317	17	-15	15	317	17	-15	15	317	17	-15	15	317	17	-15	15	317	17	-15	15	317	17	-15	15	317	17	-15	15	317	17	-15	15	317	17	-15	15	317	17	-15	15	317
18	-13	13	330	18	-13	13	330	18	-13	13	330	18	-13	13	330	18	-13	13	330	18	-13	13	330	18	-13	13	330	18	-13	13	330	18	-13	13	330	18	-13	13	330	18	-13	13	330
19	-13	13	343	19	-13	13	343	19	-13	13	343	19	-13	13	343	19	-13	13	343	19	-13	13	343	19	-13	13	343	19	-13	13	343	19	-13	13	343	19	-13	13	343	19	-13	13	343
20	-13	13	356	20	-13	13	356	20	-13	13	356	20	-13	13	356	20	-13	13	356	20	-13	13	356	20	-13	13	356	20	-13	13	356	20	-13	13	356	20	-13	13	356	20	-13	13	356
