Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15
1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30	1	-15	15	30
2	-14	14	44	2	-14	14	44	2	-14	14	44	2	-14	14	44	2	-14	14	44	2	-14	14	44	2	-14	14	44	2	-14	14	44	2	-14	14	44	2	-14	14	44	2	-14	14	44	2	-14	14	44	2	-14	14	44	2	-14	14	44
3	-15	15	59	3	-15	15	59	3	-15	15	59	3	-15	15	59	3	-15	15	59	3	-15	15	59	3	-15	15	59	3	-15	15	59	3	-15	15	59	3	-15	15	59	3	-15	15	59	3	-15	15	59	3	-15	15	59	3	-15	15	59
4	-19	19	78	4	-19	19	78	4	-19	19	78	4	-19	19	78	4	-19	19	78	4	-19	19	78	4	-19	19	78	4	-19	19	78	4	-19	19	78	4	-19	19	78	4	-19	19	78	4	-19	19	78	4	-19	19	78	4	-19	19	78
5	-115	16	94	5	-115	16	94	5	-115	16	94	5	-115	16	94	5	-115	16	94	5	-115	16	94	5	-115	16	94	5	-115	16	94	5	-115	16	94	5	-115	16	94	5	-115	16	94	5	-115	16	94	5	-115	16	94	5	-115	16	94
6	-117	18	112	6	-117	18	112	6	-117	18	112	6	-117	18	112	6	-117	18	112	6	-117	18	112	6	-117	18	112	6	-117	18	112	6	-117	18	112	6	-117	18	112	6	-117	18	112	6	-117	18	112	6	-117	18	112	6	-117	18	112
7	-13	13	125	7	-13	13	125	7	-13	13	125	7	-13	13	125	7	-13	13	125	7	-13	13	125	7	-13	13	125	7	-13	13	125	7	-13	13	125	7	-13	13	125	7	-13	13	125	7	-13	13	125	7	-13	13	125	7	-13	13	125
8	-16	16	141	8	-16	16	141	8	-16	16	141	8	-16	16	141	8	-16	16	141	8	-16	16	141	8	-16	16	141	8	-16	16	141	8	-16	16	141	8	-16	16	141	8	-16	16	141	8	-16	16	141	8	-16	16	141	8	-16	16	141
9	-14	14	155	9	-14	14	155	9	-14	14	155	9	-14	14	155	9	-14	14	155	9	-14	14	155	9	-14	14	155	9	-14	14	155	9	-14	14	155	9	-14	14	155	9	-14	14	155	9	-14	14	155	9	-14	14	155	9	-14	14	155
10	-13	13	168	10	-13	13	168	10	-13	13	168	10	-13	13	168	10	-13	13	168	10	-13	13	168	10	-13	13	168	10	-13	13	168	10	-13	13	168	10	-13	13	168	10	-13	13	168	10	-13	13	168	10	-13	13	168	10	-13	13	168
11	-17	17	185	11	-17	17	185	11	-17	17	185	11	-17	17	185	11	-17	17	185	11	-17	17	185	11	-17	17	185	11	-17	17	185	11	-17	17	185	11	-17	17	185	11	-17	17	185	11	-17	17	185	11	-17	17	185	11	-17	17	185
12	-20	20	205	12	-20	20	205	12	-20	20	205	12	-20	20	205	12	-20	20	205	12	-20	20	205	12	-20	20	205	12	-20	20	205	12	-20	20	205	12	-20	20	205	12	-20	20	205	12	-20	20	205	12	-20	20	205	12	-20	20	205
13	-125	26	231	13	-125	26	231	13	-125	26	231	13	-125	26	231	13	-125	26	231	13	-125	26	231	13	-125	26	231	13	-125	26	231	13	-125	26	231	13	-125	26	231	13	-125	26	231	13	-125	26	231	13	-125	26	231	13	-125	26	231
