Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15
1	-18	18	33	1	-18	18	33	1	-18	18	33	1	-18	18	33	1	-18	18	33	1	-18	18	33	1	-18	18	33	1	-18	18	33	1	-18	18	33	1	-18	18	33	1	-18	18	33	1	-18	18	33	1	-18	18	33	1	-18	18	33	1	-18	18	33	1	-18	18	33	1	-18	18	33
2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46	2	-13	13	46
3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59	3	-13	13	59
4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74	4	-15	15	74
5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89	5	-15	15	89
6	-219	21	110	6	-219	21	110	6	-219	21	110	6	-219	21	110	6	-219	21	110	6	-219	21	110	6	-219	21	110	6	-219	21	110	6	-219	21	110	6	-219	21	110	6	-219	21	110	6	-219	21	110	6	-219	21	110	6	-219	21	110	6	-219	21	110	6	-219	21	110	6	-219	21	110
7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123	7	-13	13	123
8	-18	18	141	8	-18	18	141	8	-18	18	141	8	-18	18	141	8	-18	18	141	8	-18	18	141	8	-18	18	141	8	-18	18	141	8	-18	18	141	8	-18	18	141	8	-18	18	141	8	-18	18	141	8	-18	18	141	8	-18	18	141	8	-18	18	141	8	-18	18	141	8	-18	18	141
9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156	9	-15	15	156
10	-13	13	169	10	-13	13	169	10	-13	13	169	10	-13	13	169	10	-13	13	169	10	-13	13	169	10	-13	13	169	10	-13	13	169	10	-13	13	169	10	-13	13	169	10	-13	13	169	10	-13	13	169	10	-13	13	169	10	-13	13	169	10	-13	13	169	10	-13	13	169	10	-13	13	169
11	-16	16	185	11	-16	16	185	11	-16	16	185	11	-16	16	185	11	-16	16	185	11	-16	16	185	11	-16	16	185	11	-16	16	185	11	-16	16	185	11	-16	16	185	11	-16	16	185	11	-16	16	185	11	-16	16	185	11	-16	16	185	11	-16	16	185	11	-16	16	185	11	-16	16	185
12	-19	19	204	12	-19	19	204	12	-19	19	204	12	-19	19	204	12	-19	19	204	12	-19	19	204	12	-19	19	204	12	-19	19	204	12	-19	19	204	12	-19	19	204	12	-19	19	204	12	-19	19	204	12	-19	19	204	12	-19	19	204	12	-19	19	204	12	-19	19	204	12	-19	19	204
13	-118	19	223	13	-118	19	223	13	-118	19	223	13	-118	19	223	13	-118	19	223	13	-118	19	223	13	-118	19	223	13	-118	19	223	13	-118	19	223	13	-118	19	223	13	-118	19	223	13	-118	19	223	13	-118	19	223	13	-118	19	223	13	-118	19	223	13	-118	19	223	13	-118	19	223
14	-15	15	238	14	-15	15	238	14	-15	15	238	14	-15	15	238	14	-15	15	238	14	-15	15	238	14	-15	15	238	14	-15	15	238	14	-15	15	238	14	-15	15	238	14	-15	15	238	14	-15	15	238	14	-15	15	238	14	-15	15	238	14	-15	15	238	14	-15	15	238	14	-15	15	238
