Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-123	24	24	0	-123	24	24	0	-123	24	24	0	-123	24	24	0	-123	24	24	0	-123	24	24	0	-123	24	24	0	-123	24	24	0	-123	24	24	0	-123	24	24	0	-123	24	24	0	-123	24	24	0	-123	24	24	0	-123	24	24	0	-123	24	24	0	-123	24	24	0	-123	24	24	0	-123	24	24	0	-123	24	24	0	-123	24	24
1	-118	19	43	1	-118	19	43	1	-118	19	43	1	-118	19	43	1	-118	19	43	1	-118	19	43	1	-118	19	43	1	-118	19	43	1	-118	19	43	1	-118	19	43	1	-118	19	43	1	-118	19	43	1	-118	19	43	1	-118	19	43	1	-118	19	43	1	-118	19	43	1	-118	19	43	1	-118	19	43	1	-118	19	43	1	-118	19	43
2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56	2	-13	13	56
3	-119	20	76	3	-119	20	76	3	-119	20	76	3	-119	20	76	3	-119	20	76	3	-119	20	76	3	-119	20	76	3	-119	20	76	3	-119	20	76	3	-119	20	76	3	-119	20	76	3	-119	20	76	3	-119	20	76	3	-119	20	76	3	-119	20	76	3	-119	20	76	3	-119	20	76	3	-119	20	76	3	-119	20	76	3	-119	20	76
4	-13	13	89	4	-13	13	89	4	-13	13	89	4	-13	13	89	4	-13	13	89	4	-13	13	89	4	-13	13	89	4	-13	13	89	4	-13	13	89	4	-13	13	89	4	-13	13	89	4	-13	13	89	4	-13	13	89	4	-13	13	89	4	-13	13	89	4	-13	13	89	4	-13	13	89	4	-13	13	89	4	-13	13	89	4	-13	13	89
5	-228	30	119	5	-228	30	119	5	-228	30	119	5	-228	30	119	5	-228	30	119	5	-228	30	119	5	-228	30	119	5	-228	30	119	5	-228	30	119	5	-228	30	119	5	-228	30	119	5	-228	30	119	5	-228	30	119	5	-228	30	119	5	-228	30	119	5	-228	30	119	5	-228	30	119	5	-228	30	119	5	-228	30	119	5	-228	30	119
6	-13	13	132	6	-13	13	132	6	-13	13	132	6	-13	13	132	6	-13	13	132	6	-13	13	132	6	-13	13	132	6	-13	13	132	6	-13	13	132	6	-13	13	132	6	-13	13	132	6	-13	13	132	6	-13	13	132	6	-13	13	132	6	-13	13	132	6	-13	13	132	6	-13	13	132	6	-13	13	132	6	-13	13	132	6	-13	13	132
7	-19	19	151	7	-19	19	151	7	-19	19	151	7	-19	19	151	7	-19	19	151	7	-19	19	151	7	-19	19	151	7	-19	19	151	7	-19	19	151	7	-19	19	151	7	-19	19	151	7	-19	19	151	7	-19	19	151	7	-19	19	151	7	-19	19	151	7	-19	19	151	7	-19	19	151	7	-19	19	151	7	-19	19	151	7	-19	19	151
8	-15	15	166	8	-15	15	166	8	-15	15	166	8	-15	15	166	8	-15	15	166	8	-15	15	166	8	-15	15	166	8	-15	15	166	8	-15	15	166	8	-15	15	166	8	-15	15	166	8	-15	15	166	8	-15	15	166	8	-15	15	166	8	-15	15	166	8	-15	15	166	8	-15	15	166	8	-15	15	166	8	-15	15	166	8	-15	15	166
9	-15	15	181	9	-15	15	181	9	-15	15	181	9	-15	15	181	9	-15	15	181	9	-15	15	181	9	-15	15	181	9	-15	15	181	9	-15	15	181	9	-15	15	181	9	-15	15	181	9	-15	15	181	9	-15	15	181	9	-15	15	181	9	-15	15	181	9	-15	15	181	9	-15	15	181	9	-15	15	181	9	-15	15	181	9	-15	15	181
