Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13	0	-13	13	13
1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28	1	-15	15	28
2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41	2	-13	13	41
3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56	3	-15	15	56
4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69	4	-13	13	69
5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85	5	-16	16	85
6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101	6	-16	16	101
7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114	7	-13	13	114
8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135	8	-120	21	135
9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150	9	-15	15	150
10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167	10	-17	17	167
11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180	11	-13	13	180
12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193	12	-13	13	193
13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206	13	-13	13	206
14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221	14	-15	15	221
15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234	15	-13	13	234
16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250	16	-16	16	250
17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265	17	-15	15	265
18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288	18	-122	23	288
19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307	19	-19	19	307
20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325	20	-117	18	325
21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338	21	-13	13	338
22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351	22	-13	13	351
