Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14	0	-14	14	14
1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34	1	-20	20	34
2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47	2	-13	13	47
3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62	3	-15	15	62
4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77	4	-15	15	77
5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92	5	-15	15	92
6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105	6	-13	13	105
7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118	7	-13	13	118
8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142	8	-123	24	142
9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167	9	-223	25	167
10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186	10	-118	19	186
11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199	11	-13	13	199
12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214	12	-15	15	214
13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227	13	-13	13	227
14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244	14	-17	17	244
15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267	15	-122	23	267
16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284	16	-17	17	284
17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328	17	-242	44	328
18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348	18	-20	20	348
19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387	19	-237	39	387
20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400	20	-13	13	400
21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419	21	-118	19	419
22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432	22	-13	13	432
