Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15	0	-15	15	15
1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28	1	-13	13	28
2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44	2	-115	16	44
3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65	3	-21	21	65
4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79	4	-113	14	79
5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98	5	-118	19	98
6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113	6	-15	15	113
7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126	7	-13	13	126
8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139	8	-13	13	139
9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152	9	-13	13	152
10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165	10	-13	13	165
