Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000	3	-500.0	500	2000
4	-333.0	333	2333	4	-333.0	333	2333	4	-333.0	333	2333	4	-333.0	333	2333	4	-333.0	333	2333	4	-333.0	333	2333	4	-333.0	333	2333	4	-333.0	333	2333	4	-333.0	333	2333	4	-333.0	333	2333	4	-333.0	333	2333
5	-230.0	230	2563	5	-230.0	230	2563	5	-230.0	230	2563	5	-230.0	230	2563	5	-230.0	230	2563	5	-230.0	230	2563	5	-230.0	230	2563	5	-230.0	230	2563	5	-230.0	230	2563	5	-230.0	230	2563	5	-230.0	230	2563
6	-500.0	500	3063	6	-500.0	500	3063	6	-500.0	500	3063	6	-500.0	500	3063	6	-500.0	500	3063	6	-500.0	500	3063	6	-500.0	500	3063	6	-500.0	500	3063	6	-500.0	500	3063	6	-500.0	500	3063	6	-500.0	500	3063
7	-258.0	258	3321	7	-258.0	258	3321	7	-258.0	258	3321	7	-258.0	258	3321	7	-258.0	258	3321	7	-258.0	258	3321	7	-258.0	258	3321	7	-258.0	258	3321	7	-258.0	258	3321	7	-258.0	258	3321	7	-258.0	258	3321
8	-270.0	270	3591	8	-270.0	270	3591	8	-270.0	270	3591	8	-270.0	270	3591	8	-270.0	270	3591	8	-270.0	270	3591	8	-270.0	270	3591	8	-270.0	270	3591	8	-270.0	270	3591	8	-270.0	270	3591	8	-270.0	270	3591
9	-184.0	184	3775	9	-184.0	184	3775	9	-184.0	184	3775	9	-184.0	184	3775	9	-184.0	184	3775	9	-184.0	184	3775	9	-184.0	184	3775	9	-184.0	184	3775	9	-184.0	184	3775	9	-184.0	184	3775	9	-184.0	184	3775
