Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-484.0	484	1484	2	-484.0	484	1484	2	-484.0	484	1484	2	-484.0	484	1484	2	-484.0	484	1484	2	-484.0	484	1484	2	-484.0	484	1484	2	-484.0	484	1484	2	-484.0	484	1484	2	-484.0	484	1484	2	-484.0	484	1484	2	-484.0	484	1484
3	-500.0	500	1984	3	-500.0	500	1984	3	-500.0	500	1984	3	-500.0	500	1984	3	-500.0	500	1984	3	-500.0	500	1984	3	-500.0	500	1984	3	-500.0	500	1984	3	-500.0	500	1984	3	-500.0	500	1984	3	-500.0	500	1984	3	-500.0	500	1984
4	-500.0	500	2484	4	-500.0	500	2484	4	-500.0	500	2484	4	-500.0	500	2484	4	-500.0	500	2484	4	-500.0	500	2484	4	-500.0	500	2484	4	-500.0	500	2484	4	-500.0	500	2484	4	-500.0	500	2484	4	-500.0	500	2484	4	-500.0	500	2484
5	-355.0	355	2839	5	-355.0	355	2839	5	-355.0	355	2839	5	-355.0	355	2839	5	-355.0	355	2839	5	-355.0	355	2839	5	-355.0	355	2839	5	-355.0	355	2839	5	-355.0	355	2839	5	-355.0	355	2839	5	-355.0	355	2839	5	-355.0	355	2839
6	-266.0	266	3105	6	-266.0	266	3105	6	-266.0	266	3105	6	-266.0	266	3105	6	-266.0	266	3105	6	-266.0	266	3105	6	-266.0	266	3105	6	-266.0	266	3105	6	-266.0	266	3105	6	-266.0	266	3105	6	-266.0	266	3105	6	-266.0	266	3105
7	-343.0	343	3448	7	-343.0	343	3448	7	-343.0	343	3448	7	-343.0	343	3448	7	-343.0	343	3448	7	-343.0	343	3448	7	-343.0	343	3448	7	-343.0	343	3448	7	-343.0	343	3448	7	-343.0	343	3448	7	-343.0	343	3448	7	-343.0	343	3448
8	-327.0	327	3775	8	-327.0	327	3775	8	-327.0	327	3775	8	-327.0	327	3775	8	-327.0	327	3775	8	-327.0	327	3775	8	-327.0	327	3775	8	-327.0	327	3775	8	-327.0	327	3775	8	-327.0	327	3775	8	-327.0	327	3775	8	-327.0	327	3775
9	-239.0	239	4014	9	-239.0	239	4014	9	-239.0	239	4014	9	-239.0	239	4014	9	-239.0	239	4014	9	-239.0	239	4014	9	-239.0	239	4014	9	-239.0	239	4014	9	-239.0	239	4014	9	-239.0	239	4014	9	-239.0	239	4014	9	-239.0	239	4014
