Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-321.0	321	1321	2	-321.0	321	1321	2	-321.0	321	1321	2	-321.0	321	1321	2	-321.0	321	1321	2	-321.0	321	1321	2	-321.0	321	1321	2	-321.0	321	1321	2	-321.0	321	1321	2	-321.0	321	1321	2	-321.0	321	1321	2	-321.0	321	1321	2	-321.0	321	1321
3	-400.0	400	1721	3	-400.0	400	1721	3	-400.0	400	1721	3	-400.0	400	1721	3	-400.0	400	1721	3	-400.0	400	1721	3	-400.0	400	1721	3	-400.0	400	1721	3	-400.0	400	1721	3	-400.0	400	1721	3	-400.0	400	1721	3	-400.0	400	1721	3	-400.0	400	1721
4	-394.0	394	2115	4	-394.0	394	2115	4	-394.0	394	2115	4	-394.0	394	2115	4	-394.0	394	2115	4	-394.0	394	2115	4	-394.0	394	2115	4	-394.0	394	2115	4	-394.0	394	2115	4	-394.0	394	2115	4	-394.0	394	2115	4	-394.0	394	2115	4	-394.0	394	2115
5	-366.0	366	2481	5	-366.0	366	2481	5	-366.0	366	2481	5	-366.0	366	2481	5	-366.0	366	2481	5	-366.0	366	2481	5	-366.0	366	2481	5	-366.0	366	2481	5	-366.0	366	2481	5	-366.0	366	2481	5	-366.0	366	2481	5	-366.0	366	2481	5	-366.0	366	2481
6	-373.0	373	2854	6	-373.0	373	2854	6	-373.0	373	2854	6	-373.0	373	2854	6	-373.0	373	2854	6	-373.0	373	2854	6	-373.0	373	2854	6	-373.0	373	2854	6	-373.0	373	2854	6	-373.0	373	2854	6	-373.0	373	2854	6	-373.0	373	2854	6	-373.0	373	2854
7	-415.0	415	3269	7	-415.0	415	3269	7	-415.0	415	3269	7	-415.0	415	3269	7	-415.0	415	3269	7	-415.0	415	3269	7	-415.0	415	3269	7	-415.0	415	3269	7	-415.0	415	3269	7	-415.0	415	3269	7	-415.0	415	3269	7	-415.0	415	3269	7	-415.0	415	3269
8	-273.0	273	3542	8	-273.0	273	3542	8	-273.0	273	3542	8	-273.0	273	3542	8	-273.0	273	3542	8	-273.0	273	3542	8	-273.0	273	3542	8	-273.0	273	3542	8	-273.0	273	3542	8	-273.0	273	3542	8	-273.0	273	3542	8	-273.0	273	3542	8	-273.0	273	3542
9	-233.0	233	3775	9	-233.0	233	3775	9	-233.0	233	3775	9	-233.0	233	3775	9	-233.0	233	3775	9	-233.0	233	3775	9	-233.0	233	3775	9	-233.0	233	3775	9	-233.0	233	3775	9	-233.0	233	3775	9	-233.0	233	3775	9	-233.0	233	3775	9	-233.0	233	3775
10	-221.0	221	3996	10	-221.0	221	3996	10	-221.0	221	3996	10	-221.0	221	3996	10	-221.0	221	3996	10	-221.0	221	3996	10	-221.0	221	3996	10	-221.0	221	3996	10	-221.0	221	3996	10	-221.0	221	3996	10	-221.0	221	3996	10	-221.0	221	3996	10	-221.0	221	3996
11	-216.0	216	4212	11	-216.0	216	4212	11	-216.0	216	4212	11	-216.0	216	4212	11	-216.0	216	4212	11	-216.0	216	4212	11	-216.0	216	4212	11	-216.0	216	4212	11	-216.0	216	4212	11	-216.0	216	4212	11	-216.0	216	4212	11	-216.0	216	4212	11	-216.0	216	4212
