Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-371.0	371	1871	3	-371.0	371	1871	3	-371.0	371	1871	3	-371.0	371	1871	3	-371.0	371	1871	3	-371.0	371	1871	3	-371.0	371	1871	3	-371.0	371	1871	3	-371.0	371	1871	3	-371.0	371	1871	3	-371.0	371	1871	3	-371.0	371	1871	3	-371.0	371	1871	3	-371.0	371	1871
4	-500.0	500	2371	4	-500.0	500	2371	4	-500.0	500	2371	4	-500.0	500	2371	4	-500.0	500	2371	4	-500.0	500	2371	4	-500.0	500	2371	4	-500.0	500	2371	4	-500.0	500	2371	4	-500.0	500	2371	4	-500.0	500	2371	4	-500.0	500	2371	4	-500.0	500	2371	4	-500.0	500	2371
5	-404.0	404	2775	5	-404.0	404	2775	5	-404.0	404	2775	5	-404.0	404	2775	5	-404.0	404	2775	5	-404.0	404	2775	5	-404.0	404	2775	5	-404.0	404	2775	5	-404.0	404	2775	5	-404.0	404	2775	5	-404.0	404	2775	5	-404.0	404	2775	5	-404.0	404	2775	5	-404.0	404	2775
6	-500.0	500	3275	6	-500.0	500	3275	6	-500.0	500	3275	6	-500.0	500	3275	6	-500.0	500	3275	6	-500.0	500	3275	6	-500.0	500	3275	6	-500.0	500	3275	6	-500.0	500	3275	6	-500.0	500	3275	6	-500.0	500	3275	6	-500.0	500	3275	6	-500.0	500	3275	6	-500.0	500	3275
7	-400.0	400	3675	7	-400.0	400	3675	7	-400.0	400	3675	7	-400.0	400	3675	7	-400.0	400	3675	7	-400.0	400	3675	7	-400.0	400	3675	7	-400.0	400	3675	7	-400.0	400	3675	7	-400.0	400	3675	7	-400.0	400	3675	7	-400.0	400	3675	7	-400.0	400	3675	7	-400.0	400	3675
8	-243.0	243	3918	8	-243.0	243	3918	8	-243.0	243	3918	8	-243.0	243	3918	8	-243.0	243	3918	8	-243.0	243	3918	8	-243.0	243	3918	8	-243.0	243	3918	8	-243.0	243	3918	8	-243.0	243	3918	8	-243.0	243	3918	8	-243.0	243	3918	8	-243.0	243	3918	8	-243.0	243	3918
9	-248.0	248	4166	9	-248.0	248	4166	9	-248.0	248	4166	9	-248.0	248	4166	9	-248.0	248	4166	9	-248.0	248	4166	9	-248.0	248	4166	9	-248.0	248	4166	9	-248.0	248	4166	9	-248.0	248	4166	9	-248.0	248	4166	9	-248.0	248	4166	9	-248.0	248	4166	9	-248.0	248	4166
10	-241.0	241	4407	10	-241.0	241	4407	10	-241.0	241	4407	10	-241.0	241	4407	10	-241.0	241	4407	10	-241.0	241	4407	10	-241.0	241	4407	10	-241.0	241	4407	10	-241.0	241	4407	10	-241.0	241	4407	10	-241.0	241	4407	10	-241.0	241	4407	10	-241.0	241	4407	10	-241.0	241	4407
11	-236.0	236	4643	11	-236.0	236	4643	11	-236.0	236	4643	11	-236.0	236	4643	11	-236.0	236	4643	11	-236.0	236	4643	11	-236.0	236	4643	11	-236.0	236	4643	11	-236.0	236	4643	11	-236.0	236	4643	11	-236.0	236	4643	11	-236.0	236	4643	11	-236.0	236	4643	11	-236.0	236	4643
12	-157.0	157	4800	12	-157.0	157	4800	12	-157.0	157	4800	12	-157.0	157	4800	12	-157.0	157	4800	12	-157.0	157	4800	12	-157.0	157	4800	12	-157.0	157	4800	12	-157.0	157	4800	12	-157.0	157	4800	12	-157.0	157	4800	12	-157.0	157	4800	12	-157.0	157	4800	12	-157.0	157	4800
13	-214.0	214	5014	13	-214.0	214	5014	13	-214.0	214	5014	13	-214.0	214	5014	13	-214.0	214	5014	13	-214.0	214	5014	13	-214.0	214	5014	13	-214.0	214	5014	13	-214.0	214	5014	13	-214.0	214	5014	13	-214.0	214	5014	13	-214.0	214	5014	13	-214.0	214	5014	13	-214.0	214	5014
14	-247.0	247	5261	14	-247.0	247	5261	14	-247.0	247	5261	14	-247.0	247	5261	14	-247.0	247	5261	14	-247.0	247	5261	14	-247.0	247	5261	14	-247.0	247	5261	14	-247.0	247	5261	14	-247.0	247	5261	14	-247.0	247	5261	14	-247.0	247	5261	14	-247.0	247	5261	14	-247.0	247	5261
15	-165.0	165	5426	15	-165.0	165	5426	15	-165.0	165	5426	15	-165.0	165	5426	15	-165.0	165	5426	15	-165.0	165	5426	15	-165.0	165	5426	15	-165.0	165	5426	15	-165.0	165	5426	15	-165.0	165	5426	15	-165.0	165	5426	15	-165.0	165	5426	15	-165.0	165	5426	15	-165.0	165	5426
16	-238.0	238	5664	16	-238.0	238	5664	16	-238.0	238	5664	16	-238.0	238	5664	16	-238.0	238	5664	16	-238.0	238	5664	16	-238.0	238	5664	16	-238.0	238	5664	16	-238.0	238	5664	16	-238.0	238	5664	16	-238.0	238	5664	16	-238.0	238	5664	16	-238.0	238	5664	16	-238.0	238	5664
17	-279.0	279	5943	17	-279.0	279	5943	17	-279.0	279	5943	17	-279.0	279	5943	17	-279.0	279	5943	17	-279.0	279	5943	17	-279.0	279	5943	17	-279.0	279	5943	17	-279.0	279	5943	17	-279.0	279	5943	17	-279.0	279	5943	17	-279.0	279	5943	17	-279.0	279	5943	17	-279.0	279	5943
18	-174.0	174	6117	18	-174.0	174	6117	18	-174.0	174	6117	18	-174.0	174	6117	18	-174.0	174	6117	18	-174.0	174	6117	18	-174.0	174	6117	18	-174.0	174	6117	18	-174.0	174	6117	18	-174.0	174	6117	18	-174.0	174	6117	18	-174.0	174	6117	18	-174.0	174	6117	18	-174.0	174	6117
19	-229.0	229	6346	19	-229.0	229	6346	19	-229.0	229	6346	19	-229.0	229	6346	19	-229.0	229	6346	19	-229.0	229	6346	19	-229.0	229	6346	19	-229.0	229	6346	19	-229.0	229	6346	19	-229.0	229	6346	19	-229.0	229	6346	19	-229.0	229	6346	19	-229.0	229	6346	19	-229.0	229	6346
20	-156.0	156	6502	20	-156.0	156	6502	20	-156.0	156	6502	20	-156.0	156	6502	20	-156.0	156	6502	20	-156.0	156	6502	20	-156.0	156	6502	20	-156.0	156	6502	20	-156.0	156	6502	20	-156.0	156	6502	20	-156.0	156	6502	20	-156.0	156	6502	20	-156.0	156	6502	20	-156.0	156	6502
21	-188.0	188	6690	21	-188.0	188	6690	21	-188.0	188	6690	21	-188.0	188	6690	21	-188.0	188	6690	21	-188.0	188	6690	21	-188.0	188	6690	21	-188.0	188	6690	21	-188.0	188	6690	21	-188.0	188	6690	21	-188.0	188	6690	21	-188.0	188	6690	21	-188.0	188	6690	21	-188.0	188	6690
22	-166.0	166	6856	22	-166.0	166	6856	22	-166.0	166	6856	22	-166.0	166	6856	22	-166.0	166	6856	22	-166.0	166	6856	22	-166.0	166	6856	22	-166.0	166	6856	22	-166.0	166	6856	22	-166.0	166	6856	22	-166.0	166	6856	22	-166.0	166	6856	22	-166.0	166	6856	22	-166.0	166	6856
23	-144.0	144	7000	23	-144.0	144	7000	23	-144.0	144	7000	23	-144.0	144	7000	23	-144.0	144	7000	23	-144.0	144	7000	23	-144.0	144	7000	23	-144.0	144	7000	23	-144.0	144	7000	23	-144.0	144	7000	23	-144.0	144	7000	23	-144.0	144	7000	23	-144.0	144	7000	23	-144.0	144	7000
24	-145.0	145	7145	24	-145.0	145	7145	24	-145.0	145	7145	24	-145.0	145	7145	24	-145.0	145	7145	24	-145.0	145	7145	24	-145.0	145	7145	24	-145.0	145	7145	24	-145.0	145	7145	24	-145.0	145	7145	24	-145.0	145	7145	24	-145.0	145	7145	24	-145.0	145	7145	24	-145.0	145	7145
25	-227.0	227	7372	25	-227.0	227	7372	25	-227.0	227	7372	25	-227.0	227	7372	25	-227.0	227	7372	25	-227.0	227	7372	25	-227.0	227	7372	25	-227.0	227	7372	25	-227.0	227	7372	25	-227.0	227	7372	25	-227.0	227	7372	25	-227.0	227	7372	25	-227.0	227	7372	25	-227.0	227	7372
26	-194.0	194	7566	26	-194.0	194	7566	26	-194.0	194	7566	26	-194.0	194	7566	26	-194.0	194	7566	26	-194.0	194	7566	26	-194.0	194	7566	26	-194.0	194	7566	26	-194.0	194	7566	26	-194.0	194	7566	26	-194.0	194	7566	26	-194.0	194	7566	26	-194.0	194	7566	26	-194.0	194	7566
27	-159.0	159	7725	27	-159.0	159	7725	27	-159.0	159	7725	27	-159.0	159	7725	27	-159.0	159	7725	27	-159.0	159	7725	27	-159.0	159	7725	27	-159.0	159	7725	27	-159.0	159	7725	27	-159.0	159	7725	27	-159.0	159	7725	27	-159.0	159	7725	27	-159.0	159	7725	27	-159.0	159	7725
