Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-370.0	370	1370	2	-370.0	370	1370	2	-370.0	370	1370	2	-370.0	370	1370	2	-370.0	370	1370	2	-370.0	370	1370	2	-370.0	370	1370	2	-370.0	370	1370	2	-370.0	370	1370	2	-370.0	370	1370	2	-370.0	370	1370	2	-370.0	370	1370	2	-370.0	370	1370	2	-370.0	370	1370	2	-370.0	370	1370
3	-405.0	405	1775	3	-405.0	405	1775	3	-405.0	405	1775	3	-405.0	405	1775	3	-405.0	405	1775	3	-405.0	405	1775	3	-405.0	405	1775	3	-405.0	405	1775	3	-405.0	405	1775	3	-405.0	405	1775	3	-405.0	405	1775	3	-405.0	405	1775	3	-405.0	405	1775	3	-405.0	405	1775	3	-405.0	405	1775
4	-247.0	247	2022	4	-247.0	247	2022	4	-247.0	247	2022	4	-247.0	247	2022	4	-247.0	247	2022	4	-247.0	247	2022	4	-247.0	247	2022	4	-247.0	247	2022	4	-247.0	247	2022	4	-247.0	247	2022	4	-247.0	247	2022	4	-247.0	247	2022	4	-247.0	247	2022	4	-247.0	247	2022	4	-247.0	247	2022
5	-462.0	462	2484	5	-462.0	462	2484	5	-462.0	462	2484	5	-462.0	462	2484	5	-462.0	462	2484	5	-462.0	462	2484	5	-462.0	462	2484	5	-462.0	462	2484	5	-462.0	462	2484	5	-462.0	462	2484	5	-462.0	462	2484	5	-462.0	462	2484	5	-462.0	462	2484	5	-462.0	462	2484	5	-462.0	462	2484
6	-237.0	237	2721	6	-237.0	237	2721	6	-237.0	237	2721	6	-237.0	237	2721	6	-237.0	237	2721	6	-237.0	237	2721	6	-237.0	237	2721	6	-237.0	237	2721	6	-237.0	237	2721	6	-237.0	237	2721	6	-237.0	237	2721	6	-237.0	237	2721	6	-237.0	237	2721	6	-237.0	237	2721	6	-237.0	237	2721
7	-417.0	417	3138	7	-417.0	417	3138	7	-417.0	417	3138	7	-417.0	417	3138	7	-417.0	417	3138	7	-417.0	417	3138	7	-417.0	417	3138	7	-417.0	417	3138	7	-417.0	417	3138	7	-417.0	417	3138	7	-417.0	417	3138	7	-417.0	417	3138	7	-417.0	417	3138	7	-417.0	417	3138	7	-417.0	417	3138
8	-195.0	195	3333	8	-195.0	195	3333	8	-195.0	195	3333	8	-195.0	195	3333	8	-195.0	195	3333	8	-195.0	195	3333	8	-195.0	195	3333	8	-195.0	195	3333	8	-195.0	195	3333	8	-195.0	195	3333	8	-195.0	195	3333	8	-195.0	195	3333	8	-195.0	195	3333	8	-195.0	195	3333	8	-195.0	195	3333
9	-183.0	183	3516	9	-183.0	183	3516	9	-183.0	183	3516	9	-183.0	183	3516	9	-183.0	183	3516	9	-183.0	183	3516	9	-183.0	183	3516	9	-183.0	183	3516	9	-183.0	183	3516	9	-183.0	183	3516	9	-183.0	183	3516	9	-183.0	183	3516	9	-183.0	183	3516	9	-183.0	183	3516	9	-183.0	183	3516
