Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-455.0	455	1455	2	-455.0	455	1455	2	-455.0	455	1455	2	-455.0	455	1455	2	-455.0	455	1455	2	-455.0	455	1455	2	-455.0	455	1455	2	-455.0	455	1455	2	-455.0	455	1455	2	-455.0	455	1455	2	-455.0	455	1455	2	-455.0	455	1455	2	-455.0	455	1455	2	-455.0	455	1455	2	-455.0	455	1455	2	-455.0	455	1455
3	-500.0	500	1955	3	-500.0	500	1955	3	-500.0	500	1955	3	-500.0	500	1955	3	-500.0	500	1955	3	-500.0	500	1955	3	-500.0	500	1955	3	-500.0	500	1955	3	-500.0	500	1955	3	-500.0	500	1955	3	-500.0	500	1955	3	-500.0	500	1955	3	-500.0	500	1955	3	-500.0	500	1955	3	-500.0	500	1955	3	-500.0	500	1955
4	-457.0	457	2412	4	-457.0	457	2412	4	-457.0	457	2412	4	-457.0	457	2412	4	-457.0	457	2412	4	-457.0	457	2412	4	-457.0	457	2412	4	-457.0	457	2412	4	-457.0	457	2412	4	-457.0	457	2412	4	-457.0	457	2412	4	-457.0	457	2412	4	-457.0	457	2412	4	-457.0	457	2412	4	-457.0	457	2412	4	-457.0	457	2412
5	-330.0	330	2742	5	-330.0	330	2742	5	-330.0	330	2742	5	-330.0	330	2742	5	-330.0	330	2742	5	-330.0	330	2742	5	-330.0	330	2742	5	-330.0	330	2742	5	-330.0	330	2742	5	-330.0	330	2742	5	-330.0	330	2742	5	-330.0	330	2742	5	-330.0	330	2742	5	-330.0	330	2742	5	-330.0	330	2742	5	-330.0	330	2742
6	-312.0	312	3054	6	-312.0	312	3054	6	-312.0	312	3054	6	-312.0	312	3054	6	-312.0	312	3054	6	-312.0	312	3054	6	-312.0	312	3054	6	-312.0	312	3054	6	-312.0	312	3054	6	-312.0	312	3054	6	-312.0	312	3054	6	-312.0	312	3054	6	-312.0	312	3054	6	-312.0	312	3054	6	-312.0	312	3054	6	-312.0	312	3054
7	-500.0	500	3554	7	-500.0	500	3554	7	-500.0	500	3554	7	-500.0	500	3554	7	-500.0	500	3554	7	-500.0	500	3554	7	-500.0	500	3554	7	-500.0	500	3554	7	-500.0	500	3554	7	-500.0	500	3554	7	-500.0	500	3554	7	-500.0	500	3554	7	-500.0	500	3554	7	-500.0	500	3554	7	-500.0	500	3554	7	-500.0	500	3554
8	-402.0	402	3956	8	-402.0	402	3956	8	-402.0	402	3956	8	-402.0	402	3956	8	-402.0	402	3956	8	-402.0	402	3956	8	-402.0	402	3956	8	-402.0	402	3956	8	-402.0	402	3956	8	-402.0	402	3956	8	-402.0	402	3956	8	-402.0	402	3956	8	-402.0	402	3956	8	-402.0	402	3956	8	-402.0	402	3956	8	-402.0	402	3956
9	-237.0	237	4193	9	-237.0	237	4193	9	-237.0	237	4193	9	-237.0	237	4193	9	-237.0	237	4193	9	-237.0	237	4193	9	-237.0	237	4193	9	-237.0	237	4193	9	-237.0	237	4193	9	-237.0	237	4193	9	-237.0	237	4193	9	-237.0	237	4193	9	-237.0	237	4193	9	-237.0	237	4193	9	-237.0	237	4193	9	-237.0	237	4193
