Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-363.0	363	1863	3	-363.0	363	1863	3	-363.0	363	1863	3	-363.0	363	1863	3	-363.0	363	1863	3	-363.0	363	1863	3	-363.0	363	1863	3	-363.0	363	1863	3	-363.0	363	1863	3	-363.0	363	1863	3	-363.0	363	1863	3	-363.0	363	1863	3	-363.0	363	1863	3	-363.0	363	1863	3	-363.0	363	1863	3	-363.0	363	1863	3	-363.0	363	1863
4	-480.0	480	2343	4	-480.0	480	2343	4	-480.0	480	2343	4	-480.0	480	2343	4	-480.0	480	2343	4	-480.0	480	2343	4	-480.0	480	2343	4	-480.0	480	2343	4	-480.0	480	2343	4	-480.0	480	2343	4	-480.0	480	2343	4	-480.0	480	2343	4	-480.0	480	2343	4	-480.0	480	2343	4	-480.0	480	2343	4	-480.0	480	2343	4	-480.0	480	2343
5	-414.0	414	2757	5	-414.0	414	2757	5	-414.0	414	2757	5	-414.0	414	2757	5	-414.0	414	2757	5	-414.0	414	2757	5	-414.0	414	2757	5	-414.0	414	2757	5	-414.0	414	2757	5	-414.0	414	2757	5	-414.0	414	2757	5	-414.0	414	2757	5	-414.0	414	2757	5	-414.0	414	2757	5	-414.0	414	2757	5	-414.0	414	2757	5	-414.0	414	2757
6	-345.0	345	3102	6	-345.0	345	3102	6	-345.0	345	3102	6	-345.0	345	3102	6	-345.0	345	3102	6	-345.0	345	3102	6	-345.0	345	3102	6	-345.0	345	3102	6	-345.0	345	3102	6	-345.0	345	3102	6	-345.0	345	3102	6	-345.0	345	3102	6	-345.0	345	3102	6	-345.0	345	3102	6	-345.0	345	3102	6	-345.0	345	3102	6	-345.0	345	3102
7	-283.0	283	3385	7	-283.0	283	3385	7	-283.0	283	3385	7	-283.0	283	3385	7	-283.0	283	3385	7	-283.0	283	3385	7	-283.0	283	3385	7	-283.0	283	3385	7	-283.0	283	3385	7	-283.0	283	3385	7	-283.0	283	3385	7	-283.0	283	3385	7	-283.0	283	3385	7	-283.0	283	3385	7	-283.0	283	3385	7	-283.0	283	3385	7	-283.0	283	3385
8	-248.0	248	3633	8	-248.0	248	3633	8	-248.0	248	3633	8	-248.0	248	3633	8	-248.0	248	3633	8	-248.0	248	3633	8	-248.0	248	3633	8	-248.0	248	3633	8	-248.0	248	3633	8	-248.0	248	3633	8	-248.0	248	3633	8	-248.0	248	3633	8	-248.0	248	3633	8	-248.0	248	3633	8	-248.0	248	3633	8	-248.0	248	3633	8	-248.0	248	3633
9	-238.0	238	3871	9	-238.0	238	3871	9	-238.0	238	3871	9	-238.0	238	3871	9	-238.0	238	3871	9	-238.0	238	3871	9	-238.0	238	3871	9	-238.0	238	3871	9	-238.0	238	3871	9	-238.0	238	3871	9	-238.0	238	3871	9	-238.0	238	3871	9	-238.0	238	3871	9	-238.0	238	3871	9	-238.0	238	3871	9	-238.0	238	3871	9	-238.0	238	3871
