Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-420.0	420	1920	3	-420.0	420	1920	3	-420.0	420	1920	3	-420.0	420	1920	3	-420.0	420	1920	3	-420.0	420	1920	3	-420.0	420	1920	3	-420.0	420	1920	3	-420.0	420	1920	3	-420.0	420	1920	3	-420.0	420	1920	3	-420.0	420	1920	3	-420.0	420	1920	3	-420.0	420	1920	3	-420.0	420	1920	3	-420.0	420	1920	3	-420.0	420	1920	3	-420.0	420	1920
4	-282.0	282	2202	4	-282.0	282	2202	4	-282.0	282	2202	4	-282.0	282	2202	4	-282.0	282	2202	4	-282.0	282	2202	4	-282.0	282	2202	4	-282.0	282	2202	4	-282.0	282	2202	4	-282.0	282	2202	4	-282.0	282	2202	4	-282.0	282	2202	4	-282.0	282	2202	4	-282.0	282	2202	4	-282.0	282	2202	4	-282.0	282	2202	4	-282.0	282	2202	4	-282.0	282	2202
5	-403.0	403	2605	5	-403.0	403	2605	5	-403.0	403	2605	5	-403.0	403	2605	5	-403.0	403	2605	5	-403.0	403	2605	5	-403.0	403	2605	5	-403.0	403	2605	5	-403.0	403	2605	5	-403.0	403	2605	5	-403.0	403	2605	5	-403.0	403	2605	5	-403.0	403	2605	5	-403.0	403	2605	5	-403.0	403	2605	5	-403.0	403	2605	5	-403.0	403	2605	5	-403.0	403	2605
6	-277.0	277	2882	6	-277.0	277	2882	6	-277.0	277	2882	6	-277.0	277	2882	6	-277.0	277	2882	6	-277.0	277	2882	6	-277.0	277	2882	6	-277.0	277	2882	6	-277.0	277	2882	6	-277.0	277	2882	6	-277.0	277	2882	6	-277.0	277	2882	6	-277.0	277	2882	6	-277.0	277	2882	6	-277.0	277	2882	6	-277.0	277	2882	6	-277.0	277	2882	6	-277.0	277	2882
7	-284.0	284	3166	7	-284.0	284	3166	7	-284.0	284	3166	7	-284.0	284	3166	7	-284.0	284	3166	7	-284.0	284	3166	7	-284.0	284	3166	7	-284.0	284	3166	7	-284.0	284	3166	7	-284.0	284	3166	7	-284.0	284	3166	7	-284.0	284	3166	7	-284.0	284	3166	7	-284.0	284	3166	7	-284.0	284	3166	7	-284.0	284	3166	7	-284.0	284	3166	7	-284.0	284	3166
8	-274.0	274	3440	8	-274.0	274	3440	8	-274.0	274	3440	8	-274.0	274	3440	8	-274.0	274	3440	8	-274.0	274	3440	8	-274.0	274	3440	8	-274.0	274	3440	8	-274.0	274	3440	8	-274.0	274	3440	8	-274.0	274	3440	8	-274.0	274	3440	8	-274.0	274	3440	8	-274.0	274	3440	8	-274.0	274	3440	8	-274.0	274	3440	8	-274.0	274	3440	8	-274.0	274	3440
9	-337.0	337	3777	9	-337.0	337	3777	9	-337.0	337	3777	9	-337.0	337	3777	9	-337.0	337	3777	9	-337.0	337	3777	9	-337.0	337	3777	9	-337.0	337	3777	9	-337.0	337	3777	9	-337.0	337	3777	9	-337.0	337	3777	9	-337.0	337	3777	9	-337.0	337	3777	9	-337.0	337	3777	9	-337.0	337	3777	9	-337.0	337	3777	9	-337.0	337	3777	9	-337.0	337	3777
10	-195.0	195	3972	10	-195.0	195	3972	10	-195.0	195	3972	10	-195.0	195	3972	10	-195.0	195	3972	10	-195.0	195	3972	10	-195.0	195	3972	10	-195.0	195	3972	10	-195.0	195	3972	10	-195.0	195	3972	10	-195.0	195	3972	10	-195.0	195	3972	10	-195.0	195	3972	10	-195.0	195	3972	10	-195.0	195	3972	10	-195.0	195	3972	10	-195.0	195	3972	10	-195.0	195	3972
11	-277.0	277	4249	11	-277.0	277	4249	11	-277.0	277	4249	11	-277.0	277	4249	11	-277.0	277	4249	11	-277.0	277	4249	11	-277.0	277	4249	11	-277.0	277	4249	11	-277.0	277	4249	11	-277.0	277	4249	11	-277.0	277	4249	11	-277.0	277	4249	11	-277.0	277	4249	11	-277.0	277	4249	11	-277.0	277	4249	11	-277.0	277	4249	11	-277.0	277	4249	11	-277.0	277	4249
12	-161.0	161	4410	12	-161.0	161	4410	12	-161.0	161	4410	12	-161.0	161	4410	12	-161.0	161	4410	12	-161.0	161	4410	12	-161.0	161	4410	12	-161.0	161	4410	12	-161.0	161	4410	12	-161.0	161	4410	12	-161.0	161	4410	12	-161.0	161	4410	12	-161.0	161	4410	12	-161.0	161	4410	12	-161.0	161	4410	12	-161.0	161	4410	12	-161.0	161	4410	12	-161.0	161	4410
13	-159.0	159	4569	13	-159.0	159	4569	13	-159.0	159	4569	13	-159.0	159	4569	13	-159.0	159	4569	13	-159.0	159	4569	13	-159.0	159	4569	13	-159.0	159	4569	13	-159.0	159	4569	13	-159.0	159	4569	13	-159.0	159	4569	13	-159.0	159	4569	13	-159.0	159	4569	13	-159.0	159	4569	13	-159.0	159	4569	13	-159.0	159	4569	13	-159.0	159	4569	13	-159.0	159	4569
14	-292.0	292	4861	14	-292.0	292	4861	14	-292.0	292	4861	14	-292.0	292	4861	14	-292.0	292	4861	14	-292.0	292	4861	14	-292.0	292	4861	14	-292.0	292	4861	14	-292.0	292	4861	14	-292.0	292	4861	14	-292.0	292	4861	14	-292.0	292	4861	14	-292.0	292	4861	14	-292.0	292	4861	14	-292.0	292	4861	14	-292.0	292	4861	14	-292.0	292	4861	14	-292.0	292	4861
15	-160.0	160	5021	15	-160.0	160	5021	15	-160.0	160	5021	15	-160.0	160	5021	15	-160.0	160	5021	15	-160.0	160	5021	15	-160.0	160	5021	15	-160.0	160	5021	15	-160.0	160	5021	15	-160.0	160	5021	15	-160.0	160	5021	15	-160.0	160	5021	15	-160.0	160	5021	15	-160.0	160	5021	15	-160.0	160	5021	15	-160.0	160	5021	15	-160.0	160	5021	15	-160.0	160	5021
16	-268.0	268	5289	16	-268.0	268	5289	16	-268.0	268	5289	16	-268.0	268	5289	16	-268.0	268	5289	16	-268.0	268	5289	16	-268.0	268	5289	16	-268.0	268	5289	16	-268.0	268	5289	16	-268.0	268	5289	16	-268.0	268	5289	16	-268.0	268	5289	16	-268.0	268	5289	16	-268.0	268	5289	16	-268.0	268	5289	16	-268.0	268	5289	16	-268.0	268	5289	16	-268.0	268	5289
17	-224.0	224	5513	17	-224.0	224	5513	17	-224.0	224	5513	17	-224.0	224	5513	17	-224.0	224	5513	17	-224.0	224	5513	17	-224.0	224	5513	17	-224.0	224	5513	17	-224.0	224	5513	17	-224.0	224	5513	17	-224.0	224	5513	17	-224.0	224	5513	17	-224.0	224	5513	17	-224.0	224	5513	17	-224.0	224	5513	17	-224.0	224	5513	17	-224.0	224	5513	17	-224.0	224	5513
18	-227.0	227	5740	18	-227.0	227	5740	18	-227.0	227	5740	18	-227.0	227	5740	18	-227.0	227	5740	18	-227.0	227	5740	18	-227.0	227	5740	18	-227.0	227	5740	18	-227.0	227	5740	18	-227.0	227	5740	18	-227.0	227	5740	18	-227.0	227	5740	18	-227.0	227	5740	18	-227.0	227	5740	18	-227.0	227	5740	18	-227.0	227	5740	18	-227.0	227	5740	18	-227.0	227	5740
19	-192.0	192	5932	19	-192.0	192	5932	19	-192.0	192	5932	19	-192.0	192	5932	19	-192.0	192	5932	19	-192.0	192	5932	19	-192.0	192	5932	19	-192.0	192	5932	19	-192.0	192	5932	19	-192.0	192	5932	19	-192.0	192	5932	19	-192.0	192	5932	19	-192.0	192	5932	19	-192.0	192	5932	19	-192.0	192	5932	19	-192.0	192	5932	19	-192.0	192	5932	19	-192.0	192	5932
20	-224.0	224	6156	20	-224.0	224	6156	20	-224.0	224	6156	20	-224.0	224	6156	20	-224.0	224	6156	20	-224.0	224	6156	20	-224.0	224	6156	20	-224.0	224	6156	20	-224.0	224	6156	20	-224.0	224	6156	20	-224.0	224	6156	20	-224.0	224	6156	20	-224.0	224	6156	20	-224.0	224	6156	20	-224.0	224	6156	20	-224.0	224	6156	20	-224.0	224	6156	20	-224.0	224	6156
21	-203.0	203	6359	21	-203.0	203	6359	21	-203.0	203	6359	21	-203.0	203	6359	21	-203.0	203	6359	21	-203.0	203	6359	21	-203.0	203	6359	21	-203.0	203	6359	21	-203.0	203	6359	21	-203.0	203	6359	21	-203.0	203	6359	21	-203.0	203	6359	21	-203.0	203	6359	21	-203.0	203	6359	21	-203.0	203	6359	21	-203.0	203	6359	21	-203.0	203	6359	21	-203.0	203	6359
22	-182.0	182	6541	22	-182.0	182	6541	22	-182.0	182	6541	22	-182.0	182	6541	22	-182.0	182	6541	22	-182.0	182	6541	22	-182.0	182	6541	22	-182.0	182	6541	22	-182.0	182	6541	22	-182.0	182	6541	22	-182.0	182	6541	22	-182.0	182	6541	22	-182.0	182	6541	22	-182.0	182	6541	22	-182.0	182	6541	22	-182.0	182	6541	22	-182.0	182	6541	22	-182.0	182	6541
23	-229.0	229	6770	23	-229.0	229	6770	23	-229.0	229	6770	23	-229.0	229	6770	23	-229.0	229	6770	23	-229.0	229	6770	23	-229.0	229	6770	23	-229.0	229	6770	23	-229.0	229	6770	23	-229.0	229	6770	23	-229.0	229	6770	23	-229.0	229	6770	23	-229.0	229	6770	23	-229.0	229	6770	23	-229.0	229	6770	23	-229.0	229	6770	23	-229.0	229	6770	23	-229.0	229	6770
24	-186.0	186	6956	24	-186.0	186	6956	24	-186.0	186	6956	24	-186.0	186	6956	24	-186.0	186	6956	24	-186.0	186	6956	24	-186.0	186	6956	24	-186.0	186	6956	24	-186.0	186	6956	24	-186.0	186	6956	24	-186.0	186	6956	24	-186.0	186	6956	24	-186.0	186	6956	24	-186.0	186	6956	24	-186.0	186	6956	24	-186.0	186	6956	24	-186.0	186	6956	24	-186.0	186	6956
25	-150.0	150	7106	25	-150.0	150	7106	25	-150.0	150	7106	25	-150.0	150	7106	25	-150.0	150	7106	25	-150.0	150	7106	25	-150.0	150	7106	25	-150.0	150	7106	25	-150.0	150	7106	25	-150.0	150	7106	25	-150.0	150	7106	25	-150.0	150	7106	25	-150.0	150	7106	25	-150.0	150	7106	25	-150.0	150	7106	25	-150.0	150	7106	25	-150.0	150	7106	25	-150.0	150	7106
26	-148.0	148	7254	26	-148.0	148	7254	26	-148.0	148	7254	26	-148.0	148	7254	26	-148.0	148	7254	26	-148.0	148	7254	26	-148.0	148	7254	26	-148.0	148	7254	26	-148.0	148	7254	26	-148.0	148	7254	26	-148.0	148	7254	26	-148.0	148	7254	26	-148.0	148	7254	26	-148.0	148	7254	26	-148.0	148	7254	26	-148.0	148	7254	26	-148.0	148	7254	26	-148.0	148	7254
27	-231.0	231	7485	27	-231.0	231	7485	27	-231.0	231	7485	27	-231.0	231	7485	27	-231.0	231	7485	27	-231.0	231	7485	27	-231.0	231	7485	27	-231.0	231	7485	27	-231.0	231	7485	27	-231.0	231	7485	27	-231.0	231	7485	27	-231.0	231	7485	27	-231.0	231	7485	27	-231.0	231	7485	27	-231.0	231	7485	27	-231.0	231	7485	27	-231.0	231	7485	27	-231.0	231	7485
28	-206.0	206	7691	28	-206.0	206	7691	28	-206.0	206	7691	28	-206.0	206	7691	28	-206.0	206	7691	28	-206.0	206	7691	28	-206.0	206	7691	28	-206.0	206	7691	28	-206.0	206	7691	28	-206.0	206	7691	28	-206.0	206	7691	28	-206.0	206	7691	28	-206.0	206	7691	28	-206.0	206	7691	28	-206.0	206	7691	28	-206.0	206	7691	28	-206.0	206	7691	28	-206.0	206	7691
29	-198.0	198	7889	29	-198.0	198	7889	29	-198.0	198	7889	29	-198.0	198	7889	29	-198.0	198	7889	29	-198.0	198	7889	29	-198.0	198	7889	29	-198.0	198	7889	29	-198.0	198	7889	29	-198.0	198	7889	29	-198.0	198	7889	29	-198.0	198	7889	29	-198.0	198	7889	29	-198.0	198	7889	29	-198.0	198	7889	29	-198.0	198	7889	29	-198.0	198	7889	29	-198.0	198	7889
30	-165.0	165	8054	30	-165.0	165	8054	30	-165.0	165	8054	30	-165.0	165	8054	30	-165.0	165	8054	30	-165.0	165	8054	30	-165.0	165	8054	30	-165.0	165	8054	30	-165.0	165	8054	30	-165.0	165	8054	30	-165.0	165	8054	30	-165.0	165	8054	30	-165.0	165	8054	30	-165.0	165	8054	30	-165.0	165	8054	30	-165.0	165	8054	30	-165.0	165	8054	30	-165.0	165	8054
31	-145.0	145	8199	31	-145.0	145	8199	31	-145.0	145	8199	31	-145.0	145	8199	31	-145.0	145	8199	31	-145.0	145	8199	31	-145.0	145	8199	31	-145.0	145	8199	31	-145.0	145	8199	31	-145.0	145	8199	31	-145.0	145	8199	31	-145.0	145	8199	31	-145.0	145	8199	31	-145.0	145	8199	31	-145.0	145	8199	31	-145.0	145	8199	31	-145.0	145	8199	31	-145.0	145	8199
32	-239.0	239	8438	32	-239.0	239	8438	32	-239.0	239	8438	32	-239.0	239	8438	32	-239.0	239	8438	32	-239.0	239	8438	32	-239.0	239	8438	32	-239.0	239	8438	32	-239.0	239	8438	32	-239.0	239	8438	32	-239.0	239	8438	32	-239.0	239	8438	32	-239.0	239	8438	32	-239.0	239	8438	32	-239.0	239	8438	32	-239.0	239	8438	32	-239.0	239	8438	32	-239.0	239	8438
33	-151.0	151	8589	33	-151.0	151	8589	33	-151.0	151	8589	33	-151.0	151	8589	33	-151.0	151	8589	33	-151.0	151	8589	33	-151.0	151	8589	33	-151.0	151	8589	33	-151.0	151	8589	33	-151.0	151	8589	33	-151.0	151	8589	33	-151.0	151	8589	33	-151.0	151	8589	33	-151.0	151	8589	33	-151.0	151	8589	33	-151.0	151	8589	33	-151.0	151	8589	33	-151.0	151	8589
34	-185.0	185	8774	34	-185.0	185	8774	34	-185.0	185	8774	34	-185.0	185	8774	34	-185.0	185	8774	34	-185.0	185	8774	34	-185.0	185	8774	34	-185.0	185	8774	34	-185.0	185	8774	34	-185.0	185	8774	34	-185.0	185	8774	34	-185.0	185	8774	34	-185.0	185	8774	34	-185.0	185	8774	34	-185.0	185	8774	34	-185.0	185	8774	34	-185.0	185	8774	34	-185.0	185	8774
35	-191.0	191	8965	35	-191.0	191	8965	35	-191.0	191	8965	35	-191.0	191	8965	35	-191.0	191	8965	35	-191.0	191	8965	35	-191.0	191	8965	35	-191.0	191	8965	35	-191.0	191	8965	35	-191.0	191	8965	35	-191.0	191	8965	35	-191.0	191	8965	35	-191.0	191	8965	35	-191.0	191	8965	35	-191.0	191	8965	35	-191.0	191	8965	35	-191.0	191	8965	35	-191.0	191	8965
