Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-488.0	488	1988	3	-488.0	488	1988	3	-488.0	488	1988	3	-488.0	488	1988	3	-488.0	488	1988	3	-488.0	488	1988	3	-488.0	488	1988	3	-488.0	488	1988	3	-488.0	488	1988	3	-488.0	488	1988	3	-488.0	488	1988	3	-488.0	488	1988	3	-488.0	488	1988	3	-488.0	488	1988	3	-488.0	488	1988	3	-488.0	488	1988	3	-488.0	488	1988	3	-488.0	488	1988	3	-488.0	488	1988
4	-340.0	340	2328	4	-340.0	340	2328	4	-340.0	340	2328	4	-340.0	340	2328	4	-340.0	340	2328	4	-340.0	340	2328	4	-340.0	340	2328	4	-340.0	340	2328	4	-340.0	340	2328	4	-340.0	340	2328	4	-340.0	340	2328	4	-340.0	340	2328	4	-340.0	340	2328	4	-340.0	340	2328	4	-340.0	340	2328	4	-340.0	340	2328	4	-340.0	340	2328	4	-340.0	340	2328	4	-340.0	340	2328
5	-467.0	467	2795	5	-467.0	467	2795	5	-467.0	467	2795	5	-467.0	467	2795	5	-467.0	467	2795	5	-467.0	467	2795	5	-467.0	467	2795	5	-467.0	467	2795	5	-467.0	467	2795	5	-467.0	467	2795	5	-467.0	467	2795	5	-467.0	467	2795	5	-467.0	467	2795	5	-467.0	467	2795	5	-467.0	467	2795	5	-467.0	467	2795	5	-467.0	467	2795	5	-467.0	467	2795	5	-467.0	467	2795
6	-261.0	261	3056	6	-261.0	261	3056	6	-261.0	261	3056	6	-261.0	261	3056	6	-261.0	261	3056	6	-261.0	261	3056	6	-261.0	261	3056	6	-261.0	261	3056	6	-261.0	261	3056	6	-261.0	261	3056	6	-261.0	261	3056	6	-261.0	261	3056	6	-261.0	261	3056	6	-261.0	261	3056	6	-261.0	261	3056	6	-261.0	261	3056	6	-261.0	261	3056	6	-261.0	261	3056	6	-261.0	261	3056
7	-327.0	327	3383	7	-327.0	327	3383	7	-327.0	327	3383	7	-327.0	327	3383	7	-327.0	327	3383	7	-327.0	327	3383	7	-327.0	327	3383	7	-327.0	327	3383	7	-327.0	327	3383	7	-327.0	327	3383	7	-327.0	327	3383	7	-327.0	327	3383	7	-327.0	327	3383	7	-327.0	327	3383	7	-327.0	327	3383	7	-327.0	327	3383	7	-327.0	327	3383	7	-327.0	327	3383	7	-327.0	327	3383
8	-408.0	408	3791	8	-408.0	408	3791	8	-408.0	408	3791	8	-408.0	408	3791	8	-408.0	408	3791	8	-408.0	408	3791	8	-408.0	408	3791	8	-408.0	408	3791	8	-408.0	408	3791	8	-408.0	408	3791	8	-408.0	408	3791	8	-408.0	408	3791	8	-408.0	408	3791	8	-408.0	408	3791	8	-408.0	408	3791	8	-408.0	408	3791	8	-408.0	408	3791	8	-408.0	408	3791	8	-408.0	408	3791
9	-168.0	168	3959	9	-168.0	168	3959	9	-168.0	168	3959	9	-168.0	168	3959	9	-168.0	168	3959	9	-168.0	168	3959	9	-168.0	168	3959	9	-168.0	168	3959	9	-168.0	168	3959	9	-168.0	168	3959	9	-168.0	168	3959	9	-168.0	168	3959	9	-168.0	168	3959	9	-168.0	168	3959	9	-168.0	168	3959	9	-168.0	168	3959	9	-168.0	168	3959	9	-168.0	168	3959	9	-168.0	168	3959
