Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868	3	-368.0	368	1868
4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368	4	-500.0	500	2368
5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762	5	-394.0	394	2762
6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035	6	-273.0	273	3035
7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267	7	-232.0	232	3267
8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469	8	-202.0	202	3469
9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803	9	-334.0	334	3803
