Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500
1	-500.0	500	1000
2	-500.0	500	1500
3	-500.0	500	2000
4	-329.0	329	2329
5	-479.0	479	2808
6	-222.0	222	3030
7	-308.0	308	3338
8	-276.0	276	3614
9	-305.0	305	3919
10	-218.0	218	4137
11	-200.0	200	4337
12	-267.0	267	4604
13	-232.0	232	4836
14	-243.0	243	5079
15	-197.0	197	5276
16	-163.0	163	5439
17	-191.0	191	5630
18	-151.0	151	5781
19	-223.0	223	6004
20	-210.0	210	6214
21	-179.0	179	6393
22	-200.0	200	6593
23	-160.0	160	6753
24	-127.0	127	6880
25	-216.0	216	7096
26	-191.0	191	7287
27	-173.0	173	7460
28	-227.0	227	7687
29	-236.0	236	7923
30	-148.0	148	8071
31	-223.0	223	8294
32	-181.0	181	8475
33	-216.0	216	8691
34	-236.0	236	8927
35	-141.0	141	9068
36	-149.0	149	9217
37	-153.0	153	9370
38	-187.0	187	9557
39	-157.0	157	9714
40	-149.0	149	9863
41	-114.0	114	9977
42	-154.0	154	10131
43	-149.0	149	10280
44	-149.0	149	10429
45	-135.0	135	10564
46	-110.0	110	10674
47	-141.0	141	10815
48	-144.0	144	10959
49	-150.0	150	11109
50	-183.0	183	11292
51	-148.0	148	11440
52	-191.0	191	11631
53	-146.0	146	11777
54	-144.0	144	11921
55	-150.0	150	12071
56	-147.0	147	12218
57	-153.0	153	12371
58	-127.0	127	12498
59	-149.0	149	12647
60	-137.0	137	12784
61	-138.0	138	12922
62	-174.0	174	13096
63	-136.0	136	13232
64	-136.0	136	13368
65	-127.0	127	13495
66	-178.0	178	13673
67	-210.0	210	13883
68	-183.0	183	14066
69	-183.0	183	14249
70	-149.0	149	14398
71	-178.0	178	14576
72	-150.0	150	14726
73	-155.0	155	14881
74	-178.0	178	15059
75	-194.0	194	15253
76	-175.0	175	15428
77	-148.0	148	15576
78	-143.0	143	15719
79	-141.0	141	15860
80	-135.0	135	15995
81	-133.0	133	16128
82	-185.0	185	16313
83	-138.0	138	16451
84	-138.0	138	16589
85	-176.0	176	16765
86	-141.0	141	16906
87	-135.0	135	17041
88	-141.0	141	17182
89	-137.0	137	17319
90	-142.0	142	17461
91	-138.0	138	17599
92	-182.0	182	17781
93	-180.0	180	17961
94	-181.0	181	18142
95	-175.0	175	18317
96	-147.0	147	18464
97	-184.0	184	18648
98	-151.0	151	18799
99	-138.0	138	18937
100	-211.0	211	19148
101	-208.0	208	19356
102	-143.0	143	19499
103	-140.0	140	19639
104	-124.0	124	19763
105	-112.0	112	19875
106	-107.0	107	19982
107	-110.0	110	20092
108	-93.0	93	20185
109	-170.0	170	20355
110	-155.0	155	20510
111	-136.0	136	20646
112	-139.0	139	20785
113	-165.0	165	20950
114	-146.0	146	21096
115	-107.0	107	21203
116	-108.0	108	21311
117	-109.0	109	21420
118	-156.0	156	21576
119	-149.0	149	21725
120	-146.0	146	21871
121	-182.0	182	22053
