Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000
2	-327.0	327	1327	2	-327.0	327	1327
3	-500.0	500	1827	3	-500.0	500	1827
4	-500.0	500	2327	4	-500.0	500	2327
5	-371.0	371	2698	5	-371.0	371	2698
6	-339.0	339	3037	6	-339.0	339	3037
7	-244.0	244	3281	7	-244.0	244	3281
8	-284.0	284	3565	8	-284.0	284	3565
9	-204.0	204	3769	9	-204.0	204	3769
10	-262.0	262	4031	10	-262.0	262	4031
11	-336.0	336	4367	11	-336.0	336	4367
12	-228.0	228	4595	12	-228.0	228	4595
13	-286.0	286	4881	13	-286.0	286	4881
14	-161.0	161	5042	14	-161.0	161	5042
15	-202.0	202	5244	15	-202.0	202	5244
16	-282.0	282	5526	16	-282.0	282	5526
17	-285.0	285	5811	17	-285.0	285	5811
18	-156.0	156	5967	18	-156.0	156	5967
19	-249.0	249	6216	19	-249.0	249	6216
20	-191.0	191	6407	20	-191.0	191	6407
21	-176.0	176	6583	21	-176.0	176	6583
22	-149.0	149	6732	22	-149.0	149	6732
23	-149.0	149	6881	23	-149.0	149	6881
24	-185.0	185	7066	24	-185.0	185	7066
25	-227.0	227	7293	25	-227.0	227	7293
26	-221.0	221	7514	26	-221.0	221	7514
27	-191.0	191	7705	27	-191.0	191	7705
28	-151.0	151	7856	28	-151.0	151	7856
29	-190.0	190	8046	29	-190.0	190	8046
30	-191.0	191	8237	30	-191.0	191	8237
31	-171.0	171	8408	31	-171.0	171	8408
32	-151.0	151	8559	32	-151.0	151	8559
33	-218.0	218	8777	33	-218.0	218	8777
34	-227.0	227	9004	34	-227.0	227	9004
35	-137.0	137	9141	35	-137.0	137	9141
36	-163.0	163	9304	36	-163.0	163	9304
37	-149.0	149	9453	37	-149.0	149	9453
38	-113.0	113	9566	38	-113.0	113	9566
39	-112.0	112	9678	39	-112.0	112	9678
40	-181.0	181	9859	40	-181.0	181	9859
41	-152.0	152	10011	41	-152.0	152	10011
42	-181.0	181	10192	42	-181.0	181	10192
43	-142.0	142	10334	43	-142.0	142	10334
44	-183.0	183	10517	44	-183.0	183	10517
45	-148.0	148	10665	45	-148.0	148	10665
46	-153.0	153	10818	46	-153.0	153	10818
47	-123.0	123	10941	47	-123.0	123	10941
