Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-428.0	428	1928	3	-428.0	428	1928	3	-428.0	428	1928
4	-390.0	390	2318	4	-390.0	390	2318	4	-390.0	390	2318
5	-329.0	329	2647	5	-329.0	329	2647	5	-329.0	329	2647
6	-375.0	375	3022	6	-375.0	375	3022	6	-375.0	375	3022
7	-404.0	404	3426	7	-404.0	404	3426	7	-404.0	404	3426
8	-162.0	162	3588	8	-162.0	162	3588	8	-162.0	162	3588
9	-411.0	411	3999	9	-411.0	411	3999	9	-411.0	411	3999
10	-239.0	239	4238	10	-239.0	239	4238	10	-239.0	239	4238
11	-194.0	194	4432	11	-194.0	194	4432	11	-194.0	194	4432
12	-243.0	243	4675	12	-243.0	243	4675	12	-243.0	243	4675
13	-245.0	245	4920	13	-245.0	245	4920	13	-245.0	245	4920
14	-194.0	194	5114	14	-194.0	194	5114	14	-194.0	194	5114
15	-193.0	193	5307	15	-193.0	193	5307	15	-193.0	193	5307
16	-218.0	218	5525	16	-218.0	218	5525	16	-218.0	218	5525
17	-187.0	187	5712	17	-187.0	187	5712	17	-187.0	187	5712
18	-160.0	160	5872	18	-160.0	160	5872	18	-160.0	160	5872
19	-236.0	236	6108	19	-236.0	236	6108	19	-236.0	236	6108
20	-201.0	201	6309	20	-201.0	201	6309	20	-201.0	201	6309
21	-154.0	154	6463	21	-154.0	154	6463	21	-154.0	154	6463
22	-178.0	178	6641	22	-178.0	178	6641	22	-178.0	178	6641
23	-247.0	247	6888	23	-247.0	247	6888	23	-247.0	247	6888
24	-175.0	175	7063	24	-175.0	175	7063	24	-175.0	175	7063
25	-216.0	216	7279	25	-216.0	216	7279	25	-216.0	216	7279
26	-155.0	155	7434	26	-155.0	155	7434	26	-155.0	155	7434
27	-145.0	145	7579	27	-145.0	145	7579	27	-145.0	145	7579
28	-145.0	145	7724	28	-145.0	145	7724	28	-145.0	145	7724
29	-227.0	227	7951	29	-227.0	227	7951	29	-227.0	227	7951
30	-175.0	175	8126	30	-175.0	175	8126	30	-175.0	175	8126
31	-151.0	151	8277	31	-151.0	151	8277	31	-151.0	151	8277
32	-156.0	156	8433	32	-156.0	156	8433	32	-156.0	156	8433
33	-154.0	154	8587	33	-154.0	154	8587	33	-154.0	154	8587
34	-146.0	146	8733	34	-146.0	146	8733	34	-146.0	146	8733
35	-219.0	219	8952	35	-219.0	219	8952	35	-219.0	219	8952
36	-181.0	181	9133	36	-181.0	181	9133	36	-181.0	181	9133
37	-115.0	115	9248	37	-115.0	115	9248	37	-115.0	115	9248
38	-112.0	112	9360	38	-112.0	112	9360	38	-112.0	112	9360
39	-147.0	147	9507	39	-147.0	147	9507	39	-147.0	147	9507
40	-145.0	145	9652	40	-145.0	145	9652	40	-145.0	145	9652
41	-153.0	153	9805	41	-153.0	153	9805	41	-153.0	153	9805
42	-109.0	109	9914	42	-109.0	109	9914	42	-109.0	109	9914
43	-147.0	147	10061	43	-147.0	147	10061	43	-147.0	147	10061
44	-145.0	145	10206	44	-145.0	145	10206	44	-145.0	145	10206
45	-147.0	147	10353	45	-147.0	147	10353	45	-147.0	147	10353
