Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-481.0	481	1481	2	-481.0	481	1481	2	-481.0	481	1481	2	-481.0	481	1481	2	-481.0	481	1481
3	-410.0	410	1891	3	-410.0	410	1891	3	-410.0	410	1891	3	-410.0	410	1891	3	-410.0	410	1891
4	-371.0	371	2262	4	-371.0	371	2262	4	-371.0	371	2262	4	-371.0	371	2262	4	-371.0	371	2262
5	-251.0	251	2513	5	-251.0	251	2513	5	-251.0	251	2513	5	-251.0	251	2513	5	-251.0	251	2513
6	-410.0	410	2923	6	-410.0	410	2923	6	-410.0	410	2923	6	-410.0	410	2923	6	-410.0	410	2923
7	-273.0	273	3196	7	-273.0	273	3196	7	-273.0	273	3196	7	-273.0	273	3196	7	-273.0	273	3196
8	-415.0	415	3611	8	-415.0	415	3611	8	-415.0	415	3611	8	-415.0	415	3611	8	-415.0	415	3611
9	-228.0	228	3839	9	-228.0	228	3839	9	-228.0	228	3839	9	-228.0	228	3839	9	-228.0	228	3839
10	-216.0	216	4055	10	-216.0	216	4055	10	-216.0	216	4055	10	-216.0	216	4055	10	-216.0	216	4055
11	-309.0	309	4364	11	-309.0	309	4364	11	-309.0	309	4364	11	-309.0	309	4364	11	-309.0	309	4364
12	-265.0	265	4629	12	-265.0	265	4629	12	-265.0	265	4629	12	-265.0	265	4629	12	-265.0	265	4629
13	-259.0	259	4888	13	-259.0	259	4888	13	-259.0	259	4888	13	-259.0	259	4888	13	-259.0	259	4888
14	-198.0	198	5086	14	-198.0	198	5086	14	-198.0	198	5086	14	-198.0	198	5086	14	-198.0	198	5086
15	-268.0	268	5354	15	-268.0	268	5354	15	-268.0	268	5354	15	-268.0	268	5354	15	-268.0	268	5354
16	-160.0	160	5514	16	-160.0	160	5514	16	-160.0	160	5514	16	-160.0	160	5514	16	-160.0	160	5514
17	-227.0	227	5741	17	-227.0	227	5741	17	-227.0	227	5741	17	-227.0	227	5741	17	-227.0	227	5741
18	-194.0	194	5935	18	-194.0	194	5935	18	-194.0	194	5935	18	-194.0	194	5935	18	-194.0	194	5935
19	-228.0	228	6163	19	-228.0	228	6163	19	-228.0	228	6163	19	-228.0	228	6163	19	-228.0	228	6163
20	-159.0	159	6322	20	-159.0	159	6322	20	-159.0	159	6322	20	-159.0	159	6322	20	-159.0	159	6322
21	-167.0	167	6489	21	-167.0	167	6489	21	-167.0	167	6489	21	-167.0	167	6489	21	-167.0	167	6489
22	-229.0	229	6718	22	-229.0	229	6718	22	-229.0	229	6718	22	-229.0	229	6718	22	-229.0	229	6718
23	-145.0	145	6863	23	-145.0	145	6863	23	-145.0	145	6863	23	-145.0	145	6863	23	-145.0	145	6863
