Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-363.0	363	1363	2	-363.0	363	1363	2	-363.0	363	1363	2	-363.0	363	1363	2	-363.0	363	1363	2	-363.0	363	1363
3	-500.0	500	1863	3	-500.0	500	1863	3	-500.0	500	1863	3	-500.0	500	1863	3	-500.0	500	1863	3	-500.0	500	1863
4	-407.0	407	2270	4	-407.0	407	2270	4	-407.0	407	2270	4	-407.0	407	2270	4	-407.0	407	2270	4	-407.0	407	2270
5	-314.0	314	2584	5	-314.0	314	2584	5	-314.0	314	2584	5	-314.0	314	2584	5	-314.0	314	2584	5	-314.0	314	2584
6	-425.0	425	3009	6	-425.0	425	3009	6	-425.0	425	3009	6	-425.0	425	3009	6	-425.0	425	3009	6	-425.0	425	3009
7	-312.0	312	3321	7	-312.0	312	3321	7	-312.0	312	3321	7	-312.0	312	3321	7	-312.0	312	3321	7	-312.0	312	3321
8	-237.0	237	3558	8	-237.0	237	3558	8	-237.0	237	3558	8	-237.0	237	3558	8	-237.0	237	3558	8	-237.0	237	3558
9	-328.0	328	3886	9	-328.0	328	3886	9	-328.0	328	3886	9	-328.0	328	3886	9	-328.0	328	3886	9	-328.0	328	3886
10	-242.0	242	4128	10	-242.0	242	4128	10	-242.0	242	4128	10	-242.0	242	4128	10	-242.0	242	4128	10	-242.0	242	4128
11	-266.0	266	4394	11	-266.0	266	4394	11	-266.0	266	4394	11	-266.0	266	4394	11	-266.0	266	4394	11	-266.0	266	4394
12	-252.0	252	4646	12	-252.0	252	4646	12	-252.0	252	4646	12	-252.0	252	4646	12	-252.0	252	4646	12	-252.0	252	4646
13	-216.0	216	4862	13	-216.0	216	4862	13	-216.0	216	4862	13	-216.0	216	4862	13	-216.0	216	4862	13	-216.0	216	4862
14	-191.0	191	5053	14	-191.0	191	5053	14	-191.0	191	5053	14	-191.0	191	5053	14	-191.0	191	5053	14	-191.0	191	5053
15	-184.0	184	5237	15	-184.0	184	5237	15	-184.0	184	5237	15	-184.0	184	5237	15	-184.0	184	5237	15	-184.0	184	5237
16	-155.0	155	5392	16	-155.0	155	5392	16	-155.0	155	5392	16	-155.0	155	5392	16	-155.0	155	5392	16	-155.0	155	5392
17	-224.0	224	5616	17	-224.0	224	5616	17	-224.0	224	5616	17	-224.0	224	5616	17	-224.0	224	5616	17	-224.0	224	5616
18	-221.0	221	5837	18	-221.0	221	5837	18	-221.0	221	5837	18	-221.0	221	5837	18	-221.0	221	5837	18	-221.0	221	5837
19	-208.0	208	6045	19	-208.0	208	6045	19	-208.0	208	6045	19	-208.0	208	6045	19	-208.0	208	6045	19	-208.0	208	6045
20	-188.0	188	6233	20	-188.0	188	6233	20	-188.0	188	6233	20	-188.0	188	6233	20	-188.0	188	6233	20	-188.0	188	6233
21	-167.0	167	6400	21	-167.0	167	6400	21	-167.0	167	6400	21	-167.0	167	6400	21	-167.0	167	6400	21	-167.0	167	6400
22	-156.0	156	6556	22	-156.0	156	6556	22	-156.0	156	6556	22	-156.0	156	6556	22	-156.0	156	6556	22	-156.0	156	6556
23	-213.0	213	6769	23	-213.0	213	6769	23	-213.0	213	6769	23	-213.0	213	6769	23	-213.0	213	6769	23	-213.0	213	6769
24	-192.0	192	6961	24	-192.0	192	6961	24	-192.0	192	6961	24	-192.0	192	6961	24	-192.0	192	6961	24	-192.0	192	6961
25	-153.0	153	7114	25	-153.0	153	7114	25	-153.0	153	7114	25	-153.0	153	7114	25	-153.0	153	7114	25	-153.0	153	7114
26	-187.0	187	7301	26	-187.0	187	7301	26	-187.0	187	7301	26	-187.0	187	7301	26	-187.0	187	7301	26	-187.0	187	7301
27	-114.0	114	7415	27	-114.0	114	7415	27	-114.0	114	7415	27	-114.0	114	7415	27	-114.0	114	7415	27	-114.0	114	7415
28	-152.0	152	7567	28	-152.0	152	7567	28	-152.0	152	7567	28	-152.0	152	7567	28	-152.0	152	7567	28	-152.0	152	7567
29	-148.0	148	7715	29	-148.0	148	7715	29	-148.0	148	7715	29	-148.0	148	7715	29	-148.0	148	7715	29	-148.0	148	7715
30	-145.0	145	7860	30	-145.0	145	7860	30	-145.0	145	7860	30	-145.0	145	7860	30	-145.0	145	7860	30	-145.0	145	7860
31	-147.0	147	8007	31	-147.0	147	8007	31	-147.0	147	8007	31	-147.0	147	8007	31	-147.0	147	8007	31	-147.0	147	8007
32	-184.0	184	8191	32	-184.0	184	8191	32	-184.0	184	8191	32	-184.0	184	8191	32	-184.0	184	8191	32	-184.0	184	8191
33	-175.0	175	8366	33	-175.0	175	8366	33	-175.0	175	8366	33	-175.0	175	8366	33	-175.0	175	8366	33	-175.0	175	8366
34	-152.0	152	8518	34	-152.0	152	8518	34	-152.0	152	8518	34	-152.0	152	8518	34	-152.0	152	8518	34	-152.0	152	8518
35	-150.0	150	8668	35	-150.0	150	8668	35	-150.0	150	8668	35	-150.0	150	8668	35	-150.0	150	8668	35	-150.0	150	8668
36	-193.0	193	8861	36	-193.0	193	8861	36	-193.0	193	8861	36	-193.0	193	8861	36	-193.0	193	8861	36	-193.0	193	8861
37	-196.0	196	9057	37	-196.0	196	9057	37	-196.0	196	9057	37	-196.0	196	9057	37	-196.0	196	9057	37	-196.0	196	9057
38	-199.0	199	9256	38	-199.0	199	9256	38	-199.0	199	9256	38	-199.0	199	9256	38	-199.0	199	9256	38	-199.0	199	9256
39	-158.0	158	9414	39	-158.0	158	9414	39	-158.0	158	9414	39	-158.0	158	9414	39	-158.0	158	9414	39	-158.0	158	9414
40	-142.0	142	9556	40	-142.0	142	9556	40	-142.0	142	9556	40	-142.0	142	9556	40	-142.0	142	9556	40	-142.0	142	9556
41	-142.0	142	9698	41	-142.0	142	9698	41	-142.0	142	9698	41	-142.0	142	9698	41	-142.0	142	9698	41	-142.0	142	9698
42	-147.0	147	9845	42	-147.0	147	9845	42	-147.0	147	9845	42	-147.0	147	9845	42	-147.0	147	9845	42	-147.0	147	9845
43	-134.0	134	9979	43	-134.0	134	9979	43	-134.0	134	9979	43	-134.0	134	9979	43	-134.0	134	9979	43	-134.0	134	9979
44	-135.0	135	10114	44	-135.0	135	10114	44	-135.0	135	10114	44	-135.0	135	10114	44	-135.0	135	10114	44	-135.0	135	10114
45	-149.0	149	10263	45	-149.0	149	10263	45	-149.0	149	10263	45	-149.0	149	10263	45	-149.0	149	10263	45	-149.0	149	10263
46	-111.0	111	10374	46	-111.0	111	10374	46	-111.0	111	10374	46	-111.0	111	10374	46	-111.0	111	10374	46	-111.0	111	10374
