Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-486.0	486	1486	2	-486.0	486	1486	2	-486.0	486	1486	2	-486.0	486	1486	2	-486.0	486	1486	2	-486.0	486	1486	2	-486.0	486	1486
3	-419.0	419	1905	3	-419.0	419	1905	3	-419.0	419	1905	3	-419.0	419	1905	3	-419.0	419	1905	3	-419.0	419	1905	3	-419.0	419	1905
4	-500.0	500	2405	4	-500.0	500	2405	4	-500.0	500	2405	4	-500.0	500	2405	4	-500.0	500	2405	4	-500.0	500	2405	4	-500.0	500	2405
5	-292.0	292	2697	5	-292.0	292	2697	5	-292.0	292	2697	5	-292.0	292	2697	5	-292.0	292	2697	5	-292.0	292	2697	5	-292.0	292	2697
6	-243.0	243	2940	6	-243.0	243	2940	6	-243.0	243	2940	6	-243.0	243	2940	6	-243.0	243	2940	6	-243.0	243	2940	6	-243.0	243	2940
7	-270.0	270	3210	7	-270.0	270	3210	7	-270.0	270	3210	7	-270.0	270	3210	7	-270.0	270	3210	7	-270.0	270	3210	7	-270.0	270	3210
8	-330.0	330	3540	8	-330.0	330	3540	8	-330.0	330	3540	8	-330.0	330	3540	8	-330.0	330	3540	8	-330.0	330	3540	8	-330.0	330	3540
9	-304.0	304	3844	9	-304.0	304	3844	9	-304.0	304	3844	9	-304.0	304	3844	9	-304.0	304	3844	9	-304.0	304	3844	9	-304.0	304	3844
10	-221.0	221	4065	10	-221.0	221	4065	10	-221.0	221	4065	10	-221.0	221	4065	10	-221.0	221	4065	10	-221.0	221	4065	10	-221.0	221	4065
11	-218.0	218	4283	11	-218.0	218	4283	11	-218.0	218	4283	11	-218.0	218	4283	11	-218.0	218	4283	11	-218.0	218	4283	11	-218.0	218	4283
