Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-491.0	491	1991	3	-491.0	491	1991	3	-491.0	491	1991	3	-491.0	491	1991	3	-491.0	491	1991	3	-491.0	491	1991	3	-491.0	491	1991	3	-491.0	491	1991
4	-280.0	280	2271	4	-280.0	280	2271	4	-280.0	280	2271	4	-280.0	280	2271	4	-280.0	280	2271	4	-280.0	280	2271	4	-280.0	280	2271	4	-280.0	280	2271
5	-286.0	286	2557	5	-286.0	286	2557	5	-286.0	286	2557	5	-286.0	286	2557	5	-286.0	286	2557	5	-286.0	286	2557	5	-286.0	286	2557	5	-286.0	286	2557
6	-412.0	412	2969	6	-412.0	412	2969	6	-412.0	412	2969	6	-412.0	412	2969	6	-412.0	412	2969	6	-412.0	412	2969	6	-412.0	412	2969	6	-412.0	412	2969
7	-247.0	247	3216	7	-247.0	247	3216	7	-247.0	247	3216	7	-247.0	247	3216	7	-247.0	247	3216	7	-247.0	247	3216	7	-247.0	247	3216	7	-247.0	247	3216
8	-272.0	272	3488	8	-272.0	272	3488	8	-272.0	272	3488	8	-272.0	272	3488	8	-272.0	272	3488	8	-272.0	272	3488	8	-272.0	272	3488	8	-272.0	272	3488
9	-326.0	326	3814	9	-326.0	326	3814	9	-326.0	326	3814	9	-326.0	326	3814	9	-326.0	326	3814	9	-326.0	326	3814	9	-326.0	326	3814	9	-326.0	326	3814
10	-235.0	235	4049	10	-235.0	235	4049	10	-235.0	235	4049	10	-235.0	235	4049	10	-235.0	235	4049	10	-235.0	235	4049	10	-235.0	235	4049	10	-235.0	235	4049
11	-233.0	233	4282	11	-233.0	233	4282	11	-233.0	233	4282	11	-233.0	233	4282	11	-233.0	233	4282	11	-233.0	233	4282	11	-233.0	233	4282	11	-233.0	233	4282
12	-234.0	234	4516	12	-234.0	234	4516	12	-234.0	234	4516	12	-234.0	234	4516	12	-234.0	234	4516	12	-234.0	234	4516	12	-234.0	234	4516	12	-234.0	234	4516
13	-267.0	267	4783	13	-267.0	267	4783	13	-267.0	267	4783	13	-267.0	267	4783	13	-267.0	267	4783	13	-267.0	267	4783	13	-267.0	267	4783	13	-267.0	267	4783
14	-185.0	185	4968	14	-185.0	185	4968	14	-185.0	185	4968	14	-185.0	185	4968	14	-185.0	185	4968	14	-185.0	185	4968	14	-185.0	185	4968	14	-185.0	185	4968
15	-213.0	213	5181	15	-213.0	213	5181	15	-213.0	213	5181	15	-213.0	213	5181	15	-213.0	213	5181	15	-213.0	213	5181	15	-213.0	213	5181	15	-213.0	213	5181
16	-153.0	153	5334	16	-153.0	153	5334	16	-153.0	153	5334	16	-153.0	153	5334	16	-153.0	153	5334	16	-153.0	153	5334	16	-153.0	153	5334	16	-153.0	153	5334
17	-230.0	230	5564	17	-230.0	230	5564	17	-230.0	230	5564	17	-230.0	230	5564	17	-230.0	230	5564	17	-230.0	230	5564	17	-230.0	230	5564	17	-230.0	230	5564
18	-195.0	195	5759	18	-195.0	195	5759	18	-195.0	195	5759	18	-195.0	195	5759	18	-195.0	195	5759	18	-195.0	195	5759	18	-195.0	195	5759	18	-195.0	195	5759
19	-189.0	189	5948	19	-189.0	189	5948	19	-189.0	189	5948	19	-189.0	189	5948	19	-189.0	189	5948	19	-189.0	189	5948	19	-189.0	189	5948	19	-189.0	189	5948
20	-189.0	189	6137	20	-189.0	189	6137	20	-189.0	189	6137	20	-189.0	189	6137	20	-189.0	189	6137	20	-189.0	189	6137	20	-189.0	189	6137	20	-189.0	189	6137
21	-178.0	178	6315	21	-178.0	178	6315	21	-178.0	178	6315	21	-178.0	178	6315	21	-178.0	178	6315	21	-178.0	178	6315	21	-178.0	178	6315	21	-178.0	178	6315
22	-234.0	234	6549	22	-234.0	234	6549	22	-234.0	234	6549	22	-234.0	234	6549	22	-234.0	234	6549	22	-234.0	234	6549	22	-234.0	234	6549	22	-234.0	234	6549
23	-232.0	232	6781	23	-232.0	232	6781	23	-232.0	232	6781	23	-232.0	232	6781	23	-232.0	232	6781	23	-232.0	232	6781	23	-232.0	232	6781	23	-232.0	232	6781
24	-152.0	152	6933	24	-152.0	152	6933	24	-152.0	152	6933	24	-152.0	152	6933	24	-152.0	152	6933	24	-152.0	152	6933	24	-152.0	152	6933	24	-152.0	152	6933
25	-231.0	231	7164	25	-231.0	231	7164	25	-231.0	231	7164	25	-231.0	231	7164	25	-231.0	231	7164	25	-231.0	231	7164	25	-231.0	231	7164	25	-231.0	231	7164
26	-217.0	217	7381	26	-217.0	217	7381	26	-217.0	217	7381	26	-217.0	217	7381	26	-217.0	217	7381	26	-217.0	217	7381	26	-217.0	217	7381	26	-217.0	217	7381
27	-147.0	147	7528	27	-147.0	147	7528	27	-147.0	147	7528	27	-147.0	147	7528	27	-147.0	147	7528	27	-147.0	147	7528	27	-147.0	147	7528	27	-147.0	147	7528
28	-119.0	119	7647	28	-119.0	119	7647	28	-119.0	119	7647	28	-119.0	119	7647	28	-119.0	119	7647	28	-119.0	119	7647	28	-119.0	119	7647	28	-119.0	119	7647
29	-116.0	116	7763	29	-116.0	116	7763	29	-116.0	116	7763	29	-116.0	116	7763	29	-116.0	116	7763	29	-116.0	116	7763	29	-116.0	116	7763	29	-116.0	116	7763
30	-169.0	169	7932	30	-169.0	169	7932	30	-169.0	169	7932	30	-169.0	169	7932	30	-169.0	169	7932	30	-169.0	169	7932	30	-169.0	169	7932	30	-169.0	169	7932
31	-150.0	150	8082	31	-150.0	150	8082	31	-150.0	150	8082	31	-150.0	150	8082	31	-150.0	150	8082	31	-150.0	150	8082	31	-150.0	150	8082	31	-150.0	150	8082
32	-185.0	185	8267	32	-185.0	185	8267	32	-185.0	185	8267	32	-185.0	185	8267	32	-185.0	185	8267	32	-185.0	185	8267	32	-185.0	185	8267	32	-185.0	185	8267
33	-148.0	148	8415	33	-148.0	148	8415	33	-148.0	148	8415	33	-148.0	148	8415	33	-148.0	148	8415	33	-148.0	148	8415	33	-148.0	148	8415	33	-148.0	148	8415
34	-173.0	173	8588	34	-173.0	173	8588	34	-173.0	173	8588	34	-173.0	173	8588	34	-173.0	173	8588	34	-173.0	173	8588	34	-173.0	173	8588	34	-173.0	173	8588
35	-155.0	155	8743	35	-155.0	155	8743	35	-155.0	155	8743	35	-155.0	155	8743	35	-155.0	155	8743	35	-155.0	155	8743	35	-155.0	155	8743	35	-155.0	155	8743
36	-183.0	183	8926	36	-183.0	183	8926	36	-183.0	183	8926	36	-183.0	183	8926	36	-183.0	183	8926	36	-183.0	183	8926	36	-183.0	183	8926	36	-183.0	183	8926
37	-154.0	154	9080	37	-154.0	154	9080	37	-154.0	154	9080	37	-154.0	154	9080	37	-154.0	154	9080	37	-154.0	154	9080	37	-154.0	154	9080	37	-154.0	154	9080
38	-178.0	178	9258	38	-178.0	178	9258	38	-178.0	178	9258	38	-178.0	178	9258	38	-178.0	178	9258	38	-178.0	178	9258	38	-178.0	178	9258	38	-178.0	178	9258
39	-150.0	150	9408	39	-150.0	150	9408	39	-150.0	150	9408	39	-150.0	150	9408	39	-150.0	150	9408	39	-150.0	150	9408	39	-150.0	150	9408	39	-150.0	150	9408
40	-148.0	148	9556	40	-148.0	148	9556	40	-148.0	148	9556	40	-148.0	148	9556	40	-148.0	148	9556	40	-148.0	148	9556	40	-148.0	148	9556	40	-148.0	148	9556
41	-176.0	176	9732	41	-176.0	176	9732	41	-176.0	176	9732	41	-176.0	176	9732	41	-176.0	176	9732	41	-176.0	176	9732	41	-176.0	176	9732	41	-176.0	176	9732
42	-146.0	146	9878	42	-146.0	146	9878	42	-146.0	146	9878	42	-146.0	146	9878	42	-146.0	146	9878	42	-146.0	146	9878	42	-146.0	146	9878	42	-146.0	146	9878
43	-142.0	142	10020	43	-142.0	142	10020	43	-142.0	142	10020	43	-142.0	142	10020	43	-142.0	142	10020	43	-142.0	142	10020	43	-142.0	142	10020	43	-142.0	142	10020
44	-139.0	139	10159	44	-139.0	139	10159	44	-139.0	139	10159	44	-139.0	139	10159	44	-139.0	139	10159	44	-139.0	139	10159	44	-139.0	139	10159	44	-139.0	139	10159
45	-145.0	145	10304	45	-145.0	145	10304	45	-145.0	145	10304	45	-145.0	145	10304	45	-145.0	145	10304	45	-145.0	145	10304	45	-145.0	145	10304	45	-145.0	145	10304
46	-133.0	133	10437	46	-133.0	133	10437	46	-133.0	133	10437	46	-133.0	133	10437	46	-133.0	133	10437	46	-133.0	133	10437	46	-133.0	133	10437	46	-133.0	133	10437
47	-114.0	114	10551	47	-114.0	114	10551	47	-114.0	114	10551	47	-114.0	114	10551	47	-114.0	114	10551	47	-114.0	114	10551	47	-114.0	114	10551	47	-114.0	114	10551
48	-110.0	110	10661	48	-110.0	110	10661	48	-110.0	110	10661	48	-110.0	110	10661	48	-110.0	110	10661	48	-110.0	110	10661	48	-110.0	110	10661	48	-110.0	110	10661
49	-175.0	175	10836	49	-175.0	175	10836	49	-175.0	175	10836	49	-175.0	175	10836	49	-175.0	175	10836	49	-175.0	175	10836	49	-175.0	175	10836	49	-175.0	175	10836
50	-152.0	152	10988	50	-152.0	152	10988	50	-152.0	152	10988	50	-152.0	152	10988	50	-152.0	152	10988	50	-152.0	152	10988	50	-152.0	152	10988	50	-152.0	152	10988
51	-114.0	114	11102	51	-114.0	114	11102	51	-114.0	114	11102	51	-114.0	114	11102	51	-114.0	114	11102	51	-114.0	114	11102	51	-114.0	114	11102	51	-114.0	114	11102
52	-110.0	110	11212	52	-110.0	110	11212	52	-110.0	110	11212	52	-110.0	110	11212	52	-110.0	110	11212	52	-110.0	110	11212	52	-110.0	110	11212	52	-110.0	110	11212
53	-157.0	157	11369	53	-157.0	157	11369	53	-157.0	157	11369	53	-157.0	157	11369	53	-157.0	157	11369	53	-157.0	157	11369	53	-157.0	157	11369	53	-157.0	157	11369
54	-146.0	146	11515	54	-146.0	146	11515	54	-146.0	146	11515	54	-146.0	146	11515	54	-146.0	146	11515	54	-146.0	146	11515	54	-146.0	146	11515	54	-146.0	146	11515
55	-147.0	147	11662	55	-147.0	147	11662	55	-147.0	147	11662	55	-147.0	147	11662	55	-147.0	147	11662	55	-147.0	147	11662	55	-147.0	147	11662	55	-147.0	147	11662
56	-171.0	171	11833	56	-171.0	171	11833	56	-171.0	171	11833	56	-171.0	171	11833	56	-171.0	171	11833	56	-171.0	171	11833	56	-171.0	171	11833	56	-171.0	171	11833
57	-142.0	142	11975	57	-142.0	142	11975	57	-142.0	142	11975	57	-142.0	142	11975	57	-142.0	142	11975	57	-142.0	142	11975	57	-142.0	142	11975	57	-142.0	142	11975
58	-126.0	126	12101	58	-126.0	126	12101	58	-126.0	126	12101	58	-126.0	126	12101	58	-126.0	126	12101	58	-126.0	126	12101	58	-126.0	126	12101	58	-126.0	126	12101
59	-148.0	148	12249	59	-148.0	148	12249	59	-148.0	148	12249	59	-148.0	148	12249	59	-148.0	148	12249	59	-148.0	148	12249	59	-148.0	148	12249	59	-148.0	148	12249
60	-135.0	135	12384	60	-135.0	135	12384	60	-135.0	135	12384	60	-135.0	135	12384	60	-135.0	135	12384	60	-135.0	135	12384	60	-135.0	135	12384	60	-135.0	135	12384
61	-150.0	150	12534	61	-150.0	150	12534	61	-150.0	150	12534	61	-150.0	150	12534	61	-150.0	150	12534	61	-150.0	150	12534	61	-150.0	150	12534	61	-150.0	150	12534
62	-179.0	179	12713	62	-179.0	179	12713	62	-179.0	179	12713	62	-179.0	179	12713	62	-179.0	179	12713	62	-179.0	179	12713	62	-179.0	179	12713	62	-179.0	179	12713
63	-147.0	147	12860	63	-147.0	147	12860	63	-147.0	147	12860	63	-147.0	147	12860	63	-147.0	147	12860	63	-147.0	147	12860	63	-147.0	147	12860	63	-147.0	147	12860
64	-145.0	145	13005	64	-145.0	145	13005	64	-145.0	145	13005	64	-145.0	145	13005	64	-145.0	145	13005	64	-145.0	145	13005	64	-145.0	145	13005	64	-145.0	145	13005
65	-125.0	125	13130	65	-125.0	125	13130	65	-125.0	125	13130	65	-125.0	125	13130	65	-125.0	125	13130	65	-125.0	125	13130	65	-125.0	125	13130	65	-125.0	125	13130
66	-140.0	140	13270	66	-140.0	140	13270	66	-140.0	140	13270	66	-140.0	140	13270	66	-140.0	140	13270	66	-140.0	140	13270	66	-140.0	140	13270	66	-140.0	140	13270
67	-143.0	143	13413	67	-143.0	143	13413	67	-143.0	143	13413	67	-143.0	143	13413	67	-143.0	143	13413	67	-143.0	143	13413	67	-143.0	143	13413	67	-143.0	143	13413
68	-143.0	143	13556	68	-143.0	143	13556	68	-143.0	143	13556	68	-143.0	143	13556	68	-143.0	143	13556	68	-143.0	143	13556	68	-143.0	143	13556	68	-143.0	143	13556
69	-149.0	149	13705	69	-149.0	149	13705	69	-149.0	149	13705	69	-149.0	149	13705	69	-149.0	149	13705	69	-149.0	149	13705	69	-149.0	149	13705	69	-149.0	149	13705
