Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-316.0	316	1816	3	-316.0	316	1816	3	-316.0	316	1816	3	-316.0	316	1816	3	-316.0	316	1816	3	-316.0	316	1816	3	-316.0	316	1816	3	-316.0	316	1816	3	-316.0	316	1816
4	-256.0	256	2072	4	-256.0	256	2072	4	-256.0	256	2072	4	-256.0	256	2072	4	-256.0	256	2072	4	-256.0	256	2072	4	-256.0	256	2072	4	-256.0	256	2072	4	-256.0	256	2072
5	-373.0	373	2445	5	-373.0	373	2445	5	-373.0	373	2445	5	-373.0	373	2445	5	-373.0	373	2445	5	-373.0	373	2445	5	-373.0	373	2445	5	-373.0	373	2445	5	-373.0	373	2445
6	-320.0	320	2765	6	-320.0	320	2765	6	-320.0	320	2765	6	-320.0	320	2765	6	-320.0	320	2765	6	-320.0	320	2765	6	-320.0	320	2765	6	-320.0	320	2765	6	-320.0	320	2765
7	-264.0	264	3029	7	-264.0	264	3029	7	-264.0	264	3029	7	-264.0	264	3029	7	-264.0	264	3029	7	-264.0	264	3029	7	-264.0	264	3029	7	-264.0	264	3029	7	-264.0	264	3029
8	-319.0	319	3348	8	-319.0	319	3348	8	-319.0	319	3348	8	-319.0	319	3348	8	-319.0	319	3348	8	-319.0	319	3348	8	-319.0	319	3348	8	-319.0	319	3348	8	-319.0	319	3348
9	-215.0	215	3563	9	-215.0	215	3563	9	-215.0	215	3563	9	-215.0	215	3563	9	-215.0	215	3563	9	-215.0	215	3563	9	-215.0	215	3563	9	-215.0	215	3563	9	-215.0	215	3563
10	-295.0	295	3858	10	-295.0	295	3858	10	-295.0	295	3858	10	-295.0	295	3858	10	-295.0	295	3858	10	-295.0	295	3858	10	-295.0	295	3858	10	-295.0	295	3858	10	-295.0	295	3858
11	-436.0	436	4294	11	-436.0	436	4294	11	-436.0	436	4294	11	-436.0	436	4294	11	-436.0	436	4294	11	-436.0	436	4294	11	-436.0	436	4294	11	-436.0	436	4294	11	-436.0	436	4294
12	-246.0	246	4540	12	-246.0	246	4540	12	-246.0	246	4540	12	-246.0	246	4540	12	-246.0	246	4540	12	-246.0	246	4540	12	-246.0	246	4540	12	-246.0	246	4540	12	-246.0	246	4540
13	-199.0	199	4739	13	-199.0	199	4739	13	-199.0	199	4739	13	-199.0	199	4739	13	-199.0	199	4739	13	-199.0	199	4739	13	-199.0	199	4739	13	-199.0	199	4739	13	-199.0	199	4739
