Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps	Episode	Accumulated Reward	Length	Steps
0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500	0	-500.0	500	500
1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000	1	-500.0	500	1000
2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500	2	-500.0	500	1500
3	-281.0	281	1781	3	-281.0	281	1781	3	-281.0	281	1781	3	-281.0	281	1781	3	-281.0	281	1781	3	-281.0	281	1781	3	-281.0	281	1781	3	-281.0	281	1781	3	-281.0	281	1781	3	-281.0	281	1781
4	-398.0	398	2179	4	-398.0	398	2179	4	-398.0	398	2179	4	-398.0	398	2179	4	-398.0	398	2179	4	-398.0	398	2179	4	-398.0	398	2179	4	-398.0	398	2179	4	-398.0	398	2179	4	-398.0	398	2179
5	-500.0	500	2679	5	-500.0	500	2679	5	-500.0	500	2679	5	-500.0	500	2679	5	-500.0	500	2679	5	-500.0	500	2679	5	-500.0	500	2679	5	-500.0	500	2679	5	-500.0	500	2679	5	-500.0	500	2679
6	-231.0	231	2910	6	-231.0	231	2910	6	-231.0	231	2910	6	-231.0	231	2910	6	-231.0	231	2910	6	-231.0	231	2910	6	-231.0	231	2910	6	-231.0	231	2910	6	-231.0	231	2910	6	-231.0	231	2910
7	-434.0	434	3344	7	-434.0	434	3344	7	-434.0	434	3344	7	-434.0	434	3344	7	-434.0	434	3344	7	-434.0	434	3344	7	-434.0	434	3344	7	-434.0	434	3344	7	-434.0	434	3344	7	-434.0	434	3344
8	-231.0	231	3575	8	-231.0	231	3575	8	-231.0	231	3575	8	-231.0	231	3575	8	-231.0	231	3575	8	-231.0	231	3575	8	-231.0	231	3575	8	-231.0	231	3575	8	-231.0	231	3575	8	-231.0	231	3575
9	-272.0	272	3847	9	-272.0	272	3847	9	-272.0	272	3847	9	-272.0	272	3847	9	-272.0	272	3847	9	-272.0	272	3847	9	-272.0	272	3847	9	-272.0	272	3847	9	-272.0	272	3847	9	-272.0	272	3847
10	-228.0	228	4075	10	-228.0	228	4075	10	-228.0	228	4075	10	-228.0	228	4075	10	-228.0	228	4075	10	-228.0	228	4075	10	-228.0	228	4075	10	-228.0	228	4075	10	-228.0	228	4075	10	-228.0	228	4075
11	-202.0	202	4277	11	-202.0	202	4277	11	-202.0	202	4277	11	-202.0	202	4277	11	-202.0	202	4277	11	-202.0	202	4277	11	-202.0	202	4277	11	-202.0	202	4277	11	-202.0	202	4277	11	-202.0	202	4277
12	-293.0	293	4570	12	-293.0	293	4570	12	-293.0	293	4570	12	-293.0	293	4570	12	-293.0	293	4570	12	-293.0	293	4570	12	-293.0	293	4570	12	-293.0	293	4570	12	-293.0	293	4570	12	-293.0	293	4570
13	-302.0	302	4872	13	-302.0	302	4872	13	-302.0	302	4872	13	-302.0	302	4872	13	-302.0	302	4872	13	-302.0	302	4872	13	-302.0	302	4872	13	-302.0	302	4872	13	-302.0	302	4872	13	-302.0	302	4872
14	-230.0	230	5102	14	-230.0	230	5102	14	-230.0	230	5102	14	-230.0	230	5102	14	-230.0	230	5102	14	-230.0	230	5102	14	-230.0	230	5102	14	-230.0	230	5102	14	-230.0	230	5102	14	-230.0	230	5102
15	-226.0	226	5328	15	-226.0	226	5328	15	-226.0	226	5328	15	-226.0	226	5328	15	-226.0	226	5328	15	-226.0	226	5328	15	-226.0	226	5328	15	-226.0	226	5328	15	-226.0	226	5328	15	-226.0	226	5328
16	-221.0	221	5549	16	-221.0	221	5549	16	-221.0	221	5549	16	-221.0	221	5549	16	-221.0	221	5549	16	-221.0	221	5549	16	-221.0	221	5549	16	-221.0	221	5549	16	-221.0	221	5549	16	-221.0	221	5549
17	-213.0	213	5762	17	-213.0	213	5762	17	-213.0	213	5762	17	-213.0	213	5762	17	-213.0	213	5762	17	-213.0	213	5762	17	-213.0	213	5762	17	-213.0	213	5762	17	-213.0	213	5762	17	-213.0	213	5762
18	-309.0	309	6071	18	-309.0	309	6071	18	-309.0	309	6071	18	-309.0	309	6071	18	-309.0	309	6071	18	-309.0	309	6071	18	-309.0	309	6071	18	-309.0	309	6071	18	-309.0	309	6071	18	-309.0	309	6071
19	-221.0	221	6292	19	-221.0	221	6292	19	-221.0	221	6292	19	-221.0	221	6292	19	-221.0	221	6292	19	-221.0	221	6292	19	-221.0	221	6292	19	-221.0	221	6292	19	-221.0	221	6292	19	-221.0	221	6292
20	-185.0	185	6477	20	-185.0	185	6477	20	-185.0	185	6477	20	-185.0	185	6477	20	-185.0	185	6477	20	-185.0	185	6477	20	-185.0	185	6477	20	-185.0	185	6477	20	-185.0	185	6477	20	-185.0	185	6477
21	-187.0	187	6664	21	-187.0	187	6664	21	-187.0	187	6664	21	-187.0	187	6664	21	-187.0	187	6664	21	-187.0	187	6664	21	-187.0	187	6664	21	-187.0	187	6664	21	-187.0	187	6664	21	-187.0	187	6664
22	-159.0	159	6823	22	-159.0	159	6823	22	-159.0	159	6823	22	-159.0	159	6823	22	-159.0	159	6823	22	-159.0	159	6823	22	-159.0	159	6823	22	-159.0	159	6823	22	-159.0	159	6823	22	-159.0	159	6823
23	-183.0	183	7006	23	-183.0	183	7006	23	-183.0	183	7006	23	-183.0	183	7006	23	-183.0	183	7006	23	-183.0	183	7006	23	-183.0	183	7006	23	-183.0	183	7006	23	-183.0	183	7006	23	-183.0	183	7006
24	-240.0	240	7246	24	-240.0	240	7246	24	-240.0	240	7246	24	-240.0	240	7246	24	-240.0	240	7246	24	-240.0	240	7246	24	-240.0	240	7246	24	-240.0	240	7246	24	-240.0	240	7246	24	-240.0	240	7246
25	-173.0	173	7419	25	-173.0	173	7419	25	-173.0	173	7419	25	-173.0	173	7419	25	-173.0	173	7419	25	-173.0	173	7419	25	-173.0	173	7419	25	-173.0	173	7419	25	-173.0	173	7419	25	-173.0	173	7419
26	-127.0	127	7546	26	-127.0	127	7546	26	-127.0	127	7546	26	-127.0	127	7546	26	-127.0	127	7546	26	-127.0	127	7546	26	-127.0	127	7546	26	-127.0	127	7546	26	-127.0	127	7546	26	-127.0	127	7546
27	-155.0	155	7701	27	-155.0	155	7701	27	-155.0	155	7701	27	-155.0	155	7701	27	-155.0	155	7701	27	-155.0	155	7701	27	-155.0	155	7701	27	-155.0	155	7701	27	-155.0	155	7701	27	-155.0	155	7701
28	-228.0	228	7929	28	-228.0	228	7929	28	-228.0	228	7929	28	-228.0	228	7929	28	-228.0	228	7929	28	-228.0	228	7929	28	-228.0	228	7929	28	-228.0	228	7929	28	-228.0	228	7929	28	-228.0	228	7929
